Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
Hostrunway Phoenix,arizona,33.2761127,-111.8848676,20.0,1.14,https://www.hostrunway.com/data-centers.php?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/hostrunway-phoenix/,AI Specialized,P3,False,157680.0,1,
Serverfarm Clarksville,arkansas,35.45496877285879,-93.44971760520366,20.0,1.14,https://www.serverfarmllc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/clarksville-ar/serverfarm-clarksville/,AI Specialized,P3,False,157680.0,1,
Hostrunway Los Angeles,california,34.0581509,-118.2354169,20.0,1.14,https://www.hostrunway.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/los-angeles/hostrunway-naud/,AI Specialized,P3,False,157680.0,1,
Serverfarm Atlanta Data Center ATL2,georgia,33.6218526,-83.8161215,20.0,1.14,https://www.serverfarmllc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/serverfarm-atl2/,AI Specialized,P3,False,157680.0,1,
Applied Digital Project Lightning,louisiana,31.37948119972468,-92.68820292722972,20.0,1.14,https://www.applieddigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/alexandria-la/applied-digital-project-lightning/,AI Specialized,P2,False,157680.0,1,
IronGate Downtown Minneapolis,minnesota,44.9851559,-93.2680464,20.0,1.14,https://www.irongatedatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/irongate-downtown-minneapolis/,AI Specialized,P3,False,157680.0,1,
Crusoe Warrenton Campus,missouri,38.825957,-91.179814,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/st-louis/crusoe-warrenton-campus/,AI Specialized,P2,False,157680.0,1,
Crusoe Warrenton DC1,missouri,38.826045,-91.181862,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/st-louis/crusoe-warrenton-dc1/,AI Specialized,P2,False,157680.0,1,
Crusoe Warrenton DC2,missouri,38.826067,-91.177712,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/st-louis/crusoe-warrenton-dc2/,AI Specialized,P2,False,157680.0,1,
Nebius Independence DC1,missouri,39.10668,-94.300371,20.0,1.14,https://nebius.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/nebius-independence-dc1/,AI Specialized,P2,False,157680.0,1,
