Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
"Assurance Technology, LLp",alabama,30.6747733,-88.118332,50.0,1.22,http://assurancetech.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/mobile/assurance-technology/,Hyperscale,P3,False,394200.0,1,
Google Jackson County Campus,alabama,34.9143029,-85.7482741,50.0,1.11,https://www.google.com/about/datacenters/locations/jackson-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/bridgeport/google-jackson-county/,Hyperscale,P2,True,394200.0,1,
Meta Huntsville Campus,alabama,34.8441336,-86.628414,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/huntsville/meta-data-center-hunstville/,Hyperscale,P2,True,394200.0,1,
Meta Montgomery Data Center,alabama,32.2834317,-86.347131,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/montgomery/meta-montgomery-data-center/,Hyperscale,P2,False,394200.0,1,
Amazon AWS - Loop 202 & Dobbins Road,arizona,33.36300253163908,-112.1919025166041,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/amazon-aws-loop-202-dobbins-road/,Hyperscale,P2,False,394200.0,1,
Amazon AWS PHX - 10464 E Pecos Road,arizona,33.29463482260998,-111.6078165484247,50.0,1.22,https://aws.amazon.com/es/trust-center/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/amazon-aws-phx-10464-e-pecos-road/,Hyperscale,P2,False,394200.0,1,
Amazon AWS PHX - 9848 E Pecos Road,arizona,33.29470588439981,-111.6066312632271,50.0,1.22,https://aws.amazon.com/es/trust-center/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/amazon-aws-phx-9848-e-pecos-road/,Hyperscale,P2,False,394200.0,1,
Amazon AWS PHX - Pecos Road Campus,arizona,33.29463482260998,-111.6078165484247,50.0,1.22,https://aws.amazon.com/es/trust-center/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/amazon-aws-phx-pecos-road-campus/,Hyperscale,P2,False,394200.0,1,
Apple Mesa Data Center,arizona,33.3470151,-111.6040335,50.0,1.22,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/apple-mesa-data-center/,Hyperscale,P2,False,394200.0,1,
Google Mesa - Phase 1,arizona,33.3531056,-111.6783361,50.0,1.22,https://www.google.com/about/datacenters/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/google-mesa-phase-1/,Hyperscale,P2,False,394200.0,1,
