Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Annual_Heat_MWh,Confidence_Score,Manual_Verified_MW
Project Marvel,alabama,33.34365458220975,-87.03864563455572,1.0,1.91,,https://www.datacentermap.com/usa/alabama/birmingham/logistic-land-investments-llc/,Small,P4,False,7884.0,1,
SEC Data Center,alabama,33.6196169,-85.8085962,1.0,1.91,https://secdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/anniston/sec-data-center/,Small,P4,False,7884.0,1,
"Sparrow Technology Solutions, LLC.",alabama,32.3381325,-86.2585214,1.0,1.91,http://sparrowtechnologysolutions.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/montgomery/sparrow-technology/,Small,P4,False,7884.0,1,
GCI Anchorage,alaska,61.15843432110262,-149.8904796210693,1.0,1.91,https://gci.com/business/products/network-and-wholesale/data-center-and-colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alaska/anchorage/gci-anchorage/,Small,P4,False,7884.0,1,
11:11 Systems Scottsdale,arizona,33.63250552231545,-111.9185758090433,1.0,1.91,https://www.sungardas.com/fr-fr/facilities/north-america/usa/scottsdale-data-centre-and-workplace-recovery-centre/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/1111-systems-scottsdale/,Small,P4,False,7884.0,1,
2500 W Frye Rd,arizona,33.3008813,-111.8863212,1.0,1.91,https://lpc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/2500-W-Frye-Rd/,Small,P4,False,7884.0,1,
491st Ave & Thomas Rd,arizona,33.4790452,-113.11006,1.0,1.91,,https://www.datacentermap.com/usa/arizona/phoenix/491st-ave-thomas-rd/,Small,P4,False,7884.0,1,
CGI Phoenix Data Center,arizona,33.3559967,-111.9741183,1.0,1.91,https://www.cgi.com/en/managed-it-outsourcing-services?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cgi-phoenix-data-center/,Small,P4,False,7884.0,1,
ClearData Data Center,arizona,33.5113742,-111.9891172,1.0,1.91,https://www.cleardata.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cleardata/,Small,P4,False,7884.0,1,
EdgeCore Florence Tech Park,arizona,33.121636,-111.471944,1.0,1.91,https://www.edge-core.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/edgecore-florence-tech-park/,Small,P4,False,7884.0,1,
EdgeCore PH04,arizona,33.34408846315323,-111.6235916138192,1.0,1.91,https://edgecore.com/locations/phoenix/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/edgecore-ph04/,Small,P4,False,7884.0,1,
EdgeCore PH05,arizona,33.34358490719114,-111.6250385765678,1.0,1.91,https://edgecore.com/locations/phoenix/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/edgecore-ph05/,Small,P4,False,7884.0,1,
FirstDigital Tucson,arizona,32.177537,-110.954281,1.0,1.91,https://firstdigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/tucson/twtc-tucson/,Small,P4,False,7884.0,1,
Fortescue Buckeye,arizona,33.19328433966902,-112.6741826729332,1.0,1.91,https://www.fortescue.com/en?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/fortescue-buckeye/,Small,P4,False,7884.0,1,
GDC - Phoenix PH2 Data Center,arizona,33.35419382547389,-111.6135084486277,1.0,1.91,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/phoenix-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/gdc-phoenix-ph2-data-center/,Small,P4,False,7884.0,1,
GDC - Phoenix PH3 Data Center,arizona,33.35281719818109,-111.6135022059186,1.0,1.91,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/phoenix-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/gdc-phoenix-ph3-data-center/,Small,P4,False,7884.0,1,
GDC - Phoenix PH4 Data Center,arizona,33.35548178656744,-111.6113047731641,1.0,1.91,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/phoenix-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/gdc-phoenix-ph4-data-center/,Small,P4,False,7884.0,1,
GDC - Phoenix PH5 Data Center,arizona,33.3542407555595,-111.6112423460977,1.0,1.91,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/phoenix-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/gdc-phoenix-ph5-data-center/,Small,P4,False,7884.0,1,
GDC - Phoenix PH6 Data Center,arizona,33.35289179564501,-111.611296446808,1.0,1.91,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/phoenix-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/gdc-phoenix-ph6-data-center/,Small,P4,False,7884.0,1,
HBS Phoenix,arizona,33.35308406246629,-111.9722535666365,1.0,1.91,https://www.hbs.net/services/colocation-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/hbs-phoenix/,Small,P4,False,7884.0,1,
Hassayampa Ranch,arizona,33.50085860534102,-112.7420487912697,1.0,1.91,https://arizonalandconsulting.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/hassayampa-ranch/,Small,P4,False,7884.0,1,
