res_space_heating_kwh,res_space_cooling_kwh,res_heating_load_kwh,res_cooling_load_kwh,res_space_heating_mbtu,res_space_cooling_mbtu,fips,com_space_heating_kwh,com_space_cooling_kwh,com_space_heating_mbtu,com_space_cooling_mbtu,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu
131641848.31003463,120946658.63781406,132530017.19914065,329437393.4165564,449180.67957629816,412687.17369774816,01001,6408362.064279029,26204134.56219057,21866.241350733173,89412.22811330206,138050210.37431365,471046.9209270313,147150793.20000464,502099.4018110502
301534905.7397726,665105573.1967255,351681868.79521763,1671877772.7372065,1028879.9163407192,2269434.6607386214,01003,43817070.12179623,299027626.17536265,149510.06527952602,1020324.7224332542,345351975.86156887,1178389.9816202454,964133199.3720882,3289759.3831718755
49123944.70256431,65741801.97661443,50724488.66971559,196051153.52473852,167617.8749252972,224320.36368008913,01005,3960442.7441071593,11481060.165630823,13513.59302576329,39175.00759567589,53084387.44667146,181131.46795106045,77222862.14224525,263495.371275765
86310375.08959028,44252431.20717595,77724881.59237833,131607303.48516068,294503.25587894476,150995.57912411576,01007,8292058.540865723,14296629.638292821,28293.68121374665,48782.13044726374,94602433.630456,322796.93709269137,58549060.84546877,199777.7095713795
185328197.8002537,129169475.37933068,189059448.77883226,352578610.56277627,632366.1274985533,440744.59205978015,01009,12725151.144950038,20226303.064170167,43420.02267803211,69015.01818998372,198053348.94520372,675786.1501765853,149395778.44350085,509759.6102497639
14398391.467855489,21859435.487260044,16856502.843471497,57724566.884686664,49129.356259911365,74587.49792237046,01011,745486.0930512546,2515281.0266346834,2543.704408516094,8582.496032783321,15143877.560906744,51673.06066842746,24374716.513894726,83169.99395515378
25988832.622345828,47268724.763402864,31496661.964053147,128308085.71202593,88677.58732167633,161287.60105164698,01013,1667994.4705403838,7381148.499962831,5691.433988698606,25185.526804960173,27656827.09288621,94369.02131037494,54649873.26336569,186473.12785660714
440028308.9299272,250051346.08092785,443296987.29566205,703123958.3364525,1501439.0740887795,853210.7001192693,01015,86678493.38867483,129978239.15784386,295759.32778821967,443504.20891652367,526706802.31860197,1797198.401876999,380029585.2387717,1296714.9090357928
79073498.74872807,86218692.70887591,81970585.21624483,236930784.3071195,269810.00616748247,294190.42257704923,01017,6922107.380455266,15884054.1579012,23619.213321361392,54198.64832244931,85995606.12918334,293429.21948884387,102102746.8667771,348389.0708994986
153224604.538467,73523379.5205444,157640773.61564538,205357909.5822562,522824.1085790938,250872.21124398938,01019,2683530.9423391297,6721752.229113609,9156.588636654922,22935.573094552165,155908135.4808061,531980.6972157487,80245131.749658,273807.78433854156
192921017.5015364,114152369.76484314,183767274.4066721,317554589.27437365,658273.9064997274,389504.09527415136,01021,15190063.815894542,27657477.72757421,51830.654728894035,94371.24136832052,208111081.31743094,710104.5612286214,141809847.49241734,483875.33664247184
43792316.225324556,46136390.592304364,42676449.51280371,112294393.81840757,149425.60146971137,157423.9160684066,01023,130646.45182221406,336672.2178917725,445.78424541355315,1148.7734149016685,43922962.67714677,149871.38571512492,46473062.81019614,158572.68948330826
45239365.07016009,67486960.48196164,55079544.12264024,179736158.66799173,154363.1376092262,230275.09231284153,01025,7754300.416539464,24060540.045564916,26458.7741318918,82097.97923215396,52993665.48669955,180821.91174111798,91547500.52752656,312373.07154499553
46793069.19225081,26915307.20640687,45991065.953625426,77190185.91946907,159664.59669978506,91838.85016188354,01027,16046747.625771942,11492435.049756344,54753.78153729672,39213.82031554571,62839816.81802275,214418.37823708178,38407742.25616321,131052.67047742924
43995692.15653771,36431682.86281694,49686959.083304666,97688722.03651655,150119.5490263929,124310.07522689791,01029,2709801.9224340455,3133175.871798616,9246.228951217949,10690.840985550672,46705494.07897176,159365.77797761085,39564858.73461555,135000.91621244856
