Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
USDC Columbiana,alabama,33.1812427,-86.6228062,55.0,1.22,https://www.usdatacenters.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/birmingham/usdc-columbiana/,Hyperscale,P1,False,5,433620.0
Project Marvel,alabama,33.34365458220975,-87.03864563455572,1.0,1.91,,https://www.datacentermap.com/usa/alabama/birmingham/logistic-land-investments-llc/,Small,P4,False,1,7884.0
Southern Telecom Birmingham,alabama,33.5180081,-86.8128941,15.0,1.68,https://www.southern-telecom.com/solutions/colocation.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/birmingham/southern-telecom-birmingham/,Midsize/Colo,P3,False,1,118260.0
Simple Helix Data Center,alabama,34.7454409,-86.691892,4.5,1.91,https://simplehelix.com/facility/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/huntsville/simple-helix-data-center/,Small,P1,False,5,35478.0
Scipio Technologies Huntsville,alabama,34.6998152,-86.5934619,15.0,1.68,https://www.peacecom.net/pages/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/huntsville/peacecom-huntsville/,Midsize/Colo,P3,False,1,118260.0
Uniti Fiber Alabama Data Center,alabama,30.702264,-88.180899,15.0,1.68,https://uniti.com/enterprise/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/mobile/server-corps/,Midsize/Colo,P3,False,1,118260.0
"Assurance Technology, LLp",alabama,30.6747733,-88.118332,50.0,1.22,http://assurancetech.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/mobile/assurance-technology/,Hyperscale,P3,False,1,394200.0
AUBix Data Center,alabama,32.60107187686658,-85.51372879987984,3.0,1.91,https://aubix.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/auburn/aubix-data-center/,Small,P1,False,5,23652.0
Core Scientific Auburn,alabama,32.60092892087178,-85.512853246259,4.0,1.91,https://corescientific.com/infrastructure-footprint/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/auburn/core-scientific-auburn/,Small,P1,False,5,31536.0
"Sparrow Technology Solutions, LLC.",alabama,32.3381325,-86.2585214,1.0,1.91,http://sparrowtechnologysolutions.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/montgomery/sparrow-technology/,Small,P4,False,1,7884.0
SEC Data Center,alabama,33.6196169,-85.8085962,1.0,1.91,https://secdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/anniston/sec-data-center/,Small,P4,False,1,7884.0
DC BLOX Birmingham,alabama,33.49978457763124,-86.82074571813962,5.0,1.91,https://www.dcblox.com/data-centers/birmingham/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/birmingham/dc-blox-bhm-1/,Small,P1,False,5,39420.0
DC BLOX Huntsville,alabama,34.7118221,-86.6921541,1.5,1.91,https://dcblox.com/data-centers/huntsville/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/huntsville/dc-blox-hsv-1/,Small,P1,False,5,11826.0
Google Jackson County Campus,alabama,34.9143029,-85.7482741,50.0,1.11,https://www.google.com/about/datacenters/locations/jackson-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/bridgeport/google-jackson-county/,Hyperscale,P2,True,1,394200.0
Lumen Birmingham 2,alabama,33.495892,-86.823344,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/birmingham/lumen-birmingham-2/,Midsize/Colo,P2,False,1,118260.0
Lumen Birmingham 1,alabama,33.5194657,-86.8097904,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/birmingham/level3-birmingham1/,Midsize/Colo,P2,False,1,118260.0
Lumen Mobile 1,alabama,30.6907856,-88.0483795,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/mobile/level3-mobile1/,Midsize/Colo,P2,False,1,118260.0
Meta Huntsville Campus,alabama,34.8441336,-86.628414,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/huntsville/meta-data-center-hunstville/,Hyperscale,P2,True,1,394200.0
Meta Montgomery Data Center,alabama,32.2834317,-86.347131,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/montgomery/meta-montgomery-data-center/,Hyperscale,P2,False,1,394200.0
Nebius Birmingham BHM01,alabama,33.42749804263087,-86.88342863335211,300.0,1.22,https://nebius.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/alabama/birmingham/nebius-birmingham-bhm01/,Hyperscale,P1,False,5,2365200.0
