Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Iron Mountain Data Centers AZS-1,arizona,33.6444482,-111.8957046,5.8,2.15,https://www.ironmountain.com/data-centers/locations/scottsdale-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/iron-mountain-azs-1/,Small,P1,45727.2
2121 S. Price Road (PHX15),arizona,33.2748503,-111.8869478,32.6,1.22,,https://www.datacentermap.com/usa/arizona/phoenix/2121-s-price/,Hyperscale,P1,257018.40000000002
120 East Van Buren St (PHX10),arizona,33.4519088,-112.0719012,9.9,1.91,,https://www.datacentermap.com/usa/arizona/phoenix/120-east-van-buren-street/,Small,P1,78051.6
Iron Mountain Data Centers AZP-1,arizona,33.4544913,-111.9761417,41.0,1.3,https://www.ironmountain.com/data-centers/locations/phoenix-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/iron-mountain-azp-1/,Hyperscale,P1,323244.0
Flexential Phoenix - Deer Valley Data Center,arizona,33.6846552,-112.0983455,5.02,1.91,,https://www.datacentermap.com/usa/arizona/phoenix/flexential-phoenix/,Small,P1,39577.68
RadiusDC Phoenix I DC1,arizona,33.41613,-112.00933,25.0,1.68,https://phoenixnap.com/colocation/phoenix?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/phoenix-nap/,Midsize/Colo,P1,197100.0
CyrusOne Phoenix Campus,arizona,33.2704481,-111.8821049,169.0,1.22,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phoenix-chandler/,Hyperscale,P1,1332396.0
GDC - Phoenix PH1 Data Center,arizona,33.3554883,-111.6135927,36.0,1.22,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/phoenix-ph1-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/ntt-phoenix-ph1/,Hyperscale,P1,283824.0
H5 Data Centers Phoenix,arizona,33.2761127,-111.8848676,26.0,1.35,https://h5datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/nextfort/,Midsize/Colo,P1,204984.00000000003
Csquare - Phoenix PHX3-A,arizona,33.42137091532965,-111.8575754795684,6.7,1.91,https://www.evoquedcs.com/data-centers/phoenix?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/evoque-phx1/,Small,P1,52822.8
US Signal Phoenix AZ01,arizona,33.3552874,-111.8268072,0.5,1.91,https://ussignal.com/data-centers/az01-phoenix/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/oneneck-gilbert/,Small,P1,3942.0
Iron Mountain Data Centers AZP-2,arizona,33.452056,-111.977266,48.0,1.3,https://www.ironmountain.com/data-centers/locations/phoenix-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/iron-mountain-azp-2/,Hyperscale,P1,378432.0
Comarch Mesa,arizona,33.3567065,-111.6352485,2.0,1.91,https://www.comarch.com/trade-and-services/ict/data-center/dc-usa-phoenix-az/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/comarch-mesa/,Small,P1,15768.0
CyrusOne PHX3 - Chandler,arizona,33.27195516766656,-111.8816614587236,9.0,1.91,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phx3/,Small,P1,70956.0
Prime Phoenix Data Center Campus,arizona,33.4171171,-112.312169,240.0,1.25,https://primedatacenters.com/phoenix-data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/prime-phoenix/,Hyperscale,P1,1892160.0
Prime Phoenix - Building 3,arizona,33.4206652,-112.3118101,48.0,1.25,https://primedatacenters.com/phoenix-data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/prime-phoenix-b3/,Hyperscale,P1,378432.0
Prime Phoenix - Building 1,arizona,33.4206652,-112.3118101,48.0,1.25,https://primedatacenters.com/phoenix-data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/prime-phoenix-b1/,Hyperscale,P1,378432.0
EdgeConneX Phoenix - EDCPHX01,arizona,33.3951106,-111.9700701,4.5,1.91,https://www.edgeconnex.com/locations/americas/phoenix-az/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/edcphx01/,Small,P1,35478.0
Prime Phoenix - Building 5,arizona,33.4206652,-112.3118101,48.0,1.25,https://primedatacenters.com/phoenix-data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/prime-phoenix-b5/,Hyperscale,P1,378432.0
Prime Phoenix - Building 2,arizona,33.4206652,-112.3118101,48.0,1.25,https://primedatacenters.com/phoenix-data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/prime-phoenix-b2/,Hyperscale,P1,378432.0
Prime Phoenix - Building 4,arizona,33.4206652,-112.3118101,48.0,1.25,https://primedatacenters.com/phoenix-data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/prime-phoenix-b4/,Hyperscale,P1,378432.0
Expedient Phoenix,arizona,33.5644469,-112.1120033,3.6,1.91,https://www.expedient.com/data-centers/phoenix/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/expedient-phoenix/,Small,P1,28382.4
Csquare - Phoenix PHX1-A,arizona,33.4544879,-111.9761892,16.0,1.68,https://www.cyxtera.com/phoenix-data-centers/phx1?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyxtera-pho/,Midsize/Colo,P1,126144.0
Aligned PHX01,arizona,33.6588811,-112.1106061,180.0,1.22,https://aligneddc.com/phoenix/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/phoenix-campus/,Hyperscale,P1,1419120.0
Cogent Data Center - Phoenix,arizona,33.4169192,-112.0081814,0.9,1.91,https://www.cogentco.com/en/cogent-phoenix?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cogent-phoenix/,Small,P1,7095.6
LexisNexis Scottsdale,arizona,33.6445574,-111.8957976,24.0,1.68,https://www.lexisnexis.com/en-us/products/applications-and-data-hosting.page?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/lexisnexis-scottsdale/,Midsize/Colo,P1,189216.0
CyrusOne PHX1 - Chandler,arizona,33.2708361,-111.881638,9.0,1.91,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phx1/,Small,P1,70956.0
"Stream DC Phoenix I - VI , Goodyear Campus",arizona,33.4196392,-112.3594873,280.0,1.22,https://www.streamdatacenters.com/datacenters/phoenix-i/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/phoenix-goodyear/,Hyperscale,P1,2207520.0
Csquare - Phoenix PHX2-A,arizona,33.3446504,-111.8992421,6.8,1.91,https://www.cyxtera.com/phoenix-data-centers/phx2?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/centersquare-phx2-a/,Small,P1,53611.200000000004
LightEdge - Phoenix,arizona,33.4514,-112.072261,0.51,1.91,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/american-internet-services-vbdc/,Small,P1,4020.84
CyrusOne PHX4 - Chandler,arizona,33.26873119093797,-111.8824875826938,9.0,1.91,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phx4/,Small,P1,70956.0
EdgeCore Phoenix Campus,arizona,33.344097,-111.6195007,336.0,1.25,https://edgecore.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/mesa-data-center-campus/,Hyperscale,P1,2649024.0000000005
CyrusOne PHX5 - Chandler,arizona,33.26969635033058,-111.8815649027929,9.0,1.91,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phx5/,Small,P1,70956.0
CyrusOne PHX6 - Chandler,arizona,33.26753221642161,-111.8825343619918,18.0,1.68,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phx6/,Midsize/Colo,P1,141912.0
DataBank PHX2 - Phoenix Sky Harbor,arizona,33.45453,-111.9763,0.2,1.91,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/databank-phx2/,Small,P1,1576.8000000000002
CyrusOne PHX2 - Chandler,arizona,33.27194984165537,-111.8833673436563,9.0,1.91,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phx2/,Small,P1,70956.0
11:11 Systems Scottsdale,arizona,33.63250552231545,-111.9185758090433,1.0,1.91,https://www.sungardas.com/fr-fr/facilities/north-america/usa/scottsdale-data-centre-and-workplace-recovery-centre/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/1111-systems-scottsdale/,Small,P4,7884.0
CyrusOne PHX7 - Chandler,arizona,33.26633547723519,-111.8820301066969,18.0,1.68,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phx7/,Midsize/Colo,P1,141912.0
DCX Goodyear,arizona,33.4114399,-112.4121243,12.0,1.68,https://www.dcx.us/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/dcx-goodyear/,Midsize/Colo,P1,94608.0
