Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
TierPoint Little Rock,arkansas,34.7561034,-92.4444401,15.0,1.68,https://www.tierpoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/little-rock/tierpoint-little-rock/,Midsize/Colo,P2,118260.0
AVAIO Digital Leo,arkansas,34.62551984810113,-92.25005255830925,1000.0,1.22,https://www.avaiodigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/little-rock/avaio-digital-leo/,Hyperscale,P1,7884000.0
Mainstream Technologies,arkansas,34.744058,-92.274447,15.0,1.68,https://www.mainstream-tech.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/little-rock/mainstream-technologies/,Midsize/Colo,P3,118260.0
"ForgeLight Ventures, LLC",arkansas,35.01879283240707,-92.55090871623727,1.0,1.91,,https://www.datacentermap.com/usa/arkansas/little-rock/forgelight-ventures-llc/,Small,P4,7884.0
Windstream Little Rock,arkansas,34.7867392,-92.3988361,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/little-rock/windstream-little-rock/,Small,P4,7884.0
Sollensys Little Rock,arkansas,34.7515113,-92.4170074,1.0,1.91,https://sollensys.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/little-rock/sollensys-little-rock/,Small,P4,7884.0
Google Little Rock Port,arkansas,34.68990822432159,-92.224460134994,50.0,1.22,https://datacenters.google/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/little-rock/google-little-rock-port/,Hyperscale,P2,394200.0
Ritter Communications Data Technology Center,arkansas,35.815375,-90.68930999999999,0.75,1.91,https://www.ritterbusiness.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/jonesboro/ritter-data-technology-center/,Small,P1,5913.0
Serverfarm Clarksville,arkansas,35.45496877285879,-93.44971760520366,50.0,1.22,https://www.serverfarmllc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/clarksville-ar/serverfarm-clarksville/,Hyperscale,P3,394200.0
Brightspeed Russellville,arkansas,35.2774524,-93.13715239999999,15.0,1.68,https://www.brightspeed.com/business-solutions/wholesale/clec_products_collocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/russellville/brightspeed-russellville/,Midsize/Colo,P3,118260.0
Google West Memphis,arkansas,35.1148503,-90.2129455,50.0,1.22,https://www.google.com/about/datacenters/locations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arkansas/west-memphis/google-west-memphis/,Hyperscale,P2,394200.0
