Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
150 South First St,california,37.333607,-121.888609,1.0,1.91,,https://www.datacentermap.com/usa/california/san-jose/150-south-first-street/,Small,P4,False,1,7884.0
2334 Lundy Place,california,37.405884,-121.888912,1.0,1.91,,https://www.datacentermap.com/usa/california/san-jose/2334-lundy-place/,Small,P4,False,1,7884.0
Prime San Jose,california,37.2353347,-121.7823438,10.0,1.25,https://primedatacenters.com/san-jose-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/prime-san-jose/,Midsize/Colo,P1,False,5,78840.0
Element Critical Silicon Valley,california,37.3729016,-121.9878086,7.0,1.91,https://elementcritical.com/data-centers/silicon-valley/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/centralcolo/,Small,P1,False,5,55188.0
STACK Infrastructure SVY01A,california,37.402557,-121.8933284,9.0,1.91,https://www.stackinfra.com/locations/americas/silicon-valley/svy01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/fortune/,Small,P1,False,5,70956.0
ECL MV1,california,37.3958939,-122.0469503,1.0,1.1,https://www.ecldc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/ecl-mv1/,Small,P1,False,5,7884.0
ColoCrossing SJ1,california,37.3341593,-121.8916855,10.0,1.68,https://www.colocrossing.com/datacenter/san-jose-ca/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/colocrossing-sj1/,Midsize/Colo,P1,False,5,78840.0
Evocative OAK1,california,37.8468998,-122.2935656,15.0,1.68,https://evocative.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/em1-emeryville-data-center/,Midsize/Colo,P3,False,1,118260.0
Menlo Digital MD-SV1 (Sunnyvale),california,37.4012979,-122.032141,36.0,1.22,https://menlo-digital.com/portfolio/md-sv1-sunnyvale/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/menlo-digital-md-sv1-sunnyvale/,Hyperscale,P1,False,5,283824.0
Rackspace San Jose,california,37.333934,-121.888182,5.4,1.91,https://www.rackspace.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/data-pipe-san-jose/,Small,P1,False,5,42573.600000000006
STACK Infrastructure SVY01B,california,37.4022537,-121.8923566,32.0,1.22,https://www.stackinfra.com/locations/americas/silicon-valley/svy01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/stack-infrastructure-svy01b/,Hyperscale,P1,False,5,252288.0
Evocative SJC7,california,37.33839764047828,-121.9101762771606,15.0,1.68,https://evocative.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/sv7-san-jose-evocative-data-center/,Midsize/Colo,P3,False,1,118260.0
Cogent Data Center - San Jose,california,37.3483969,-121.9238227,15.0,1.68,https://cogentco.com/en/cogent-bay-area?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/cogent-data-center-san-jose/,Midsize/Colo,P3,False,1,118260.0
STACK Infrastructure SVY01D,california,37.4029146,-121.8950378,24.0,1.68,https://www.stackinfra.com/locations/americas/silicon-valley/svy01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/stack-infrastructure-svy05/,Midsize/Colo,P1,False,5,189216.0
STACK Infrastructure SVY01C,california,37.4016556,-121.8953647,36.0,1.22,https://www.stackinfra.com/locations/americas/silicon-valley/svy01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/stack-infrastructure-svy06/,Hyperscale,P1,False,5,283824.0
