Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Flexential Denver - Parker,colorado,39.5601018,-104.8107281,22.5,1.68,,https://www.datacentermap.com/usa/colorado/denver/flexential-denver-parker/,Midsize/Colo,P1,False,5,177390.0
Flexential Denver - Aurora Data Center,colorado,39.661028,-104.85018,6.75,1.91,,https://www.datacentermap.com/usa/colorado/denver/flexential-aurora/,Small,P1,False,5,53217.0
Flexential Denver - Centennial Data Center - $0 NRC's,colorado,39.594093,-104.843141,1.6,1.91,,https://www.datacentermap.com/usa/colorado/denver/flexential-centennial/,Small,P1,False,5,12614.400000000001
Flexential Denver - Englewood Data Center,colorado,39.5589561,-104.8374803,18.0,1.3,,https://www.datacentermap.com/usa/colorado/denver/flexential-englewood/,Midsize/Colo,P1,False,5,141912.0
US Signal Denver CO01,colorado,39.5590337,-104.8334949,1.6,1.91,https://ussignal.com/data-centers/co01-denver/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/oneneck-it-solutions/,Small,P1,False,5,12614.400000000001
1500 Champa,colorado,39.7459482,-104.9944892,3.0,1.91,https://www.radius-dc.com/#location?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/1500-champa/,Small,P1,False,5,23652.0
H5 Data Centers Denver,colorado,39.6180129,-104.8913097,17.5,1.68,https://h5datacenters.com/denver-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/h5datacenter/,Midsize/Colo,P1,False,5,137970.0
365 Data Centers - Aurora,colorado,39.7627264,-104.7622042,8.0,1.91,https://365datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/sungardas-aurora/,Small,P1,False,5,63072.0
Csquare - Denver DEN1-A,colorado,39.549704,-105.033252,5.4,1.91,https://centersquaredc.com/data-centers/denver#littleton-den1?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/cyxtera-den1/,Small,P1,False,5,42573.600000000006
ColoradoColo Darwin Data Center,colorado,39.7281498,-105.1226064,2.0,1.91,http://www.coloradocolo.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/colorado-colo/,Small,P1,False,5,15768.0
Csquare - Denver DEN2-A,colorado,39.560959,-104.830574,3.7,1.91,https://centersquaredc.com/data-centers/denver?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/cyxtera-den2a/,Small,P1,False,5,29170.8
Expedient Centennial,colorado,39.5812479,-104.842607,1.6,1.91,https://www.expedient.com/data-centers/denver/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/expedient-centennial/,Small,P1,False,5,12614.400000000001
