Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Corserva Connecticut,connecticut,41.2969596,-73.2291535,1.0,1.91,https://www.corserva.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/trumbull/pcnet-connecticut/,Small,P4,False,1,7884.0
Crown Castle Hartford,connecticut,41.7683713,-72.6728531,15.0,1.68,http://fiber.crowncastle.com/solutions/infrastructure/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/crown-castle-hartford/,Midsize/Colo,P3,False,1,118260.0
Colocation America HartfordDC1,connecticut,41.5544339,-73.0412195,15.0,1.68,https://www.colocationamerica.com/data-center-locations/hartford?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/colocation-america-hartforddc1/,Midsize/Colo,P3,False,1,118260.0
Trumbull Data Center,connecticut,41.2406844,-73.1473216,15.0,1.68,,https://www.datacentermap.com/usa/connecticut/trumbull/80-merritt-boulevard/,Midsize/Colo,P1,False,5,118260.0
132 Griffin Road North,connecticut,41.884726,-72.74349,1.0,1.91,https://www.atlas-cap.com/portfolio/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/132-griffin-road-north/,Small,P4,False,1,7884.0
The Computer Company Inc.,connecticut,41.6317455,-72.6778297,1.0,1.91,https://computercompany.net/cloud-computing-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/the-computer-company/,Small,P4,False,1,7884.0
NWI Networks Data Center,connecticut,41.7197279,-72.7315535,15.0,1.68,https://www.nwinetworks.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/nwi-networks/,Midsize/Colo,P3,False,1,118260.0
Omega Systems Stamford,connecticut,41.091692,-73.5167687,1.0,1.91,https://omegasystemscorp.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/amnet-technology-solutions/,Small,P4,False,1,7884.0
Crown Castle Stamford 2,connecticut,41.0543059,-73.5375875,15.0,1.68,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/crown-castle-stamford/,Midsize/Colo,P3,False,1,118260.0
Crown Castle Stamford 1,connecticut,41.0581258,-73.5430114,15.0,1.68,https://www.crowncastle.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/fibertech-stamford/,Midsize/Colo,P3,False,1,118260.0
CVM,connecticut,41.3080872,-72.7517544,0.12,1.91,https://cvm.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/new-haven/cvm/,Small,P1,False,5,946.08
ChimeNet Data Center,connecticut,41.4867203,-72.8010863,15.0,1.68,https://chimenet.com/about-us/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/new-haven/chimenet/,Midsize/Colo,P3,False,1,118260.0
Cloudsmart,connecticut,41.2992518,-72.7516615,15.0,1.68,http://cloudsmart.tech?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/new-haven/recol-branford/,Midsize/Colo,P3,False,1,118260.0
Gotspace Wallingford 1 Campus,connecticut,41.4864254,-72.7732151,96.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-1-campus/,Hyperscale,P1,False,5,756864.0
Gotspace Wallingford 2 Campus,connecticut,41.49558,-72.787479,192.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-2-campus/,Hyperscale,P1,False,5,1513728.0
Gotspace Wallingford 1 - Building 3,connecticut,41.489699,-72.773033,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-1-building-3/,Hyperscale,P1,False,5,252288.0
Gotspace Wallingford 2 - Building 5,connecticut,41.49646,-72.78774,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-2-building-5/,Hyperscale,P1,False,5,252288.0
Gotspace Wallingford 2 - Building 4,connecticut,41.496162,-72.783926,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-2-building-4/,Hyperscale,P1,False,5,252288.0
Gotspace Wallingford 2 - Building 1,connecticut,41.498037,-72.795562,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/wallingford-2-building-1/,Hyperscale,P1,False,5,252288.0
Gotspace Wallingford 2 - Building 7,connecticut,41.492686,-72.78807,16.0,1.68,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-2-building-7/,Midsize/Colo,P1,False,5,126144.0
Gotspace Wallingford 2 - Building 3,connecticut,41.49811,-72.786562,16.0,1.68,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-2-building-3/,Midsize/Colo,P1,False,5,126144.0
Gotspace Wallingford 2 - Building 6,connecticut,41.493189,-72.785564,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-2-building-6/,Hyperscale,P1,False,5,252288.0
Gotspace Wallingford 2 - Building 2,connecticut,41.499535,-72.793675,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-2-building-2/,Hyperscale,P1,False,5,252288.0
Gotspace Wallingford 1 - Building 2,connecticut,41.488066,-72.77259,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-1-building-2/,Hyperscale,P1,False,5,252288.0
Gotspace Norwich Campus,connecticut,41.586958,-72.104524,96.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/norwich/gotspace-norwich-campus/,Hyperscale,P1,False,5,756864.0
Gotspace Wallingford 1 - Building 1,connecticut,41.484841,-72.772322,32.0,1.22,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-1-building-1/,Hyperscale,P1,False,5,252288.0
