Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Trijit Data Center,delaware,39.787933,-75.4861911,0.3,1.91,https://tws.trijit.com/datacenter-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/trijit-dc/,Small,P1,2365.2000000000003
DaSTOR New Castle,delaware,39.6871395,-75.57442859999999,8.0,1.91,https://dastorllc.com/3-boulden-circle-new-castle-de/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/dastor-new-castle/,Small,P1,63072.0
DaSTOR Wilmington CCC,delaware,39.7478527,-75.5467527,1.0,1.91,https://dastorllc.com/1201-north-market-street-wilmington-de/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/ipr-wilmington-bcc/,Small,P4,7884.0
Project Washington North Campus,delaware,39.613214,-75.638434,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-campus/,Small,P4,7884.0
Lumen Wilmington 1,delaware,39.749533,-75.5387609,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/level3-wilmington1/,Midsize/Colo,P2,118260.0
Project Washington South Campus,delaware,39.60173,-75.647435,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-campus/,Small,P4,7884.0
Project Washington South DC1,delaware,39.603092,-75.650418,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc1/,Small,P4,7884.0
Project Washington North DC4,delaware,39.61049,-75.637994,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc4/,Small,P4,7884.0
Project Washington South DC2,delaware,39.60197,-75.651042,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc2/,Small,P4,7884.0
Project Washington South DC7,delaware,39.600578,-75.645829,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc7/,Small,P4,7884.0
Project Washington North DC5,delaware,39.609621,-75.641807,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc5/,Small,P4,7884.0
Project Washington North DC1,delaware,39.615821,-75.638543,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc1/,Small,P4,7884.0
Project Washington North DC3,delaware,39.612192,-75.638208,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc3/,Small,P4,7884.0
Project Washington South DC6,delaware,39.599917,-75.642004,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc6/,Small,P4,7884.0
Project Washington South DC5,delaware,39.601417,-75.642446,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc5/,Small,P4,7884.0
Project Washington South DC4,delaware,39.602461,-75.642634,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc4/,Small,P4,7884.0
Verdantas Newark,delaware,39.68172697211378,-75.72362438057166,1.0,1.91,https://www.verdantas.com/expertise/digital-technologies?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/newark-de/verdantas-newark/,Small,P4,7884.0
Project Washington North DC2,delaware,39.614097,-75.63862,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc2/,Small,P4,7884.0
Project Washington South DC3,delaware,39.602461,-75.642634,1.0,1.91,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc3/,Small,P4,7884.0
Data Canopy - Newark,delaware,39.6127446,-75.7614126,1.0,1.91,https://datacanopy.com/data-centers/newark-de/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/newark-de/hosting-newark/,Small,P4,7884.0
