Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Volico Fort Lauderdale,florida,26.2898535,-80.1301204,2.0,1.91,https://www.volico.com/data-centers/fort-lauderdale-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/volico-2/,Small,P1,False,5,15768.0
3EX Hosting Data Center – Boca Raton,florida,26.4075638,-80.0977968,35.0,1.22,https://www.3exhosting.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/3ex-hosting-data-center-boca-raton/,Hyperscale,P1,False,5,275940.0
365 Data Centers - Boca Raton,florida,26.382321,-80.0835063,15.0,1.68,https://365datacenters.com/boca-raton-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/3500-nw/,Midsize/Colo,P3,False,1,118260.0
Cogent Data Center - Boca Raton,florida,26.391247,-80.109199,1.6,1.91,https://www.cogentco.com/en/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/cogent-boca-raton/,Small,P1,False,5,12614.400000000001
HostDime Orlando 2,florida,28.6144634,-81.3856569,15.0,1.68,https://www.hostdime.com/new-orlando-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/hostdime-orlando-2/,Midsize/Colo,P3,False,1,118260.0
HostDime Orlando,florida,28.6185131,-81.3937966,15.0,1.68,https://www.hostdime.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/hostdime/,Midsize/Colo,P3,False,1,118260.0
Colo Solutions Orlando,florida,28.5348177,-81.3801927,15.0,1.68,https://www.colosolutions.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/colo-solutions-orlando/,Midsize/Colo,P3,False,1,118260.0
Cogent Data Center - Orlando,florida,28.4256812,-81.1206804,5.0,1.91,https://www.cogentco.com/en/cogent-orlando?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/cogent-data-center-orlando/,Small,P1,False,5,39420.0
Thrive US - Winter Haven,florida,28.023895,-81.7292955,2.0,1.91,https://thrivenextgen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/200-avenue-b-nw/,Small,P1,False,5,15768.0
Signal Hill Telecom Center,florida,28.6175537,-81.3933887,13.0,1.68,https://www.linkedin.com/in/clay-spears-21b7b713/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/signal-hill-telecom/,Midsize/Colo,P1,False,5,102492.00000000001
Corserva Orlando,florida,28.4476916,-81.4140604,1.0,1.91,https://www.corserva.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/pcnet-orlando/,Small,P4,False,1,7884.0
Smart City Metro,florida,28.6388113,-81.3996609,1.0,1.91,https://smartcitymetro.com/services/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/smart-city/,Small,P4,False,1,7884.0
Hivelocity - Miami 1,florida,25.7823647,-80.1931295,1.0,1.91,,https://www.datacentermap.com/usa/florida/miami/hivelocity-miami-1/,Small,P4,False,1,7884.0
2300 NW 89th Pl,florida,25.795032,-80.342568,1.0,1.91,,https://www.datacentermap.com/usa/florida/miami/2300nw-89th-pl/,Small,P4,False,1,7884.0
