Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
250 Williams St NW (ATL14),georgia,33.7616045,-84.3913965,3.6,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/250-williams-st-nw/,Small,P1,False,5,28382.4
Flexential Atlanta - Alpharetta Data Center,georgia,34.0870177,-84.2515969,6.0,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-atlanta/,Small,P1,False,5,47304.0
56 Marietta Street (ATL13),georgia,33.7554561,-84.3915303,5.5,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/telx-atlanta/,Small,P1,False,5,43362.0
Flexential Atlanta - Norcross Data Center - $0 NRC's,georgia,33.9547492,-84.1985761,1.8,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-norcross/,Small,P1,False,5,14191.2
Hivelocity - Atlanta 2,georgia,33.7615051,-84.3914096,1.0,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/hivelocity-atlanta-2/,Small,P4,False,1,7884.0
101 Aquila Way (ATL11),georgia,33.746556,-84.58025,1.0,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/101-aquila-way/,Small,P4,False,1,7884.0
Flexential Atlanta - Douglasville 1 Data Center,georgia,33.7310851,-84.6159534,22.5,1.4,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-atlanta-douglasville/,Midsize/Colo,P1,False,5,177390.0
Flexential Atlanta - Norcross 2 Data Center,georgia,33.9543478,-84.1990569,4.5,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-atlanta-norcross-2/,Small,P1,False,5,35478.0
760 Doug Davis Drive,georgia,33.6572025,-84.4151909,1.0,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/760-doug-davis-drive-atl12/,Small,P4,False,1,7884.0
Flexential Atlanta - Douglasville 2 Data Center,georgia,33.7307148,-84.6111721,36.0,1.22,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-atlanta-douglasville-2-data-center/,Hyperscale,P1,False,5,283824.0
Fort Gillem (ATL15),georgia,33.620375,-84.3262363,1.0,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/fort-gillem-atl15/,Small,P4,False,1,7884.0
Fort Gillem (ATL16),georgia,33.620375,-84.3262363,1.0,1.91,,https://www.datacentermap.com/usa/georgia/atlanta/fort-gillem-atl16/,Small,P4,False,1,7884.0
