Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Ark Data Centers Boise 2,idaho,43.5916338,-116.2980555,50.0,1.22,https://arkdna.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/involta-boise2/,Hyperscale,P3,394200.0
Ark Data Centers Boise 1,idaho,43.5799403,-116.2907646,1.0,1.4,https://www.arkdna.com/data-centers/idaho/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/involta-boise/,Small,P1,7884.0
ValorC3 Boise Data Center,idaho,43.6080015,-116.310128,2.0,1.91,https://valorc3.com/boise-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/tonaquint-boi/,Small,P1,15768.0
ADTAQ Idaho Datacenter,idaho,44.2457448,-116.9704836,0.1,1.91,https://www.adtaq.com/idaho-colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/weiser/adtaq-idaho-datacenter/,Small,P1,788.4000000000001
T5 Data Centers - Nampa,idaho,43.614366,-116.5595019,8.25,1.91,https://t5datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/t5-data-centers-nampa/,Small,P1,65043.0
Syringa Networks Boise,idaho,43.5681619,-116.2104851,1.0,1.91,https://www.syringanetworks.net/solutions/cloud-services?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/syringa-networks-boise/,Small,P4,7884.0
ValorC3 Boise 2 Data Center,idaho,43.6150186,-116.2023137,10.0,1.68,https://valorc3.com/boise-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/valorc3-boise-2-data-center/,Midsize/Colo,P1,78840.0
Meta Kuna Data Center,idaho,43.4630993,-116.2674797,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/meta-kuna-data-center/,Hyperscale,P2,394200.0
Gemstone Technology Park DC4,idaho,43.447687,-116.36379,1.0,1.91,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc4/,Small,P4,7884.0
Gemstone Technology Park,idaho,43.4454568,-116.3733508,1.0,1.91,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park/,Small,P4,7884.0
Gemstone Technology Park DC2,idaho,43.447687,-116.369296,1.0,1.91,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc2/,Small,P4,7884.0
Gemstone Technology Park DC1,idaho,43.447687,-116.371953,1.0,1.91,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc1/,Small,P4,7884.0
Gemstone Technology Park DC3,idaho,43.447687,-116.366581,1.0,1.91,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc3/,Small,P4,7884.0
Fusion Connect - Coeur d Alene,idaho,47.7003336,-116.7922733,1.0,1.91,https://www.fusionconnect.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/coeur-d-alene/oneeighty-coeur-d-alene/,Small,P4,7884.0
Gemstone Technology Park DC5,idaho,43.447687,-116.361214,1.0,1.91,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc5/,Small,P4,7884.0
IonSwitch CDA01,idaho,47.7003746,-116.7944506,15.0,1.68,https://www.ionswitch.com/datacenter?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/coeur-d-alene/ionswitch-cda01/,Midsize/Colo,P2,118260.0
Deep Atomic Idaho Falls,idaho,43.51948489999999,-112.0459325,60.0,1.22,https://deepatomic.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/idaho-falls/deep-atomic-idaho-falls/,Hyperscale,P1,473040.0
T-REX Orofino,idaho,46.48412099999999,-116.2045325,1.0,1.91,https://trex-acq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/orofino/t-rex-orofino/,Small,P4,7884.0
