Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
600 S. Federal St. (ORD11),illinois,41.8743024,-87.6299278,2.4,1.91,,https://www.datacentermap.com/usa/illinois/chicago/600-780-south-federal/,Small,P1,18921.600000000002
Netrality - 717 South Wells Chicago Data Center,illinois,41.872911,-87.63327,5.0,1.91,,https://www.datacentermap.com/usa/illinois/chicago/717-s-wells-st/,Small,P1,39420.0
350 East Cermak Road (ORD10),illinois,41.8536495,-87.6183422,19.5,1.68,,https://www.datacentermap.com/usa/illinois/chicago/350-east-cermark-road/,Midsize/Colo,P1,153738.0
505 N Railroad Avenue (ORD23),illinois,41.9201264,-87.9121805,11.0,1.68,,https://www.datacentermap.com/usa/illinois/chicago/505-north-railroad-avenue/,Midsize/Colo,P1,86724.0
9401 West Grand Avenue (ORD15),illinois,41.92820050669781,-87.86129889720924,36.0,1.22,,https://www.datacentermap.com/usa/illinois/chicago/9401-west-grand-avenue-ord15/,Hyperscale,P1,283824.0
2200 Busse Road (CH1),illinois,41.9942501,-87.961949,36.4,1.22,,https://www.datacentermap.com/usa/illinois/chicago/2200-busse-road/,Hyperscale,P1,286977.6
1400 East Devon Avenue (CH3),illinois,41.9942329,-87.9648002,27.0,1.68,,https://www.datacentermap.com/usa/illinois/chicago/1400-east-devon-avenue/,Midsize/Colo,P1,212868.0
9333 Grand Avenue (ORD12),illinois,41.9266672,-87.8587419,6.7,1.91,,https://www.datacentermap.com/usa/illinois/chicago/9377-grand-avenue/,Small,P1,52822.8
9355 Grand Ave (ORD13),illinois,41.9276592,-87.8593414,19.8,1.68,,https://www.datacentermap.com/usa/illinois/chicago/digital-realty-chicago-ord13/,Midsize/Colo,P1,156103.2
2299 Busse Road (CH2),illinois,41.9943839,-87.9577061,25.6,1.68,,https://www.datacentermap.com/usa/illinois/chicago/2299-busse-road/,Midsize/Colo,P1,201830.40000000002
2425-2553 Edgington Street (ORD22),illinois,41.9243503,-87.86109019999999,1.0,1.91,,https://www.datacentermap.com/usa/illinois/chicago/2425-2553-edgington-street-ord22/,Small,P4,7884.0
9377 Grand Ave (ORD14),illinois,41.9286176,-87.8587751,12.8,1.68,,https://www.datacentermap.com/usa/illinois/chicago/digital-realty-chicago-ord14/,Midsize/Colo,P1,100915.20000000001
CyrusOne CHI5 - Lombard,illinois,41.8493407,-88.0287834,12.0,1.68,https://www.cyrusone.com/data-centers/north-america/lombard-il?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cyrusone-chicago/,Midsize/Colo,P1,94608.0
GDC - Chicago CH1 Data Center,illinois,41.9878721,-88.0071901,36.0,1.22,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/chicago-ch1-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/ntt-ch1/,Hyperscale,P1,283824.0
Hivelocity - Chicago 1,illinois,41.8531135,-87.6183281,1.0,1.91,,https://www.datacentermap.com/usa/illinois/chicago/hivelocity-chicago-1/,Small,P4,7884.0
CyrusOne CHI2 - Aurora,illinois,41.796912,-88.245166,58.4,1.22,https://www.cyrusone.com/data-centers/north-america/aurora-il?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cyrusone-chi2/,Hyperscale,P1,460425.60000000003
CoreSite Chicago (CH2),illinois,41.8628253,-87.6412923,18.0,1.68,https://www.coresite.com/data-center-locations/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/coresite-chicago-ch2/,Midsize/Colo,P1,141912.0
Summit Elk Grove Village,illinois,41.9942245,-87.962234,36.4,1.22,https://www.summithq.com/data-centers/elk-grove-village-illinois-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/elk-grove-village/,Hyperscale,P1,286977.6
Csquare - Chicago ORD4-A,illinois,41.802407,-88.0946556,15.0,1.68,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/evoque-chi1/,Midsize/Colo,P1,118260.0
Serverfarm Chicago Data Center CH1,illinois,41.8709147,-87.6401696,20.0,1.4,https://www.serverfarmllc.com/chicago-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/serverfarm-ch1/,Midsize/Colo,P1,157680.0
TierPoint Chicago - West,illinois,41.9268739,-87.8583471,2.4,1.91,https://www.tierpoint.com/data-centers/illinois/chicago-west/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/tierpoint-chicago-west/,Small,P1,18921.600000000002
T5 Data Centers - T5@Chicago,illinois,42.0231895,-87.9752031,30.0,1.22,https://t5datacenters.com/locations/t5-chicago/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/t5-data-centers-t5chicago/,Hyperscale,P1,236520.0
TierPoint Chicago - Polk,illinois,41.8716165,-87.6428248,15.0,1.68,http://tierpoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/tierpoint-chicago/,Midsize/Colo,P2,118260.0
Prime Chicago Data Center Campus,illinois,42.0248132,-87.9622719,180.0,1.25,https://primedatacenters.com/chicago-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/prime-chicago/,Hyperscale,P1,1419120.0
QTS Chicago 1 DC1,illinois,41.8418945,-87.6679234,42.0,1.22,https://www.qtsdatacenters.com/data-centers/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/qts-chicago/,Hyperscale,P1,331128.00000000006
SBA Edge Chicago,illinois,41.8759476,-88.248975,10.0,1.68,https://www.sbaedge.com/data-center-chicago/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/new-continuum/,Midsize/Colo,P1,78840.0
Summit Chicago,illinois,41.853036,-87.61886,70.0,1.22,https://www.summithq.com/data-centers/chicago-illinois-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/server-central-chicago/,Hyperscale,P1,551880.0
Iron Mountain Data Centers CHI-1,illinois,42.0111891,-87.8811769,36.0,1.22,https://www.ironmountain.com/data-centers/locations/chicago-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/iron-mountain-chi-1/,Hyperscale,P1,283824.0
Colocation America CHIDC1,illinois,41.8541674,-87.618531,15.0,1.68,https://www.colocationamerica.com/data-center-locations/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/colocation-america-350-e/,Midsize/Colo,P3,118260.0
Equinix CH7,illinois,41.812525,-87.97275,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/equinix-ch7/,Midsize/Colo,P2,118260.0
CyrusOne CHI1 - Aurora,illinois,41.8492972,-88.0297672,48.78,1.22,https://www.cyrusone.com/data-centers/north-america/aurora-il?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cyrusone-chi1/,Hyperscale,P1,384581.52
Legacy - Chicago Byte Exchange,illinois,41.8764788,-87.6321341,33.0,1.22,https://legacyinvesting.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/400-s-lasalle-st/,Hyperscale,P1,260172.0
Prime Chicago - Building 3,illinois,42.0230727,-87.9615671,54.0,1.3,https://primedatacenters.com/chicago-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/prime-chicago-b3/,Hyperscale,P1,425736.0
Prime Chicago - Building 2,illinois,42.0238209,-87.9618963,54.0,1.25,https://primedatacenters.com/chicago-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/prime-chicago-b2/,Hyperscale,P1,425736.0
Prime Chicago - Building 1,illinois,42.0246767,-87.9629717,72.0,1.25,https://primedatacenters.com/chicago-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/prime-chicago-b1/,Hyperscale,P1,567648.0
Metro Edge IMD1,illinois,41.86379489999999,-87.6748535,24.0,1.68,https://medp.io/projects/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/metro-edge-imd1/,Midsize/Colo,P1,189216.0
Element Critical Chicago One,illinois,41.9757369,-87.9654062,7.0,1.91,https://elementcritical.com/data-centers/chicago-one/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/sungard-711-n-edgewood/,Small,P1,55188.0
Apotech Data Center,illinois,42.0784091,-87.9156464,1.0,1.91,https://www.apotechgroup.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/apotech/,Small,P1,7884.0
Csquare - Chicago ORD1-A,illinois,41.8535785730705,-87.61843979358673,5.4,1.91,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cyxtera-ord1a/,Small,P1,42573.600000000006
DataBank ORD4 - Chicago Tri-State,illinois,41.8534094,-87.9210087,8.75,1.91,https://www.databank.com/data-centers/chicago/oak-brook/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/latisys-chicago/,Small,P1,68985.0
Skybox Chicago I,illinois,41.9936604,-87.9735743,30.0,1.22,https://skyboxdatacenters.com/locations/skybox-chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/skybox-chicago-i/,Hyperscale,P1,236520.0
DataBank ORD3 - Mount Prospect,illinois,42.0780744,-87.9235706,2.7,1.91,https://www.databank.com/data-centers/chicago/mount-prospect/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/zcolo-800e-business/,Small,P1,21286.800000000003
Cogent Data Center - Chicago 2,illinois,41.878135,-87.634532,0.8,1.91,https://www.cogentco.com/en/cogent-chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cogent-chicago2/,Small,P1,6307.200000000001
Csquare - Chicago ORD1-C,illinois,41.853678,-87.61835339999999,1.35,1.91,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/centersquare-chicago-ord1-c/,Small,P1,10643.400000000001
Element Critical Chicago Two,illinois,41.9732601,-87.9666617,5.0,1.91,https://elementcritical.com/data-centers/chicago-two/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/sungard-341-haynes-dr/,Small,P1,39420.0
Colocation America CHIDC4,illinois,41.8542602,-87.9208348,15.0,1.68,https://www.colocationamerica.com/data-center-locations/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/colocation-america-1808-swift-dr/,Midsize/Colo,P3,118260.0
Csquare - Chicago ORD1-D,illinois,41.853678,-87.61835339999999,1.35,1.91,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/centersquare-chicago-ord1-d/,Small,P1,10643.400000000001
US Signal Chicago IL01,illinois,41.8462974,-87.9396351,0.25,1.91,https://ussignal.com/data-centers/oak-brook?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/us-signal-oak-brook/,Small,P1,1971.0
GigeNET Chicago,illinois,42.040427,-87.9760053,50.0,1.22,https://www.gigenet.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/gigenet/,Hyperscale,P3,394200.0
STACK Infrastructure CHI01B,illinois,42.0070232,-87.9664585,24.0,1.3,https://www.stackinfra.com/locations/americas/chicago/chi01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/stack-infrastructure-chi01b/,Midsize/Colo,P1,189216.0
Equinix CH4,illinois,41.8531135,-87.6183281,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/equinix-ch4/,Midsize/Colo,P2,118260.0
DataBank ORD1 - Downtown Chicago,illinois,41.8742002,-87.629937,1.0,1.91,https://www.databank.com/data-centers/chicago/600-south-federal-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/zcolo-600-s-federal/,Small,P1,7884.0
Stream DC Chicago I,illinois,42.00704957550101,-87.95503366658885,15.0,1.68,https://www.streamdatacenters.com/datacenters/chicago-i/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/chicago-i/,Midsize/Colo,P1,118260.0
DataBank ORD2 - Chicago,illinois,41.8709351,-87.6401493,2.0,1.91,https://www.databank.com/data-centers/chicago/840-canal-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/databank-ord2/,Small,P1,15768.0
EdgeConneX Chicago - EDCCHI02,illinois,42.0013642,-87.9526256,6.0,1.91,https://www.edgeconnex.com/locations/americas/chicago-il/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/edgeconnex-chi02/,Small,P1,47304.0
HydraVault Data Center,illinois,41.8462436,-87.6257043,20.0,1.19,https://www.hydravault.com/facility?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/hydravault-data-center/,Midsize/Colo,P1,157680.0
Cogent Data Center - Chicago 1,illinois,41.8899651,-87.6324538,0.3,1.91,https://www.cogentco.com/en/cogent-chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cogent-chicago-1/,Small,P1,2365.2000000000003
CoreSite Chicago (CH1),illinois,41.875952,-87.631416,15.0,1.68,https://www.coresite.com/data-center-locations/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/427-lasalle/,Midsize/Colo,P2,118260.0
STACK Infrastructure CHI01A,illinois,42.00678026127915,-87.96528458998615,13.0,1.68,https://www.stackinfra.com/locations/americas/chicago/chi01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/stack-infrastructure-chi01a/,Midsize/Colo,P1,102492.00000000001
ColoCrossing CH1,illinois,41.9942995,-87.9623356,36.4,1.22,https://www.colocrossing.com/datacenter/chicago-il/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/colocrossing-ch1/,Hyperscale,P1,286977.6
Stream DC Chicago II,illinois,41.99365419435963,-87.9599428471867,32.0,1.22,https://www.streamdatacenters.com/datacenters/chicago-ii/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/chicago-ii/,Hyperscale,P1,252288.0
NetSource Naperville 1,illinois,41.8110218,-88.1952921,50.0,1.22,https://www.netsource.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/netsource/,Hyperscale,P3,394200.0
H5 Data Centers Chicago,illinois,41.863578,-87.674875,15.0,1.68,https://h5datacenters.com/chicago-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/chicago-data-center/,Midsize/Colo,P2,118260.0
Equinix CH3,illinois,42.0010976,-87.9548634,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/equinix-ch3/,Midsize/Colo,P2,118260.0
725 S. Wells,illinois,41.87258569999999,-87.6332523,5.0,1.91,https://1547realty.com/data-centers/chil2-chicago-illinois/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/725-wells/,Small,P1,39420.0
Csquare - Chicago ORD2-A,illinois,41.99205367086571,-87.95830249786377,9.6,1.91,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cyxtera-ord1/,Small,P1,75686.40000000001
Digital Fortress Chicago,illinois,41.84582138061523,-88.00611877441406,8.0,1.91,http://digital-fortress.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/digital-fortress-chicago/,Small,P1,63072.0
GDC - Chicago CH3 Data 'Center,illinois,41.9868238,-88.0079465,36.0,1.22,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/chicago-ch3-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/ntt-chicago-ch3/,Hyperscale,P1,283824.0
Equinix CH1,illinois,41.8531135,-87.6183281,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/equinix-chicago/,Midsize/Colo,P2,118260.0
Equinix CH2,illinois,41.8531135,-87.6183281,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/equinix-chicago-2/,Midsize/Colo,P2,118260.0
GDC - Chicago CH2 Data Center,illinois,41.9889522,-88.0071866,36.0,1.22,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/chicago-ch2-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/ntt-chicago-ch2/,Hyperscale,P1,283824.0
FirstComm Data Center,illinois,41.87159,-87.643055,15.0,1.68,http://firstcomm.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/first-com-dc/,Midsize/Colo,P3,118260.0
Cogent Data Center - Chicago 3,illinois,41.8199911,-87.7289468,7.2,1.91,https://www.cogentco.com/en/cogent-chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cogent-data-center-chicago-3/,Small,P1,56764.8
