Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
"DartPoints Columbus, IN - CLU01",indiana,39.17949,-85.896024,9.771,1.91,https://dartpoints.com/locations/indiana/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/columbus-in/data-cave/,Small,P1,77034.56400000001
Digital Crossroad DX-1,indiana,41.7074123,-87.5201463,20.0,1.15,https://digitalcrossroad.com/data-centers/indiana-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/hammond/dx-1/,Midsize/Colo,P1,157680.0
Netrality - Indy Telcom Center,indiana,39.7597009,-86.1723943,0.8,1.91,,https://www.datacentermap.com/usa/indiana/indianapolis/netrality-indy-telcom-center/,Small,P1,6307.200000000001
701 West Henry Street,indiana,39.759719,-86.170956,1.0,1.91,,https://www.datacentermap.com/usa/indiana/indianapolis/701-west-henry/,Small,P4,7884.0
Metrobloks Indianapolis IND A1,indiana,39.80423711173177,-86.10161767914187,53.0,1.22,https://metrobloks.com/sites/indianapolis?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/metrobloks-indianapolis-ind-a1/,Hyperscale,P1,417852.0
Netrality - Indy Telcom Suite 101,indiana,39.759537,-86.170956,1.0,1.91,,https://www.datacentermap.com/usa/indiana/indianapolis/365main-indianapolis/,Small,P4,7884.0
DataBank IND2 - Downtown Indianapolis,indiana,39.7601501,-86.1704701,3.75,1.91,https://www.databank.com/data-centers/indianapolis/650-west-henry-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/lightbound-650/,Small,P1,29565.0
US Signal Indianapolis IN02,indiana,39.8703703,-86.2369444,1.6,1.91,https://ussignal.com/data-centers/in02-indianapolis/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/us-signal-indianapolis-north/,Small,P1,12614.400000000001
OTAVA Indianapolis,indiana,39.758763,-86.16774,3.0,1.91,https://www.otava.com/meet-otava/locations/indianapolis-indiana/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/indianapolis-1-data-center/,Small,P1,23652.0
DataBank IND1 - Downtown Indianapolis,indiana,39.7594553,-86.1722373,2.1,1.91,https://www.databank.com/data-centers/indianapolis/731-west-henry-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/lightbound-731-henry-street/,Small,P1,16556.4
Lifeline Data Centers Eastgate,indiana,39.775998,-86.04275,20.0,1.14,https://www.lifelinedatacenters.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/eastgate-in/,AI Specialized,P3,157680.0
Expedient Indianapolis,indiana,39.962822,-86.1456155,4.4,1.91,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/expedient-indianapolis/,Small,P1,34689.600000000006
Raeden Indianapolis,indiana,39.758786,-86.1722467,0.33,1.91,https://raeden.com/data-centers/indianapolis/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/raeden-indianapolis/,Small,P1,2601.7200000000003
Wintek Data Center,indiana,40.3607999,-86.8304082,1.0,1.91,https://wintekbusiness.com/services/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/wintek-data-center/,Small,P4,7884.0
American Tower EDC Indianapolis,indiana,39.8940219,-86.2054342,4.0,1.91,https://www.americantower.com/us/data-centers-edge?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/american-tower-edc-indianapolis/,Small,P1,31536.0
Cogent Data Center - Indianapolis,indiana,39.7656489,-86.14384179999999,15.0,1.68,https://www.cogentco.com/en/cogent-Indianapolis?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/cogent-data-center-indianapolis/,Midsize/Colo,P3,118260.0
Windstream Indianapolis,indiana,39.759719,-86.170956,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/ngenx-indianapolis/,Small,P4,7884.0
Google Monroe Township,indiana,39.59718579563147,-86.45957997430014,50.0,1.22,https://datacenters.google/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/google-monroe-township/,Hyperscale,P2,394200.0
"Oliver Street, LLC",indiana,39.7587984,-86.1722574,1.0,1.91,https://paragoncompanies.com/real-estate-management/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/oliver-street/,Small,P4,7884.0
Windstream Lafayette,indiana,40.3987596,-86.8686813,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/ngenx---lafayette/,Small,P4,7884.0
Prologis Shelbyville,indiana,39.52792616180558,-85.7176395682413,1.0,1.91,https://www.prologis.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/prologis-shelbyville/,Small,P4,7884.0
LGI Broad Ripple,indiana,39.8690448,-86.1290975,1.0,1.91,https://www.lifegrid.com/datacenter.htm?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/lgi-broad-ripple/,Small,P4,7884.0
Project Flo,indiana,39.71838432620218,-85.99906731789227,1.0,1.91,,https://www.datacentermap.com/usa/indiana/indianapolis/project-flo/,Small,P4,7884.0
RadiusDC Plainfield Campus,indiana,39.7404066386581,-86.35832618422103,24.0,1.68,https://www.radius-dc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/radiusdc-plainfield-campus/,Midsize/Colo,P1,189216.0
Meta Lebanon Campus,indiana,40.05758,-86.540225,1540.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-campus/,Hyperscale,P1,12141360.0
Decatur Technology Park - Bldg B,indiana,39.664055,-86.304225,50.0,1.22,https://sabeydecaturdatacenter.com/#docs?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/decatur-technology-park-bldg-b/,Hyperscale,P3,394200.0
Decatur Technology Park - Bldg A,indiana,39.665565,-86.299991,50.0,1.22,https://sabeydecaturdatacenter.com/#docs?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/decatur-technology-park-bldg-a/,Hyperscale,P3,394200.0
Hancock County MegaSite,indiana,39.86366,-85.873752,1.0,1.91,https://www.surge-development.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/hancock-county-megasite/,Small,P4,7884.0
RadiusDC Indy I,indiana,39.74041991057229,-86.36036713646318,50.0,1.22,https://www.radius-dc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/radiusdc-plainfield-dc1/,Hyperscale,P3,394200.0
Decatur Technology Park,indiana,39.664586,-86.3021,50.0,1.22,https://sabeydecaturdatacenter.com/#docs?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/decatur-technology-park/,Hyperscale,P3,394200.0
RadiusDC Indy II,indiana,39.74049278204373,-86.35595646544287,50.0,1.22,https://www.radius-dc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/radiusdc-plainfield-dc2/,Hyperscale,P3,394200.0
DC BLOX Indianapolis Campus,indiana,39.766602,-86.050827,15.0,1.68,https://www.dcblox.com/indianapolisdatacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/dc-blox-indianapolis-campus/,Midsize/Colo,P2,118260.0
DC BLOX Indianapolis DC1,indiana,39.766443,-86.050307,15.0,1.68,https://www.dcblox.com/indianapolisdatacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/dc-blox-indianapolis-dc1/,Midsize/Colo,P2,118260.0
Meta Lebanon - Building 12,indiana,40.053307,-86.540421,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-12/,Hyperscale,P2,394200.0
Meta Lebanon - Building 1,indiana,40.066399,-86.545156,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-1/,Hyperscale,P2,394200.0
Meta Lebanon - Building 5,indiana,40.057592,-86.535452,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-5/,Hyperscale,P2,394200.0
Hancock County MegaSite - Building 1,indiana,39.86861,-85.875999,1.0,1.91,https://www.surge-development.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/hancock-county-megasite-building-1/,Small,P4,7884.0
Meta Lebanon - Building 6,indiana,40.054989,-86.535597,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-6/,Hyperscale,P2,394200.0
Meta Lebanon - Building 4,indiana,40.059683,-86.544801,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-4/,Hyperscale,P2,394200.0
Vantage - Pittsboro DC2,indiana,39.901172,-86.452353,96.0,1.22,https://vantage-dc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/vantage-pittsboro-dc2/,Hyperscale,P1,756864.0
Hancock County MegaSite - Building 5,indiana,39.858561,-85.876016,1.0,1.91,https://www.surge-development.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/hancock-county-megasite-building-5/,Small,P4,7884.0
Vantage - Pittsboro DC3,indiana,39.89945,-86.448548,48.0,1.22,https://vantage-dc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/vantage-pittsboro-dc3/,Hyperscale,P1,378432.0
Meta Lebanon - Building 2,indiana,40.063825,-86.545182,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-2/,Hyperscale,P2,394200.0
Meta Lebanon - Building 3,indiana,40.062243,-86.544752,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-3/,Hyperscale,P2,394200.0
Meta Lebanon - Building 9,indiana,40.053257,-86.54879,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-9/,Hyperscale,P2,394200.0
Meta Lebanon - Building 11,indiana,40.053223,-86.543568,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-11/,Hyperscale,P2,394200.0
Vantage - Pittsboro DC1,indiana,39.904046,-86.445111,254.0,1.22,https://vantage-dc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/vantage-pittsboro-dc1/,Hyperscale,P1,2002536.0
Meta Lebanon - Building 10,indiana,40.053223,-86.545638,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-10/,Hyperscale,P2,394200.0
Hancock County MegaSite - Building 3,indiana,39.862072,-85.871635,1.0,1.91,https://www.surge-development.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/hancock-county-megasite-building-3/,Small,P4,7884.0
Vantage - Pittsboro Campus,indiana,39.900971,-86.448764,15.0,1.68,https://vantage-dc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/vantage-pittsboro-campus/,Midsize/Colo,P2,118260.0
Meta Lebanon - Building 7,indiana,40.053425,-86.535546,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-7/,Hyperscale,P2,394200.0
Meta Lebanon - Building 8,indiana,40.050972,-86.535471,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/meta-lebanon-building-8/,Hyperscale,P2,394200.0
Lumen Indianapolis 2,indiana,39.911438,-86.237694,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/twtc-indianapolis/,Midsize/Colo,P2,118260.0
Hancock County MegaSite - Building 2,indiana,39.865053,-85.876224,1.0,1.91,https://www.surge-development.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/hancock-county-megasite-building-2/,Small,P4,7884.0
Lumen Indianapolis 1,indiana,39.7415,-86.150753,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/level3-indianapolis1/,Midsize/Colo,P2,118260.0
Hancock County MegaSite - Building 4,indiana,39.861086,-85.875918,1.0,1.91,https://www.surge-development.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/hancock-county-megasite-building-4/,Small,P4,7884.0
DC BLOX Indianapolis DC3,indiana,39.766082,-86.052109,15.0,1.68,https://www.dcblox.com/indianapolisdatacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/dc-blox-indianapolis-dc3/,Midsize/Colo,P2,118260.0
DC BLOX Indianapolis DC2,indiana,39.767092,-86.052119,15.0,1.68,https://www.dcblox.com/indianapolisdatacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/indianapolis/dc-blox-indianapolis-dc2/,Midsize/Colo,P2,118260.0
Aunalytics South Bend Data Center,indiana,41.659842,-86.2581782,10.0,1.68,https://www.aunalytics.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/data-realty/,Midsize/Colo,P1,78840.0
Colostore Data Center,indiana,41.6555804,-86.2501764,1.0,1.91,https://www.colostore.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/colostorecom/,Small,P4,7884.0
GAP Union Station,indiana,41.66953,-86.255944,15.0,1.68,https://globalaccesspoint.pagecloud.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/gap-union-station/,Midsize/Colo,P3,118260.0
Microsoft Mishawaka,indiana,41.72851270767718,-86.12048835579816,1000.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/microsoft-mishawaka/,Hyperscale,P1,7884000.0
GAP Studebaker 84,indiana,41.6686505,-86.2551276,15.0,1.68,https://globalaccesspoint.pagecloud.com/solutions-datacenter?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/gap-studebaker-84/,Midsize/Colo,P3,118260.0
Amazon AWS - New Carlisle North DC4,indiana,41.688576091554,-86.47513230991217,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc4/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC8,indiana,41.66771347465271,-86.47525876718367,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc8/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South Campus,indiana,41.665512,-86.47261,50.0,1.22,https://aws.amazon.com/es/about-aws/global-infrastructure/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC3,indiana,41.66888110749527,-86.47072253555125,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc3/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC5,indiana,41.66767635548396,-86.47931848839958,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc5/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle North DC9,indiana,41.688576091554,-86.46182967339325,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc9/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle North DC3,indiana,41.69212834909544,-86.46374508466417,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc3/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle North DC2,indiana,41.69211263157376,-86.46475541148838,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc2/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle North DC7,indiana,41.68859180993976,-86.4698070456095,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc7/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC4,indiana,41.66851861799765,-86.4793372515413,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc4/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle North DC5,indiana,41.68854465477092,-86.47296431693518,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc5/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC2,indiana,41.67037257685003,-86.47064474450089,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc2/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC7,indiana,41.66856902405336,-86.47521295512243,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc7/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle North DC8,indiana,41.69187686828786,-86.46161918863821,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc8/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle North DC6,indiana,41.68863896507404,-86.47189084468445,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc6/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC6,indiana,41.66617345708035,-86.479366582007,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc6/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle North Campus,indiana,41.68757010687629,-86.46677606513683,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-campus/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC1,indiana,41.67015951191495,-86.47927955109098,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc1/,Hyperscale,P2,394200.0
52505 Spruce Road,indiana,41.72835958426815,-86.495147750325,1.0,1.91,,https://www.datacentermap.com/usa/indiana/south-bend/52505-spruce-road/,Small,P4,7884.0
Amazon AWS - New Carlisle North DC1,indiana,41.69211263157376,-86.46694445294087,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-north-dc1/,Hyperscale,P2,394200.0
Amazon AWS - New Carlisle South DC9,indiana,41.66604797254398,-86.47530457924489,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/amazon-aws-new-carlisle-south-dc9/,Hyperscale,P2,394200.0
WHP South Bend,indiana,41.64696773001109,-86.29817337756789,1.0,1.91,,https://www.datacentermap.com/usa/indiana/south-bend/whp-south-bend/,Small,P4,7884.0
Altafiber Blactkhorn,indiana,41.7293941,-86.3311677,1.0,1.91,https://www.altafiber.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/gramtel-blactkhorn/,Small,P4,7884.0
Lumen SouthBend 1,indiana,39.7021177,-86.0919439,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/level3-southbend1/,Midsize/Colo,P2,118260.0
CBTS South Bend Data Center II,indiana,41.6833813,-86.2500066,1.0,1.91,https://www.cbts.com/infrastructure/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/cbts-south-bend-data-center-ii/,Small,P4,7884.0
CBTS South Bend Data Center I,indiana,41.6777607,-86.2472603,1.0,1.91,https://www.cbts.com/infrastructure/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/south-bend/cbts-south-bend-data-center-i/,Small,P4,7884.0
Lifeline Data Centers Fort Wayne,indiana,41.0140283,-85.1099756,15.0,1.68,https://lifelinedatacenters.com/about/data-center-outsourcing-details/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/fort-wayne/lifeline-data-centers-fort-wayne/,Midsize/Colo,P3,118260.0
Google Fort Wayne Campus,indiana,41.0307544,-85.0534431,1200.0,1.22,https://www.google.com/about/datacenters/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/fort-wayne/google-fort-wayne-data-center/,Hyperscale,P1,9460800.0
Indiana Data center,indiana,41.1186245,-85.151882,20.0,1.14,https://inddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/indiana/fort-wayne/indiana-data-center/,AI Specialized,P3,157680.0
