Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
US Signal Des Moines IA01,iowa,41.6166126,-93.8535056,7.6,1.91,https://ussignal.com/data-centers/ia01-des-moines/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/team-companies-des-moines/,Small,P1,False,5,59918.4
IP Pathways Urbandale,iowa,41.6274127,-93.7680364,5.0,1.91,https://www.ippathways.com/data-center-and-colocation-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/ip-pathways-urbandale/,Small,P1,False,5,39420.0
InfoBunker,iowa,41.586182,-93.659333,10.0,1.28,https://www.infobunker.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/infobunker/,Midsize/Colo,P1,False,5,78840.0
Aureon Downtown,iowa,41.5879944,-93.6310129,1.0,1.91,https://www.aureon.com/network/data-center-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/aureon-downtown/,Small,P4,False,1,7884.0
LightEdge - Altoona II,iowa,41.666762,-93.455725,1.0,1.91,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/lightedge-altoona2/,Small,P4,False,1,7884.0
Edged Des Moines,iowa,41.72646659999999,-93.5608933,13.0,1.15,https://www.edged.us/des-moines?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/edged-des-moines/,Midsize/Colo,P1,False,5,102492.00000000001
LightEdge - Altoona I,iowa,41.6668,-93.455687,1.0,1.91,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/edgebcc/,Small,P4,False,1,7884.0
Consolidated Des Moines,iowa,41.5868055,-93.6227464,1.0,1.91,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/iowa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/consolidated-des-moines/,Small,P4,False,1,7884.0
Cologix DSM1,iowa,41.58516950320468,-93.62476237658234,0.6,1.91,,https://www.datacentermap.com/usa/iowa/des-moines/connect-des-moines/,Small,P1,False,5,4730.400000000001
Tract Des Moines,iowa,41.68082927273799,-93.53454705920636,1000.0,1.22,https://www.tract.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/tract-des-moines/,Hyperscale,P1,False,5,7884000.0
Aureon West Des Moines,iowa,41.5977398,-93.7351379,15.0,1.68,https://www.aureon.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/westown-communications-center/,Midsize/Colo,P3,False,1,118260.0
COPT Van Meter DC1,iowa,41.538142,-93.931068,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc1/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC13,iowa,41.532265,-93.920064,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc13/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC11,iowa,41.534684,-93.920054,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc11/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC9,iowa,41.532305,-93.928296,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc9/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC12,iowa,41.533306,-93.919994,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc12/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC2,iowa,41.538135,-93.926538,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc2/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC8,iowa,41.533473,-93.928328,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc8/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC4,iowa,41.536905,-93.92661,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc4/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC15,iowa,41.53112,-93.921756,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc15/,Hyperscale,P3,False,1,394200.0
COPT Van Meter DC14,iowa,41.53112,-93.926425,50.0,1.22,https://www.copt.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/iowa/des-moines/copt-van-meter-dc14/,Hyperscale,P3,False,1,394200.0
