Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Riot Platforms Paducah,kentucky,37.08898629999999,-88.7027394,100.0,1.22,https://www.riotplatforms.com/bitcoin-mining/kentucky/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/paducah/riot-platforms-paducah/,Hyperscale,P1,False,5,788400.0
Core Scientific Calvert City,kentucky,37.05044666481538,-88.39390071822639,150.0,1.22,https://corescientific.com/infrastructure-footprint/#content-kentucky?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/calvert-city/core-scientific-calvert-city/,Hyperscale,P1,False,5,1182600.0
Quad State Internet PAH1,kentucky,37.0940089,-88.6340503,50.0,1.22,https://quadstateinternet.net/enterprise?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/paducah/quad-state-internet-data-center/,Hyperscale,P3,False,1,394200.0
Riot Platforms Calvert City,kentucky,37.0541587,-88.3508648,55.0,1.22,https://www.riotplatforms.com/bitcoin-mining/kentucky/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/calvert-city/riot-platforms-calvert-city/,Hyperscale,P1,False,5,433620.0
Louisville Enterprise Data Center,kentucky,38.2120095,-85.5197907,1.0,1.7,https://carterfunds.com/enterprise-data-center-3/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/louisville-enterprise-data-center/,Small,P1,False,5,7884.0
Flexential Louisville - Downtown Data Center - $0 NRC's,kentucky,38.243438,-85.733604,3.09,1.91,,https://www.datacentermap.com/usa/kentucky/louisville/flexential-louisville-downtown/,Small,P1,False,5,24361.56
Flexential Louisville - East Data Center,kentucky,38.277194,-85.507272,1.46,1.91,,https://www.datacentermap.com/usa/kentucky/louisville/flexential-louisville/,Small,P1,False,5,11510.640000000001
Cogent Data Center - Louisville,kentucky,38.2459161,-85.7579598,0.2,1.91,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/cogent-louisville/,Small,P1,False,5,1576.8000000000002
332 West Broadway,kentucky,38.2457797,-85.7580952,1.0,1.91,,https://www.datacentermap.com/usa/kentucky/louisville/332-w-broadway/,Small,P4,False,1,7884.0
Simpsonville Enterprise Data Center,kentucky,38.2189073,-85.33787919999999,1.0,1.7,https://carterfunds.com/enterprise-data-center-4/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/simpsonville-enterprise-data-center/,Small,P1,False,5,7884.0
BluegrassNet East Breckinridge,kentucky,38.2411629,-85.7493313,15.0,1.68,https://www.bluegrass.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/east-breckinridge/,Midsize/Colo,P3,False,1,118260.0
TeraWulf Hawesville,kentucky,37.94574239663027,-86.78736526524985,1.0,1.91,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/terawulf-hawesville/,Small,P4,False,1,7884.0
IgLou Data Center,kentucky,38.178387,-85.7002616,15.0,1.68,https://www.iglou.com/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/iglou-colocation/,Midsize/Colo,P3,False,1,118260.0
PowerHouse Louisville Campus,kentucky,38.19922401996019,-85.85414862698194,400.0,1.22,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-campus/,Hyperscale,P1,False,5,3153600.0
"Windstream Louisville, KY",kentucky,38.2421627,-85.7381196,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/ngenx---colocation/,Small,P4,False,1,7884.0
Silica Broadband,kentucky,38.3703275,-85.5935596,1.0,1.91,https://silicabroadband.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/davey-holdings/,Small,P4,False,1,7884.0
Project Lincoln OC Data Center,kentucky,38.3944462,-85.4093247,1.0,1.91,,https://www.datacentermap.com/usa/kentucky/louisville/project-lincoln-oc-data-center/,Small,P4,False,1,7884.0
BluegrassNet Downtown Louisville,kentucky,38.2440518,-85.7592415,15.0,1.68,https://www.bluegrass.net/datacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/bluegrassnet-downtown-louisville/,Midsize/Colo,P3,False,1,118260.0
PowerHouse Louisville - Building 1,kentucky,38.196507,-85.859755,1.0,1.91,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-1/,Small,P4,False,1,7884.0
PowerHouse Louisville - Building 2,kentucky,38.195737,-85.858636,1.0,1.91,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-2/,Small,P4,False,1,7884.0
PowerHouse Louisville - Building 5,kentucky,38.197425,-85.856617,1.0,1.91,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-5/,Small,P4,False,1,7884.0
PowerHouse Louisville - Building 6,kentucky,38.196398,-85.855327,1.0,1.91,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-6/,Small,P4,False,1,7884.0
PowerHouse Louisville - Building 4,kentucky,38.194083,-85.856136,1.0,1.91,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-4/,Small,P4,False,1,7884.0
PowerHouse Louisville - Building 7,kentucky,38.201524,-85.853719,1.0,1.91,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-7/,Small,P4,False,1,7884.0
PowerHouse Louisville - Building 3,kentucky,38.194831,-85.857221,1.0,1.91,https://www.powerhousedata.com/data-center/ph-louisville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/powerhouse-louisville-building-3/,Small,P4,False,1,7884.0
Data Canopy - Louisville,kentucky,38.2371028,-85.7738726,1.0,1.91,https://datacanopy.com/data-centers/louisville-ky/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/louisville/hosting-louisville/,Small,P4,False,1,7884.0
KUSI Data Center,kentucky,37.8266306,-84.7017367,15.0,1.68,https://www.kentuckyunderground.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/lexington/subtac/,Midsize/Colo,P3,False,1,118260.0
Windstream Lexington,kentucky,38.0460732,-84.4944433,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/lexington/windstream-lexington/,Small,P4,False,1,7884.0
Gearheart Communications,kentucky,38.042286,-84.4672719,1.0,1.91,https://www.gearheart.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/lexington/gearheart-communications/,Small,P3,False,1,7884.0
BluegrassNet Downtown Lexington,kentucky,38.05448309124982,-84.50053647752466,15.0,1.68,https://www.bluegrass.net/datacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/lexington/bluegrassnet-downtown-lexington/,Midsize/Colo,P3,False,1,118260.0
CBTS Florence Data Center,kentucky,39.0049168,-84.601462,1.0,1.91,https://www.cbts.com/infrastructure/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/kentucky/florence-ky/cbts-florence-data-center/,Small,P4,False,1,7884.0
