Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Lockstep Technology Group Data Center,louisiana,30.387342,-91.092453,10.0,1.68,https://lockstepgroup.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/nasplex/,Midsize/Colo,P1,False,5,78840.0
Cogent Data Center - New Orleans,louisiana,29.949111,-90.070065,0.7,1.91,https://www.cogentco.com/en/cogent-new-orleans?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/cogent-new-orleans/,Small,P1,False,5,5518.8
FOGO Solutions - New Orleans,louisiana,29.9529724,-90.0731917,15.0,1.68,https://fogosolutions.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/new-orleans-region/,Midsize/Colo,P3,False,1,118260.0
Scroggin Networks Monroe,louisiana,32.5156661,-92.1134716,1.0,1.91,https://scroggin.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/monroe/monroe/,Small,P4,False,1,7884.0
Applied Digital Project Lightning,louisiana,31.37948119972468,-92.68820292722972,20.0,1.14,https://www.applieddigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/alexandria-la/applied-digital-project-lightning/,AI Specialized,P2,False,1,157680.0
"DartPoints Baton Rouge, LA 2 - BTR02",louisiana,30.4522872,-91.1155706,6.0,1.91,https://dartpoints.com/locations/louisiana2/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/dartpoints-baton-rouge/,Small,P1,False,5,47304.0
"DartPoints Baton Rouge, LA 1 - BTR01",louisiana,30.4537793,-91.1159194,2.5,1.91,https://dartpoints.com/locations/louisiana1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/dartpoints-baton-rouge-1/,Small,P1,False,5,19710.0
"DartPoints Shreveport, LA - SHV01",louisiana,32.510911,-93.7500758,2.2,1.91,https://dartpoints.com/locations/louisiana3/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/dartpoints-shreveport/,Small,P1,False,5,17344.800000000003
EdgeConneX Slidell - EDCSLI01,louisiana,30.2871413,-89.737401,0.5,1.91,https://www.edgeconnex.com/locations/americas/new-orleans-la/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/edgeconnex-edcsli01/,Small,P1,False,5,3942.0
Hut 8 River Bend Campus,louisiana,30.7175586636459,-91.3151964490214,200.0,1.22,https://www.hut8.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/hut-8-river-bend-campus/,Hyperscale,P1,False,5,1576800.0
Lumen Baton Rouge 2,louisiana,30.3572892,-91.1176267,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/baton-rouge/level3-baton-rouge2/,Midsize/Colo,P2,False,1,118260.0
Lumen New Orleans 2,louisiana,29.9507683,-90.0767572,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/lumen-new-orleans-2/,Midsize/Colo,P2,False,1,118260.0
Lumen New Orleans 1,louisiana,29.9489449,-90.0768393,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/level3-new-orleans1/,Midsize/Colo,P2,False,1,118260.0
Lumen Metairie,louisiana,29.9725494,-90.158026,50.0,1.22,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/new-orleans/level3-metairie/,Hyperscale,P2,False,1,394200.0
Meta Hyperion Campus,louisiana,32.495963,-91.636214,2230.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/louisiana/shreveport/meta-richland-parish/,Hyperscale,P1,True,5,17581320.0
