Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
TierPoint Baltimore - BWI,maryland,39.2134365,-76.6828547,15.0,1.68,https://www.tierpoint.com/data-centers/maryland/baltimore-bwi/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/tierpoint-baltimore/,Midsize/Colo,P2,118260.0
TierPoint Baltimore - BAL,maryland,39.2753703,-76.6255517,15.0,1.68,https://www.tierpoint.com/data-centers/maryland/baltimore/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/baltimore-technology-park/,Midsize/Colo,P2,118260.0
AiNET One Market Center,maryland,39.2919659,-76.6203816,80.0,1.22,http://www.ai.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/one-market/,Hyperscale,P1,630720.0
Expedient Owings Mills,maryland,39.427079,-76.8118035,0.8,1.91,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/baltimore-owings-wills/,Small,P1,6307.200000000001
Cogent Data Center - Elkridge,maryland,39.2035251,-76.7124663,6.8,1.91,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/cogent-data-center-elkridge/,Small,P1,53611.200000000004
Expedient Tide Point,maryland,39.2747111,-76.5917613,1.5,1.91,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/baltimore-tide-point/,Small,P1,11826.0
Crown Castle Baltimore,maryland,39.2873717,-76.6061724,15.0,1.68,https://www.crowncastle.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/ba-1/,Midsize/Colo,P3,118260.0
DataBank BWI1 - Downtown Baltimore,maryland,39.29192,-76.62031,0.6,1.91,https://www.databank.com/data-centers/baltimore/300-west-lexington-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/databank-bwi1/,Small,P1,4730.400000000001
AiNET CyberNAP,maryland,39.1386697,-76.6060397,80.0,1.22,https://www.ai.net/cybernap/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/ainet-cybernap/,Hyperscale,P1,630720.0
DataBank - 111 Market Pl,maryland,39.2874836,-76.6061655,15.0,1.68,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/zcolo-111-market/,Midsize/Colo,P2,118260.0
1500 Woodlawn Drive,maryland,39.307303,-76.7347456,150.0,1.22,,https://www.datacentermap.com/usa/maryland/baltimore/1500-woodlawn-drive/,Hyperscale,P1,1182600.0
InfraDMS BAL01,maryland,39.2893148,-76.6105527,50.0,1.22,http://www.infradms.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/idms-bal01/,Hyperscale,P3,394200.0
Comcast Nottingham,maryland,39.36866285980927,-76.4673345576727,1.0,1.91,https://business.comcast.com/enterprise/products-services/data-networking?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/comcast-nottingham/,Small,P4,7884.0
9800 South Eternal Rings Drive,maryland,39.13373184488427,-76.85124687784618,1.0,1.91,https://www.gipartners.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/9800-south-eternal-rings-drive/,Small,P4,7884.0
7665 Sandy Farm Road,maryland,39.14914956540815,-76.67872943149159,1.0,1.91,https://www.gipartners.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/7665-sandy-farm-road/,Small,P4,7884.0
Lumen Baltimore,maryland,39.2919445,-76.6202844,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/maryland/baltimore/level3-baltimore/,Midsize/Colo,P2,118260.0
