Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Crown Castle Springfield (MA1),massachusetts,42.1100177,-72.5764883,15.0,1.68,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/springfield-ma/crown-castle-ma1/,Midsize/Colo,P3,False,1,118260.0
Cogent Data Center - Springfield,massachusetts,42.113001,-72.5836369,2.3,1.91,https://www.cogentco.com/en/cogent-boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/springfield-ma/cogent-data-center-springfield/,Small,P1,False,5,18133.199999999997
55 Middlesex Turnpike,massachusetts,42.5087368,-71.2339647,5.1,1.91,,https://www.datacentermap.com/usa/massachusetts/boston/55-middlesex/,Small,P1,False,5,40208.4
128 First Avenue (BOS14),massachusetts,42.3013161,-71.2190293,11.6,1.68,,https://www.datacentermap.com/usa/massachusetts/boston/128-first-avenue/,Midsize/Colo,P1,False,5,91454.4
105 Cabot Street (BOS16),massachusetts,42.3028621,-71.2210018,2.2,1.91,,https://www.datacentermap.com/usa/massachusetts/boston/digital-realty-105-cabot/,Small,P1,False,5,17344.800000000003
Csquare - Boston BOS4-A,massachusetts,42.36506,-71.15973,15.0,1.68,https://www.evoquedcs.com/data-centers/boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/evoque-bos1/,Midsize/Colo,P1,False,5,118260.0
Evocative BOS1,massachusetts,42.3780069,-71.080328,6.0,1.91,https://evocative.com/data-centers/boston-ma-data-center-bos1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/internap-boston/,Small,P1,False,5,47304.0
One Summer St.,massachusetts,42.3547503,-71.0602385,30.0,1.22,https://www.markleygroup.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/one-summer-st/,Hyperscale,P1,False,5,236520.0
Csquare - Boston BOS1-A,massachusetts,42.396583,-71.267667,2.4,1.91,https://centersquaredc.com/data-centers/boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/cyxtera-bos1a/,Small,P1,False,5,18921.600000000002
Expedient Data Centers - Boston,massachusetts,42.4053851,-71.0751087,3.2,1.91,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/expedient-boston/,Small,P1,False,5,25228.800000000003
FirstLight Somerville,massachusetts,42.3767025,-71.0797634,1.0,1.91,http://www.colospace.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/colospace-bostonsomerville/,Small,P4,False,1,7884.0
Csquare - Boston BOS1-B,massachusetts,42.396444,-71.267667,3.75,1.91,https://centersquaredc.com/data-centers/boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/cyxtera-bos1b/,Small,P1,False,5,29565.0
FirstLight Rockland,massachusetts,42.1662641,-70.8983473,1.0,1.91,https://www.colospace.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/rockland-data-center/,Small,P4,False,1,7884.0
Markley Lowell,massachusetts,42.6303845,-71.3042661,15.0,1.68,https://www.markleygroup.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/markley-lowell/,Midsize/Colo,P3,False,1,118260.0
FirstLight Waltham,massachusetts,42.3988661,-71.253781,1.0,1.91,https://www.firstlight.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/colospace-waltham/,Small,P4,False,1,7884.0
Cogent Data Center - Boston,massachusetts,42.3899412,-71.2575841,0.6,1.91,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/cogent-data-center-boston/,Small,P1,False,5,4730.400000000001
SNS Norwood,massachusetts,42.1610759,-71.1996107,1.0,1.91,https://sns.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/norwood/,Small,P4,False,1,7884.0
Prov.net Boston North,massachusetts,42.5970854,-71.3313828,1.0,1.91,http://prov.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/boston-north/,Small,P4,False,1,7884.0
Verizon Boston #2,massachusetts,42.3694763,-71.0879818,1.0,1.91,https://www.verizon.com/business/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/xo-boston2/,Small,P4,False,1,7884.0
Verizon Boston,massachusetts,42.3452065,-71.0419891,1.0,1.91,https://www.verizon.com/business/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/xo-boston/,Small,P4,False,1,7884.0
Csquare - Boston BOS1-C,massachusetts,42.39695377497947,-71.26821398735046,15.0,1.68,https://centersquaredc.com/data-centers/boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/cyxtera-bos1c/,Midsize/Colo,P3,False,1,118260.0
Crown Castle Boston,massachusetts,42.3812872,-71.080081,15.0,1.68,https://www.crowncastle.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/boston/rcn-metro-56-roland/,Midsize/Colo,P3,False,1,118260.0
365 Data Centers - Marlboro,massachusetts,42.3524862,-71.5860847,2.8,1.91,https://365datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/marlborough/sungard-250-locke/,Small,P1,False,5,22075.2
Crown Castle Marlborough (MA2),massachusetts,42.314471,-71.5800491,4.0,1.91,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/marlborough/lightower-marlborough/,Small,P1,False,5,31536.0
Colocation America BOSTONDC1,massachusetts,42.3129021,-71.57925709999999,15.0,1.68,https://www.colocationamerica.com/data-center-locations/boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/marlborough/colocation-america-bostondc1/,Midsize/Colo,P3,False,1,118260.0
Synoptek - Boston Data Center,massachusetts,42.3367942,-71.5942634,1.0,1.91,https://synoptek.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/marlborough/earthlink-boston/,Small,P4,False,1,7884.0
34 St. Martin Drive,massachusetts,42.7167588,-70.9731097,1.0,1.91,https://www.rreefpropertytrust.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/marlborough/34-st-martin-drive/,Small,P4,False,1,7884.0
Crown Castle Worcester (MA3),massachusetts,42.2623616,-71.8030857,1.0,1.91,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/worcester/lightower-worcester/,Small,P1,False,5,7884.0
Cogent Data Center - Worcester,massachusetts,42.2537905,-71.8080499,15.0,1.68,https://www.cogentco.com/en/cogent-boston?utm_source=datacentermap.com,https://www.datacentermap.com/usa/massachusetts/worcester/cogent-data-center-worcester/,Midsize/Colo,P3,False,1,118260.0
