Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Pavilion Township Data Center,michigan,42.2448831,-85.51182089999999,1.0,1.91,,https://www.datacentermap.com/usa/michigan/kalamazoo/pavilion-township-data-center/,Small,P4,7884.0
Hyperscale Data Michigan,michigan,41.992413,-86.098981,340.0,1.22,https://hyperscaledata.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/kalamazoo/hyperscale-data-michigan/,Hyperscale,P1,2680560.0
Aunalytics Kalamazoo Data Center,michigan,42.2464108,-85.6752039,50.0,1.22,https://www.aunalytics.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/kalamazoo/secant-tier-3-dc/,Hyperscale,P3,394200.0
123Net Southfield NW DC2,michigan,42.4670333,-83.2349719,1.0,1.91,https://www.123.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/internet-123/,Small,P1,7884.0
OTAVA Metro Detroit,michigan,42.331051,-83.419518,1.2,1.91,https://www.onlinetech.com/data-centers/michigan-data-centers/metro-detroit-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/metro-detroit-1-data-center/,Small,P1,9460.800000000001
ManagedWay Data Center #2,michigan,42.5406275,-83.0984188,4.0,1.91,https://managedway.com/datacenter-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/waveform-dc-2/,Small,P1,31536.0
US Signal Detroit MI03,michigan,42.2353124,-83.4441197,4.5,1.91,https://ussignal.com/data-centers/detroit-metro?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/us-signal-detroit-metro/,Small,P1,35478.0
123Net Southfield W DC3,michigan,42.4668463,-83.2346439,1.5,1.91,https://www.123.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/123net-inc-dc3/,Small,P1,11826.0
ManagedWay Data Center #1,michigan,42.537172,-83.0998681,1.0,1.91,https://managedway.com/datacenter-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/waveform-troy-datacenter/,Small,P1,7884.0
123Net Southfield DC1,michigan,42.4716648,-83.2380381,20.0,1.68,https://www.123.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/123net-inc-dc1/,Midsize/Colo,P1,157680.0
Liberty Center One Royal Oak,michigan,42.5335168,-83.1774788,50.0,1.22,https://www.libertycenterone.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/liberty-center-one/,Hyperscale,P3,394200.0
EdgeConneX Detroit - EDCDET01,michigan,42.448537,-83.2612259,1.5,1.91,https://www.edgeconnex.com/locations/americas/detroit-mi/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/michigan/detroit/edgeconnex-edcdet01/,Small,P1,11826.0
