Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Cologix MIN1,minnesota,44.9723876,-93.2556845,1.0,1.91,,https://www.datacentermap.com/usa/minnesota/minneapolis/the-minnesota-gateway/,Small,P4,7884.0
Cologix MIN2,minnesota,44.9714084,-93.2545804,1.0,1.91,,https://www.datacentermap.com/usa/minnesota/minneapolis/cologix-min2/,Small,P4,7884.0
Cologix MIN3,minnesota,44.9714084,-93.2545804,1.0,1.91,,https://www.datacentermap.com/usa/minnesota/minneapolis/cologix-min3/,Small,P4,7884.0
Flexential Minneapolis - Chaska Data Center,minnesota,44.8516109,-93.5988911,9.0,1.91,,https://www.datacentermap.com/usa/minnesota/minneapolis/flexential-chaska/,Small,P1,70956.0
Cologix MIN4,minnesota,44.9714084,-93.2545804,1.0,1.91,,https://www.datacentermap.com/usa/minnesota/minneapolis/cologix-min4/,Small,P4,7884.0
Cologix MIN5,minnesota,44.9714084,-93.2545804,1.0,1.91,,https://www.datacentermap.com/usa/minnesota/minneapolis/cologix-min5/,Small,P4,7884.0
US Signal Minneapolis MN01,minnesota,44.8772254,-93.4073773,5.4,1.91,https://ussignal.com/data-centers/mn01-minneapolis/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/visi/,Small,P1,42573.600000000006
T5 Data Centers - T5@Minneapolis,minnesota,44.9715259,-93.2703388,30.0,1.3,https://legacyinvesting.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/t5-minneapolis/,Hyperscale,P1,236520.0
DataBank MSP1 - West Twin Cities,minnesota,44.8626944,-93.3305488,1.35,1.91,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/databank-minneapolis/,Small,P1,10643.400000000001
LightEdge - Minneapolis I,minnesota,44.8079198,-93.6373531,3.6,1.91,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/minneapolis/,Small,P1,28382.4
IronGate Twin Cities West,minnesota,44.9460256,-92.9564078,34.0,1.22,https://irongatedatacenters.com/colocation/twin-cities-west-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/twin-cities-northwest/,Hyperscale,P1,268056.0
DataBank MSP3 - Brooklyn Park,minnesota,45.1437611,-93.3871665,9.0,1.91,https://www.databank.com/data-centers/minneapolis/brooklyn-park-campus/brooklyn-park/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/databank-msp3-brooklyn-park/,Small,P1,70956.0
EdgeConneX Minneapolis - EDCMSP01,minnesota,44.878806,-93.404212,2.5,1.91,https://www.edgeconnex.com/locations/americas/minneapolis-mn/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/edgeconnex-edcmsp01/,Small,P1,19710.0
Csquare - Minneapolis MSP1-A,minnesota,44.77887,-93.461586,1.2,1.91,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/cyxtera-msp2/,Small,P1,9460.800000000001
DataBank MSP4 - Downtown,minnesota,44.9713931,-93.2545912,0.779,1.91,https://www.databank.com/data-centers/minneapolis/511-11th-avenue/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/databank-msp4/,Small,P1,6141.636
Unisys Eagan DC,minnesota,44.842515,-93.169726,15.0,1.68,https://www.jll.com.co/en/industries/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/unisys-eagan-dc/,Midsize/Colo,P3,118260.0
DataBank MSP2 - East Twin Cities,minnesota,44.838426,-93.1458016,5.0,1.91,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/databank-se-minneapolis/,Small,P1,39420.0
IronGate Twin Cities East,minnesota,44.94631,-92.9526548,66.0,1.22,https://irongatedatacenters.com/colocation/twin-cities-east-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/twin-cities-east/,Hyperscale,P1,520344.0
Cogent Data Center - St. Paul,minnesota,44.967306,-93.056761,1.4,1.91,https://www.cogentco.com/en/cogent-minneapolis?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/cogent-data-center-st-paul/,Small,P1,11037.6
CENTRA Minneapolis (MSP1),minnesota,44.825262,-93.1147149,12.0,1.68,https://www.centradigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/centra-minneapolis-msp1/,Midsize/Colo,P1,94608.0
Cogent Data Center - Minneapolis,minnesota,44.989431,-93.28242,0.5,1.91,https://www.cogentco.com/en/cogent-minneapolis?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/cogent-data-center-minneapolis/,Small,P1,3942.0
Connect Eagan,minnesota,44.8272589,-93.1083697,5.0,1.91,https://connectdatacenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/connect-eagan/,Small,P1,39420.0
511 Building,minnesota,44.9714274,-93.2545911,1.0,1.91,https://www.511building.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/511-building/,Small,P4,7884.0
Meta Rosemount Data Center,minnesota,44.7350243,-93.0626122,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/meta-rosemount-data-center/,Hyperscale,P2,394200.0
Consolidated Edina,minnesota,44.862749,-93.33054949999999,1.0,1.91,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/minnesota?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/consolidated-edina/,Small,P4,7884.0
CloudHQ MSP1,minnesota,44.8108654,-93.6371125,180.0,1.22,https://cloudhq.com/es/campus/msp-campus/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/cloudhq-msp1/,Hyperscale,P1,1419120.0
US Internet Minnetonka,minnesota,44.9719507,-93.4368082,15.0,1.68,https://usinternet.com/business/colocation-data-storage/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/us-internet/,Midsize/Colo,P3,118260.0
Consolidated Mankato,minnesota,44.16420660000001,-94.0025582,1.0,1.91,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/minnesota?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/consolidated-mankato/,Small,P4,7884.0
DataBank - 10300 6th Ave,minnesota,44.986437,-93.411558,15.0,1.68,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/zcolo-10300-6th-ave/,Midsize/Colo,P2,118260.0
Trustwave NOC,minnesota,44.865168,-93.4669018,1.0,1.91,https://www.trustwave.com/en-us/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/bhi-noc/,Small,P4,7884.0
IronGate Downtown Minneapolis,minnesota,44.9851559,-93.26804639999999,20.0,1.14,https://www.irongatedatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/irongate-downtown-minneapolis/,AI Specialized,P3,157680.0
250 Marquette Avenue,minnesota,44.9808041,-93.2675631,20.0,1.14,https://themarq.info/toc.cfm?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/250-marquette/,AI Specialized,P3,157680.0
US Internet Robbinsdale,minnesota,45.0248332,-93.3327587,15.0,1.68,https://usinternet.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/us-internet-robbinsdale/,Midsize/Colo,P3,118260.0
Aureon Minneapolis,minnesota,44.9714084,-93.2545804,1.0,1.91,https://www.aureon.com/network/data-center-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/aureon-minneapolis/,Small,P4,7884.0
Farmington Technology Park - Building 12,minnesota,44.61983,-93.118868,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-12/,Small,P4,7884.0
Farmington Technology Park - Building 2,minnesota,44.626857,-93.123093,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-2/,Small,P4,7884.0
Farmington Technology Park - Building 1,minnesota,44.62804,-93.123245,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-1/,Small,P4,7884.0
Farmington Technology Park - Building 9,minnesota,44.620684,-93.126266,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-9/,Small,P4,7884.0
Windstream Minneapolis,minnesota,44.9781697,-93.266903,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/windstream-minneapolis/,Small,P4,7884.0
Farmington Technology Park - Building 4,minnesota,44.624413,-93.123215,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-4/,Small,P4,7884.0
Farmington Technology Park - Building 11,minnesota,44.620746,-93.119997,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-11/,Small,P4,7884.0
Farmington Technology Park - Building 5,minnesota,44.626633,-93.119562,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-5/,Small,P4,7884.0
Farmington Technology Park - Building 10,minnesota,44.620712,-93.123168,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-10/,Small,P4,7884.0
Farmington Technology Park - Building 3,minnesota,44.625537,-93.123166,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-3/,Small,P4,7884.0
Farmington Technology Park - Building 8,minnesota,44.62185,-93.119955,1.0,1.91,https://www.mnlcofarmington.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/minnesota/minneapolis/farmington-technology-park-building-8/,Small,P4,7884.0
