Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
AVAIO Digital Taurus,mississippi,32.26923192298861,-90.01290476557159,116.0,1.22,https://avaiodigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/avaio-digital-taurus/,Hyperscale,P1,False,5,914544.0
CleanSpark Vicksburg,mississippi,32.2618832,-90.9194103,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/cleanspark-vicksburg/,Small,P4,False,1,7884.0
USNX Data Center,mississippi,32.387101,-90.145322,1.0,1.91,https://www.usnx.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/usnx-data-center/,Small,P4,False,1,7884.0
NETDOOR Data Center,mississippi,32.309045,-90.178058,1.0,1.91,https://www.netdoor.com/business/colo/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/netdoor-jxn/,Small,P4,False,1,7884.0
C Spire Ridgeland,mississippi,32.4373271,-90.1472147,1.0,1.91,https://www.cspire.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/c-spire-ridgeland/,Small,P4,False,1,7884.0
CleanSpark Meridian,mississippi,32.348233,-88.7082422,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/meridian/cleanspark-meridian/,Small,P4,False,1,7884.0
CleanSpark Wiggins,mississippi,30.84969373964336,-89.14081418233764,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/hattiesburg/cleanspark-wiggins/,Small,P4,False,1,7884.0
C Spire Hattiesburg,mississippi,31.3195714,-89.3891949,1.0,1.91,https://www.cspire.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/hattiesburg/megagate-broadband-data-center/,Small,P4,False,1,7884.0
xAI MACROHARDRR,mississippi,34.99344008392417,-90.03411726369889,2000.0,1.22,https://x.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/southaven/xai-macrohardrr/,Hyperscale,P1,False,5,15768000.0
C Spire Starkville,mississippi,33.4705608,-88.7911355,1.0,1.91,https://www.cspire.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/starkville/c-spire-starkville/,Small,P4,False,1,7884.0
Amazon AWS - 1001 Industrial Park Drive,mississippi,32.3490803,-90.3663401,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-1001-industrial-park-drive/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Canton DC2,mississippi,32.59609024041239,-90.09796406643464,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc2/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Canton DC4,mississippi,32.59611180787358,-90.09431611035812,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc4/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Canton DC5,mississippi,32.59634904579169,-90.08918339242663,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc5/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Canton DC1,mississippi,32.59452658564494,-90.09800246597229,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc1/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Canton Campus,mississippi,32.59790872917456,-90.09198577949716,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-campus/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Canton DC3,mississippi,32.59452658564494,-90.09438010958752,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc3/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Canton DC6,mississippi,32.59715743839423,-90.09046232999589,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-canton-dc6/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Ridgeland DC2,mississippi,32.411996,-90.190336,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc2/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Ridgeland DC1,mississippi,32.411996,-90.192171,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc1/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Ridgeland DC5,mississippi,32.409104,-90.190732,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc5/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Ridgeland DC3,mississippi,32.411996,-90.189298,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc3/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Ridgeland DC4,mississippi,32.411996,-90.187642,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-dc4/,Hyperscale,P2,False,1,394200.0
Amazon AWS - Ridgeland Campus,mississippi,32.409944,-90.188009,50.0,1.22,https://aws.amazon.com/es/compliance/data-center/controls/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/jackson-ms/amazon-aws-ridgeland-campus/,Hyperscale,P2,False,1,394200.0
Compass Meridian Campus,mississippi,32.391105,-88.622286,320.0,1.22,https://www.compassdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/mississippi/meridian/compass-meridian-campus/,Hyperscale,P1,False,5,2522880.0
