Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Netrality - 1102 Grand Kansas City Data Center,missouri,39.101053,-94.580865,26.0,1.68,,https://www.datacentermap.com/usa/missouri/kansas-city-mo/1102-grand/,Midsize/Colo,P1,204984.00000000003
Iron Mountain Data Centers KCM-1,missouri,39.0110286,-94.5012027,3.9,1.7,https://www.ironmountain.com/data-centers/locations/kansas-city-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/iron-mountain-kcm-1/,Small,P1,30747.6
TierPoint Kansas City,missouri,39.2901266,-94.6850376,15.0,1.68,https://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/cosentry2/,Midsize/Colo,P2,118260.0
IP Pathways Kansas City,missouri,39.1011708,-94.5787964,0.5,1.25,https://www.ippathways.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/ip-pathways/,Small,P1,3942.0
Rackspace Kansas City,missouri,39.2905853,-94.6759587,2.5,1.91,https://www.rackspace.com/about/data-centers/kansas-city?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/rackspace-kansas-city/,Small,P1,19710.0
LightEdge - Kansas City,missouri,39.1590191,-94.4713502,2.7,1.91,http://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/lightedge-solutions-data-center/,Small,P1,21286.800000000003
1530 Swift,missouri,39.1373431,-94.57775819999999,13.0,1.68,https://1530swift.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/1530-swift/,Midsize/Colo,P1,102492.00000000001
Patmos Kansas City,missouri,39.0971892,-94.5672284,4.0,1.91,https://patmos.tech/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/joes-datacenter/,Small,P1,31536.0
Patmos AI Data Center,missouri,39.0947391,-94.5793757,100.0,1.22,https://patmos.tech/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/patmos-kansas-city/,Hyperscale,P1,788400.0
Cogent Data Center - Kansas City,missouri,39.1126169,-94.5763612,9.9,1.91,https://www.cogentco.com/en/cogent-kansas-city?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/cogent-data-center-kansas-city/,Small,P1,78051.6
SubTropolis Technology Center,missouri,39.15688942508717,-94.48099697644882,15.0,1.68,https://stckc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/subtropolis-technology-center/,Midsize/Colo,P1,118260.0
Lambda Kansas City,missouri,39.2956805,-94.6740566,100.0,1.22,https://www.lpc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/11155-n-airworld-dr/,Hyperscale,P1,788400.0
