Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Vision Net 1030 Central,montana,45.7683204,-108.5414675,1.0,1.91,https://vision.net/datacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/billings/billings-central/,Small,P4,7884.0
Cogent Data Center - Billings,montana,45.7408946,-108.5919132,15.0,1.68,https://www.cogentco.com/es/network/cogent-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/billings/cogent-data-center-billings/,Midsize/Colo,P3,118260.0
Parsec Data Center,montana,45.7426697,-108.6031326,2.0,1.91,https://parsecdata.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/billings/parsec-data-center/,Small,P1,15768.0
Atlas Power Butte,montana,45.929424,-112.5195066,150.0,1.22,http://atlaspower.io/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/butte/atlas-power-butte/,Hyperscale,P1,1182600.0
Big Sky Campus,montana,45.78277689999999,-108.5045938,1000.0,1.22,https://bigskydigitalinfra.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/billings/big-sky-campus/,Hyperscale,P1,7884000.0
SDC Butte,montana,45.9969121,-112.6661712,20.0,1.14,https://sabeydatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/butte/sdc-butte/,AI Specialized,P3,157680.0
Krambu Western Montana,montana,46.8725801,-113.8677501,10.0,1.68,https://krambu.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/missoula/krambu-bonner-mill/,Midsize/Colo,P1,78840.0
TAC Great Falls Campus,montana,47.528802,-111.184255,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-campus/,Hyperscale,P3,394200.0
TAC Great Falls - Building 8,montana,47.529196,-111.189531,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-8/,Hyperscale,P3,394200.0
TAC Great Falls - Building 20,montana,47.525796,-111.176614,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-20/,Hyperscale,P3,394200.0
TAC Great Falls - Building 16,montana,47.527066,-111.176799,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-16/,Hyperscale,P3,394200.0
TAC Great Falls - Building 3,montana,47.5325,-111.186821,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-3/,Hyperscale,P3,394200.0
TAC Great Falls - Building 6,montana,47.529176,-111.194962,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-6/,Hyperscale,P3,394200.0
TAC Great Falls - Building 13,montana,47.529196,-111.176762,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-13/,Hyperscale,P3,394200.0
TAC Great Falls - Building 5,montana,47.530713,-111.188288,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-5/,Hyperscale,P3,394200.0
TAC Great Falls - Building 7,montana,47.529233,-111.192238,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-7/,Hyperscale,P3,394200.0
TAC Great Falls - Building 19,montana,47.525849,-111.179277,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-19/,Hyperscale,P3,394200.0
TAC Great Falls - Building 4,montana,47.530713,-111.190052,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-4/,Hyperscale,P3,394200.0
TAC Great Falls - Building 11,montana,47.528351,-111.189568,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-11/,Hyperscale,P3,394200.0
TAC Great Falls - Building 10,montana,47.528333,-111.192273,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-10/,Hyperscale,P3,394200.0
TAC Great Falls - Building 1,montana,47.532459,-111.19018,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-1/,Hyperscale,P3,394200.0
TAC Great Falls - Building 14,montana,47.528036,-111.179428,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-14/,Hyperscale,P3,394200.0
TAC Great Falls - Building 12,montana,47.529196,-111.179326,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-12/,Hyperscale,P3,394200.0
TAC Great Falls - Building 15,montana,47.527999,-111.176786,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-15/,Hyperscale,P3,394200.0
TAC Great Falls - Building 9,montana,47.528165,-111.194875,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-9/,Hyperscale,P3,394200.0
TAC Great Falls - Building 17,montana,47.526994,-111.179445,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-17/,Hyperscale,P3,394200.0
TAC Great Falls - Building 18,montana,47.525814,-111.182075,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-18/,Hyperscale,P3,394200.0
TAC Great Falls - Building 2,montana,47.53252,-111.188532,50.0,1.22,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-2/,Hyperscale,P3,394200.0
