Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Novva Tahoe Reno,nevada,39.5268671,-119.6246269,60.0,1.22,https://www.novva.com/data-center-facilities/tahoe-reno-nevada/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/novva-tahoe-reno/,Hyperscale,P1,False,5,473040.0
CENTRA Reno (RNO1),nevada,39.5229986,-119.8113578,0.25,1.91,https://www.centradigital.com/locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/cadc-reno/,Small,P1,False,5,1971.0
CENTRA Reno (RNO2),nevada,39.525689,-119.8266105,12.0,1.68,https://www.centradigital.com/locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/centra-reno-rno2/,Midsize/Colo,P1,False,5,94608.0
Colovore RN01,nevada,39.5314283,-119.4809659,20.0,1.68,https://www.colovore.com/data-center/data-center-3?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/colovore-rn01/,Midsize/Colo,P1,False,5,157680.0
Roller Network Data Center,nevada,39.4693602,-119.7699757,15.0,1.68,https://www.rollernet.us/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/roller-network2/,Midsize/Colo,P3,False,1,118260.0
Connect Reno,nevada,39.6173616179492,-119.883493432038,5.0,1.91,https://connectdatacenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/connect-reno/,Small,P1,False,5,39420.0
EdgeCore Reno Campus,nevada,39.524533,-119.481825,303.0,1.3,https://edgecore.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/reno-campus/,Hyperscale,P1,False,5,2388852.0
Peru Shelf Technology Park,nevada,39.53921350411434,-119.4938694745495,810.0,1.22,https://www.tract.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/peru-shelf-technology-park/,Hyperscale,P1,False,5,6386040.0
Tract Silver Springs,nevada,39.42587174547161,-119.2346868384189,1.0,1.91,https://www.tract.com/news/tract-expands-its-greater-reno-portfolio-closing-on-1060-acres-in-silver-springs-nevada-following-successful-rezoning-and-development-agreement-with-lyon-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/tract-silver-springs/,Small,P4,False,1,7884.0
Xogenous Data Center,nevada,39.1493425,-119.7552715,1.0,1.91,https://www.xogenous.net/?page_id=466&utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/xogenous/,Small,P4,False,1,7884.0
South Valley Technology Park,nevada,39.5121209,-119.4352238,1.0,1.91,https://www.tract.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/south-valley-technology-park/,Small,P4,False,1,7884.0
PowerHouse Reno Campus,nevada,39.557847,-119.495145,200.0,1.22,https://www.powerhousedata.com/data-center/powerhouse-reno?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/powerhouse-reno/,Hyperscale,P1,False,5,1576800.0
CC Communications Data Center,nevada,39.4751939,-118.7778442,1.0,1.91,http://cccomm.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/cc-communications/,Small,P4,False,1,7884.0
PowerHouse Reno - Building 2,nevada,39.5565547773771,-119.500146378006,65.0,1.22,https://www.powerhousedata.com/data-center/powerhouse-reno?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/powerhouse-reno-building-2/,Hyperscale,P1,False,5,512460.0
PowerHouse Reno - Building 1,nevada,39.55905545015912,-119.4994886662035,65.0,1.22,https://www.powerhousedata.com/data-center/powerhouse-reno?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/powerhouse-reno-building-1/,Hyperscale,P1,False,5,512460.0
PowerHouse Reno - Building 3,nevada,39.55590405491571,-119.495258006556,65.0,1.22,https://www.powerhousedata.com/data-center/powerhouse-reno?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/powerhouse-reno-building-3/,Hyperscale,P1,False,5,512460.0
Flexential Las Vegas - North Data Center,nevada,36.2481731,-115.1012732,9.0,1.3,,https://www.datacentermap.com/usa/nevada/las-vegas/flexential-lone-mountain/,Small,P1,False,5,70956.0
Flexential Las Vegas - Downtown Data Center - $0 NRC's,nevada,36.1683246,-115.1431476,1.37,1.91,,https://www.datacentermap.com/usa/nevada/las-vegas/flexential-las-vegas-downtown/,Small,P1,False,5,10801.080000000002
Novva Las Vegas,nevada,36.271854,-115.0486729,100.0,1.3,https://www.novva.com/data-center-facilities/las-vegas/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/novva-las-vegas/,Hyperscale,P1,False,5,788400.0
Fiberhub LAS1,nevada,36.06598,-115.138266,1.0,1.91,https://fiberhub.com/lasvegas.php?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/vegasnap/,Small,P4,False,1,7884.0
UnitedLayer Las Vegas,nevada,36.0599212,-115.2102389,9.0,1.91,https://www.unitedlayer.com/las-vegas-colocation-2/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/unitedlayer-las-vegas/,Small,P1,False,5,70956.0
Townsite Solar 2 LLC,nevada,35.943433,-114.909801,170.0,1.22,https://skylarcapitalmanagement.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/townsite-solar-2-llc/,Hyperscale,P1,False,5,1340280.0
TPx Las Vegas Data Center,nevada,36.0678939,-115.1379415,1.0,1.91,https://www.tpx.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/tpx-las-vegas-data-center/,Small,P4,False,1,7884.0
ColoXchange Las Vegas,nevada,36.2319774,-115.101894,1.0,1.91,https://www.coloxchange.com/locations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/coloxchange-las-vegas/,Small,P1,False,5,7884.0
Jet.AI Moapa,nevada,36.6885852080035,-114.6249869570949,50.0,1.22,https://jet.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/jetai-moapa/,Hyperscale,P1,False,5,394200.0
Csquare - Las Vegas LAS12,nevada,36.055977,-115.22115,1.0,1.91,https://www.cyxtera.com/data-center-services/data-center-locations/las-vegas/las12?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/cyxtera-las12/,Small,P4,False,1,7884.0
ColoVegas,nevada,36.0281969,-115.0891776,1.0,1.91,https://ipv4.nocroom.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/colovegas/,Small,P4,False,1,7884.0
NocRoom Las Vegas Colocation,nevada,36.0599672,-115.2102174,1.0,1.91,https://nocroom.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/nocroom-las-vegas/,Small,P4,False,1,7884.0
Novva North Las Vegas,nevada,36.40466904313172,-114.922886220882,50.0,1.22,https://www.novva.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/novva-north-las-vegas/,Hyperscale,P3,False,1,394200.0
isp.net Data Center,nevada,36.157416,-115.113948,15.0,1.68,https://www.isp.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/lasvegasnet/,Midsize/Colo,P3,False,1,118260.0
Monarch Data Center Campus,nevada,39.097546,-119.151933,15.0,1.68,https://www.copiapower.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/yerington/monarch-data-center-campus/,Midsize/Colo,P3,False,1,118260.0
