Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
FirstLight Manchester NH,new-hampshire,42.9721839,-71.470491,2.0,1.91,http://www.firstlight.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/manchester-facility/,Small,P1,15768.0
FirstLight Bedford,new-hampshire,42.928233,-71.4639329,1.0,1.91,http://www.firstlight.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/bedford-data-center/,Small,P4,7884.0
Consolidated Manchester,new-hampshire,42.9890278,-71.46366689999999,1.0,1.91,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/new-hampshire?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/consolidated-manchester/,Small,P4,7884.0
Peregrine Networks Data Center,new-hampshire,42.993497,-71.462138,1.0,1.91,https://www.peregrinenetworks.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/spectra-access/,Small,P4,7884.0
Dynamic Internet Data Center,new-hampshire,42.7630792,-71.2417919,50.0,1.22,https://dynamicinternet.com/hosting_services/#1?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/salemnhdc01/,Hyperscale,P3,394200.0
FirstLight Keene NH,new-hampshire,42.9259713,-72.2667588,1.0,1.91,http://www.firstlight.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/keene/firstlight-lebanon/,Small,P4,7884.0
FirstLight Lebanon NH,new-hampshire,43.6790047,-72.2561229,1.0,1.91,https://www.firstlight.net/lebanon-nh-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/lebanon-nh/firstlight-lebanon-nh1/,Small,P4,7884.0
Consolidated Laconia,new-hampshire,43.5314631,-71.4732697,1.0,1.91,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/new-hampshire?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/laconia/consolidated-laconia/,Small,P4,7884.0
SNS Littleton,new-hampshire,44.2932993,-71.7985077,1.0,1.91,https://www.sns.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/littleton/sns-littlteon-nh/,Small,P4,7884.0
FirstLight Portsmouth,new-hampshire,43.0727335,-70.8027537,1.0,1.91,https://www.firstlight.net/portsmouth-nh-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/portsmouth-nh/firstlight-portsmouth/,Small,P4,7884.0
