Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
H5 Data Centers Albuquerque,new-mexico,35.0887055,-106.652629,15.0,1.68,https://h5datacenters.com/albuquerque-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/albuquerque/h5-albuquerque/,Midsize/Colo,P3,False,1,118260.0
Oso Grande Technologies,new-mexico,35.0927922,-106.6536394,1.0,1.91,https://osogrande.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/albuquerque/oso-secure/,Small,P1,False,5,7884.0
bigbyte.cc Corp.,new-mexico,35.084715,-106.648772,15.0,1.68,https://www.bigbyte.cc/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/albuquerque/bigbytecc/,Midsize/Colo,P3,False,1,118260.0
SWCP Data Center,new-mexico,35.10331499999999,-106.5893308,15.0,1.68,https://www.swcp.com/colocated-servers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/albuquerque/swcp-data-center/,Midsize/Colo,P3,False,1,118260.0
Connect Albuquerque,new-mexico,35.0863821319045,-106.7419640173923,10.0,1.68,https://connectdatacenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/albuquerque/connect-albuquerque/,Midsize/Colo,P1,False,5,78840.0
Green Data Socorro,new-mexico,34.07144009717107,-107.0501283784976,2000.0,1.22,https://www.greendatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/albuquerque/green-data-socorro/,Hyperscale,P1,False,5,15768000.0
Segra Albuquerque,new-mexico,35.1441264,-106.6018519,1.0,1.91,https://www.segra.com/locations/new-mexico/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/albuquerque/twtc-albuquerque/,Small,P4,False,1,7884.0
Stack Infrastructure Project Jupiter,new-mexico,31.81899755995753,-106.6760722412482,1.0,1.91,https://www.stackinfra.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/santa-teresa/stack-infrastructure-project-jupiter/,Small,P4,False,1,7884.0
Csquare - Albuquerque ABQ1,new-mexico,35.086328,-106.651784,1.35,1.91,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/santa-fe/cyxtera-abq1/,Small,P1,False,5,10643.400000000001
The Brownrice Datacenter,new-mexico,36.3876872,-105.5880244,15.0,1.68,https://brownrice.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/taos/the-brownrice-datacenter/,Midsize/Colo,P3,False,1,118260.0
Plateau,new-mexico,34.4712589,-103.1953491,15.0,1.68,https://www.plateautel.com/business/datacenter?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/clovis/plateau/,Midsize/Colo,P3,False,1,118260.0
Lumen Santa Teresa 1,new-mexico,31.866724,-106.697824,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/santa-teresa/level3-santa-teresa1/,Midsize/Colo,P2,False,1,118260.0
Meta Los Lunas Campus,new-mexico,34.8280312,-106.7802834,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-mexico/albuquerque/meta-los-lunas-data-center/,Hyperscale,P2,True,1,394200.0
