Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
H5 Data Centers Buffalo III,new-york,42.884419,-78.875427,15.0,1.68,https://365datacenters.com/buffalo-data-center/?utm_source=Referral&utm_medium=Listing&utm_campaign=DataCenterMap,https://www.datacentermap.com/usa/new-york/buffalo/switchdata-buffalo/,Midsize/Colo,P2,118260.0
Elm Data Center,new-york,42.8873863,-78.8682528,1.0,1.91,https://elmdata.com/colocation-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/elm-dc/,Small,P1,7884.0
ColoCrossing BUF1,new-york,42.892919,-78.875081,1.44,1.91,https://www.colocrossing.com/datacenter/buffalo-ny/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/colocrossing/,Small,P1,11352.960000000001
I-Evolve Data Center,new-york,43.018074,-78.7845806,15.0,1.68,https://www.i-evolve.com/network-services/colocation-buffalo-ny?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/i-evolve-data-center/,Midsize/Colo,P3,118260.0
Cogent Data Center - Buffalo,new-york,42.8812477,-78.84662519999999,15.0,1.68,https://cogentco.com/es/cogent-buffalo?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/cogent-data-center-buffalo/,Midsize/Colo,P3,118260.0
Advance2000 Williamsville Data Center,new-york,42.9502219,-78.740705,50.0,1.22,https://www.advance2000.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/advance2000/,Hyperscale,P3,394200.0
Blockfusion Niagara Falls,new-york,43.0831175,-79.0030939,100.0,1.22,https://blockfusion.com/hosting/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/blockfusion-niagara-falls/,Hyperscale,P1,788400.0
Victory Technology Center,new-york,42.8907569,-78.868183,5.0,1.91,https://victorytechcenter.org?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/victory-technology-center/,Small,P1,39420.0
Shatter I.T. Buffalo,new-york,42.884419,-78.875427,15.0,1.68,https://www.shatterit.com/buffalo-ny?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/main-place1/,Midsize/Colo,P3,118260.0
RITC Data Center,new-york,42.98215,-78.925699,300.0,1.22,http://www.riverviewtechcampus.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/ritc-data-center/,Hyperscale,P1,2365200.0
DigiPowerX North Tonawanda,new-york,43.04865590763131,-78.85203346607373,120.0,1.22,https://www.digipowerx.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/digipowerx-north-tonawanda/,Hyperscale,P1,946080.0
DigiPowerX Buffalo,new-york,42.92012,-78.81941,42.0,1.22,https://www.digipowerx.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/digipowerx-buffalo/,Hyperscale,P1,331128.00000000006
Niagara Digital Campus,new-york,43.08538598953857,-79.04977599393197,140.0,1.22,https://www.udcsdatacentres.com/facilities/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/niagara-digital-campus/,Hyperscale,P1,1103760.0
Centrilogic Buffalo,new-york,42.884419,-78.875427,1.0,1.91,https://www.centrilogic.com/buffalo-new-york-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/centrilogic1/,Small,P4,7884.0
PCI Buffalo,new-york,42.8797638,-78.8764319,50.0,1.22,https://www.pciconnected.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/pci-nuffalo/,Hyperscale,P3,394200.0
325 Delware Avenue,new-york,42.892919,-78.875081,1.0,1.91,https://www.benchmarkgrp.com/commercial/office-building-325-delaware-ave/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/325delaware/,Small,P3,7884.0
Stream DC Genesee County,new-york,43.0861347,-78.39777769999999,250.0,1.22,https://www.streamdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/stream-dc-genesee-county/,Hyperscale,P1,1971000.0
Lake Mariner Data - Building 5,new-york,43.3576347313635,-78.60372821930243,20.0,1.68,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-5/,Midsize/Colo,P1,157680.0
Lake Mariner Data - Building 6,new-york,43.35680494079885,-78.60402337086123,50.0,1.22,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-6/,Hyperscale,P1,394200.0
350 Main Place,new-york,42.884419,-78.875427,1.0,1.91,https://www.mainliberty.com/main-place-tower?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/350-main-place/,Small,P4,7884.0
Lake Mariner Data,new-york,43.35891814977154,-78.60417651863601,500.0,1.22,https://www.terawulf.com/lake-mariner-mining/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data/,Hyperscale,P1,3942000.0
Nexeon BUF1,new-york,42.892919,-78.875081,15.0,1.68,https://nexeon.com/infrastructure/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/nexeon-buf1/,Midsize/Colo,P3,118260.0
Lake Mariner Data - Building 2,new-york,43.3583452,-78.6008518,1.0,1.91,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-2/,Small,P4,7884.0
Lake Mariner Data - Building 4,new-york,43.35825302717953,-78.60206172681522,1.0,1.91,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-4/,Small,P4,7884.0
Lake Mariner Data - Building 3,new-york,43.36008617941789,-78.60107361179624,1.0,1.91,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-3/,Small,P4,7884.0
