Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
MCNC Research Triangle Park,north-carolina,35.91970404766731,-78.87021058535522,15.0,1.68,https://www.mcnc.org/our-solutions/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/durham-nc/mcnc-research-triangle-park/,Midsize/Colo,P3,118260.0
CyrusOne DUR1 - Durham,north-carolina,35.9362156,-78.88035649999999,50.0,1.22,https://www.cyrusone.com/data-centers/north-america/durham-nc?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/durham-nc/cyrusone-dur1/,Hyperscale,P1,394200.0
TierPoint Raleigh - RTP,north-carolina,35.897051,-78.8787713,3.6,1.91,http://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/durham-nc/tierpoint-raleigh-rtp/,Small,P1,28382.4
MCNC Rosman,north-carolina,35.19958830164818,-82.87194431365427,0.5,1.91,https://www.mcnc.org/our-solutions/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/durham-nc/mcnc-rosman/,Small,P1,3942.0
TierPoint Raleigh - RAL,north-carolina,35.85426,-78.595798,15.0,1.68,https://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/hosted-solutions-raleigh/,Midsize/Colo,P2,118260.0
Segra Raleigh,north-carolina,35.724984,-78.6623626,3.0,1.91,https://www.segra.com/product/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/datachambers3/,Small,P1,23652.0
American Tower AEDC Raleigh,north-carolina,35.7879906,-78.7263718,4.0,1.91,https://www.americantower.com/us/aggregation-edge-data-center-raleigh-nc?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/american-tower-raleigh/,Small,P1,31536.0
Flexential Raleigh Data Center - $0 NRC's,north-carolina,35.849056,-78.829509,4.31,1.91,,https://www.datacentermap.com/usa/north-carolina/raleigh/flexential-raleigh/,Small,P1,33980.03999999999
Cisco RTP Data Center,north-carolina,35.85535253382376,-78.86811183999367,2.8,1.91,https://www.cisco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/cisco-rtp-data-center/,Small,P1,22075.2
LightEdge - Raleigh,north-carolina,35.9073401,-78.7781416,0.24,1.91,https://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/onramp/,Small,P1,1892.16
NetActuate Cary Data Center,north-carolina,35.7336631,-78.8149545,1.7,1.91,https://netactuate.com/global-edge/cary-datacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/tranquil-hosting/,Small,P1,13402.800000000001
Lumen Raleigh 4,north-carolina,35.854359,-78.5970222,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/lumen-raleigh-4/,Midsize/Colo,P2,118260.0
Cogent Data Center - Raleigh,north-carolina,35.7789036,-78.6476706,15.0,1.68,https://www.cogentco.com/en/cogent-charlotte?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/cogent-data-center-raleigh/,Midsize/Colo,P3,118260.0
AceHost Raleigh-Durham Data Center,north-carolina,35.8957405,-78.84917279999999,1.25,1.91,https://www.acehost.com/raleigh-durham-data-center.php?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/acehost-raleigh-durham-data-center/,Small,P1,9855.0
New Hill Digital Campus,north-carolina,35.66393,-78.956647,300.0,1.22,https://newhilldigitalcampus.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/new-hill-digital-campus/,Hyperscale,P1,2365200.0
Celito Data Center,north-carolina,35.7984144,-78.7311001,1.0,1.91,http://celito.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/celito-data-center/,Small,P4,7884.0
Lumen Raleigh 2,north-carolina,35.805984,-78.624759,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/1918-wake-forest-rd/,Midsize/Colo,P2,118260.0
Lumen Raleigh 3,north-carolina,35.8262613,-78.6095337,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/level3-raleigh3/,Midsize/Colo,P2,118260.0
New Hill Digital Campus - Building 1,north-carolina,35.66621,-78.956119,50.0,1.22,https://newhilldigitalcampus.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/new-hill-digital-campus-building-1/,Hyperscale,P3,394200.0
New Hill Digital Campus - Building 4,north-carolina,35.661255,-78.956699,50.0,1.22,https://newhilldigitalcampus.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/new-hill-digital-campus-building-4/,Hyperscale,P3,394200.0
New Hill Digital Campus - Building 2,north-carolina,35.664443,-78.958386,50.0,1.22,https://newhilldigitalcampus.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/new-hill-digital-campus-building-2/,Hyperscale,P3,394200.0
New Hill Digital Campus - Building 3,north-carolina,35.663637,-78.954963,50.0,1.22,https://newhilldigitalcampus.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/raleigh/new-hill-digital-campus-building-3/,Hyperscale,P3,394200.0
"DartPoints Asheville, NC - AVL01",north-carolina,35.4888818,-82.5582222,1.5,1.91,https://dartpoints.com/locations/north-carolina/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/asheville/immedion-technology/,Small,P1,11826.0
Automated Results Data Center,north-carolina,35.1995853,-82.8719478,50.0,1.22,https://www.automatedresults.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/asheville/automated-results-data-center/,Hyperscale,P3,394200.0
113 North Myers Street (CLT10),north-carolina,35.2218852,-80.8355384,0.6,1.91,,https://www.datacentermap.com/usa/north-carolina/charlotte/113-north-myers-street/,Small,P1,4730.400000000001
Flexential Charlotte - South Data Center - $0 NRC's,north-carolina,35.134991,-80.936312,2.36,1.91,,https://www.datacentermap.com/usa/north-carolina/charlotte/flexential-charlotte-south/,Small,P1,18606.24
Flexential Charlotte - North Data Center,north-carolina,35.3297186,-80.7656823,3.3,1.91,,https://www.datacentermap.com/usa/north-carolina/charlotte/flexential-charlotte/,Small,P1,26017.199999999997
125 North Myers Street (CTL11),north-carolina,35.2218852,-80.8355384,0.9,1.91,,https://www.datacentermap.com/usa/north-carolina/charlotte/125-north-myers-street/,Small,P1,7095.6
725 East Trade Street,north-carolina,35.2215548,-80.840116,12.0,1.68,,https://www.datacentermap.com/usa/north-carolina/charlotte/725-east-trade-street/,Midsize/Colo,P1,94608.0
12899 Moores Chapel Rd,north-carolina,35.2511619,-81.0012048,1.0,1.91,,https://www.datacentermap.com/usa/north-carolina/charlotte/12899-moores-chapel-rd/,Small,P4,7884.0
TierPoint Charlotte 4- Center Park,north-carolina,35.1732171,-80.928129,15.0,1.68,http://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/charlotte-4/,Midsize/Colo,P2,118260.0
731 East Trade Street (CTL12),north-carolina,35.2215267,-80.8359964,1.0,1.91,,https://www.datacentermap.com/usa/north-carolina/charlotte/731-east-trade-street/,Small,P4,7884.0
TierPoint Charlotte 2 - North Myers,north-carolina,35.221431,-80.835792,15.0,1.68,https://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/hosted-solutions-charlotte/,Midsize/Colo,P2,118260.0
Segra Kannapolis,north-carolina,35.5051704,-80.6227366,2.4,1.91,https://www.segra.com/product/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/datachambers4/,Small,P1,18921.600000000002
Segra Charlotte 2,north-carolina,35.1938069,-80.9384415,2.5,1.91,https://www.segra.com/product/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/dc74/,Small,P1,19710.0
Segra Charlotte 1,north-carolina,35.1938979,-80.9372017,0.5,1.91,https://www.segra.com/product/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/segra-charlotte-1/,Small,P1,3942.0
CentriLogic Lenoir,north-carolina,35.922479,-81.5427402,1.0,1.2,https://www.centrilogic.com/lenoir-north-carolina-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/centrilogic-lenoir/,Small,P1,7884.0
CENTRA Charlotte (CLT1),north-carolina,35.2221009,-80.836747,5.0,1.91,https://www.centradigital.com/locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/cadc-charlotte/,Small,P1,39420.0
ScaleMatrix Charlotte,north-carolina,35.1731908,-80.9281183,3.0,1.2,https://www.scalematrix.com/charlotte-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/scalematrix-charlotte-us-east-01/,Small,P1,23652.0
Charlotte Data Center,north-carolina,35.1799482,-80.9262615,1.0,1.91,https://assets.ctfassets.net/o03ihmgd94o7/6JEgm21AT0lP0VkbCo1Ko7/ac75d20f8216373aa82eb7147e18ac3e/Charlotte_Data_Center.pdf?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/urp-data-center/,Small,P4,7884.0
T5 Data Centers - T5@Charlotte,north-carolina,35.2517446,-81.3968399,180.0,1.22,https://t5datacenters.com/locations/t5-charlotte/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/t5-kingsmountain/,Hyperscale,P1,1419120.0
Cogent Data Center - Charlotte,north-carolina,35.2222596,-80.8365018,0.9,1.91,http://cogentco.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/cogent-charlotte/,Small,P1,7095.6
CloudOgre Data Center,north-carolina,35.2999002,-82.16081299999999,50.0,1.22,https://cloudogre.com/services/data-center-colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/cloudogre-data-center/,Hyperscale,P3,394200.0
Data Journey Catawba County,north-carolina,35.7014246,-81.1565612,30.0,1.22,https://www.datajourney.com/catawba-county-nc?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/data-journey-claremont/,Hyperscale,P1,236520.0
Cogent Data Center - Charlotte 2,north-carolina,35.22108663130312,-80.85821348553583,15.0,1.68,https://www.cogentco.com/en/cogent-charlotte?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/cogent-data-center-charlotte-2/,Midsize/Colo,P3,118260.0
Charlotte Gateway Data Center,north-carolina,35.221643,-80.834887,20.0,1.68,https://www.five9sdigital.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/charlotte-gateway/,Midsize/Colo,P1,157680.0
Compass Statesville,north-carolina,35.777147,-80.975634,500.0,1.22,https://www.compassdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/compass-statesville/,Hyperscale,P1,3942000.0
Meta Forest City Campus,north-carolina,35.3156556,-81.824743,50.0,1.22,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/meta-forest-city-data-center/,Hyperscale,P2,394200.0
H5 Data Centers Charlotte,north-carolina,35.3297395,-80.76586700000001,20.0,1.68,https://h5datacenters.com/charlotte-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-carolina/charlotte/h5-charlotte/,Midsize/Colo,P1,157680.0
