Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Ark Data Centers Akron 2,ohio,41.0574718,-81.5215892,1.0,1.91,https://arkdna.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/involta-akron-2/,Small,P1,7884.0
Ark Data Centers Akron 1,ohio,41.0573435,-81.5223617,1.0,1.91,https://arkdna.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/involta-akron/,Small,P1,7884.0
LightSpeed Data Center,ohio,41.1383532,-81.7005967,1.0,1.25,https://www.lightspeedhosting.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/medina387/,Small,P1,7884.0
FairlawnGig Service Center,ohio,41.1332031,-81.6294432,15.0,1.68,https://www.fairlawngig.net/colocation-services-from-fairlawngig/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/fairlawngig-service-center/,Midsize/Colo,P3,118260.0
Cogent Data Center - Akron,ohio,41.0874311,-81.51386699999999,5.0,1.91,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/cogent-data-center-akron/,Small,P1,39420.0
Lumen Akron 2,ohio,41.069378,-81.491246,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/level3-akron2/,Midsize/Colo,P2,118260.0
"DartPoints Cincinnati, OH - CVG01",ohio,39.098141,-84.517673,1.6,1.91,https://dartpoints.com/locations/ohio1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/profitabilitynet/,Small,P1,12614.400000000001
CyrusOne CIN2 - Cincinnati,ohio,39.1030375,-84.517724,14.0,1.68,https://www.cyrusone.com/data-centers/north-america/cincinnati-ohio?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-cincinnati/,Midsize/Colo,P1,110376.0
Flexential Cincinnati Data Center,ohio,39.315827,-84.4487908,3.8,1.91,,https://www.datacentermap.com/usa/ohio/cincinnati/flexential-cincinnati/,Small,P1,29959.2
CyrusOne CIN4 - Hamilton,ohio,39.3870117,-84.5649065,4.725,1.91,https://www.cyrusone.com/data-centers/north-america/ohio/cin4-hamilton?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-ohio-hamilton/,Small,P1,37251.899999999994
CyrusOne CIN97 - Cincinnati,ohio,39.2444984,-84.380769,0.9,1.91,https://www.cyrusone.com/data-centers/north-america/ohio/cin97-cincinnati?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-ohio-blue-ash/,Small,P1,7095.6
CyrusOne CIN3 - Mason,ohio,39.209213,-84.469773,1.7,1.91,https://www.cyrusone.com/data-centers/north-america/ohio/cin3-cincinnati?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-ohio-mason/,Small,P1,13402.800000000001
H5 Data Centers Cincinnati II,ohio,39.1058513,-84.5365697,15.0,1.68,https://h5datacenters.com/cincinnati-II-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/h5-cincinnati-ii/,Midsize/Colo,P2,118260.0
H5 Data Centers Cincinnati,ohio,39.0979348,-84.5240947,15.0,1.68,https://h5datacenters.com/cincinnati-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/h5dc-cincinnati/,Midsize/Colo,P2,118260.0
CenterGrid - Hamilton,ohio,39.3848676,-84.566587,2.0,1.91,http://centergrid.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/centergrid-hamilton/,Small,P1,15768.0
LightHouse CLT01,ohio,39.3833235,-84.5580919,288.0,1.22,https://www.lighthousedatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/lighthouse-clt01/,Hyperscale,P1,2270592.0
I74 Wired Data Center,ohio,39.1562106,-84.5708736,1.0,1.91,https://i74wired.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/hot-site-data-center/,Small,P4,7884.0
Prologis Project Mila Campus,ohio,39.456822,-84.459078,1.0,1.91,https://www.prologis.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/prologis-trenton-industrial-park/,Small,P4,7884.0
