Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Jackson Technical Data Center,oklahoma,36.15194181396797,-95.98434146935527,0.4,1.91,https://www.jacksontechnical.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/jackson-technical-data-center/,Small,P1,3153.6000000000004
TierPoint Tulsa - Archer,oklahoma,36.1585889,-95.9886351,15.0,1.68,https://www.tierpoint.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tulsa-data-center/,Midsize/Colo,P2,118260.0
TierPoint Tulsa - State Farm,oklahoma,36.0964147,-95.8400375,15.0,1.68,https://www.tierpoint.com/data-centers/oklahoma/tulsa-state-farm/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tierpoint-tulsa-state-farm/,Midsize/Colo,P2,118260.0
Philcade Data Center,oklahoma,36.151702,-95.988297,1.0,1.91,https://www.kanbarproperties.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/philcade-data-center/,Small,P4,7884.0
TulsaConnect East (DC-3),oklahoma,36.0993298,-95.83856,15.0,1.68,https://www.tulsaconnect.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tulsaconnect-data-center-dc3/,Midsize/Colo,P3,118260.0
OCOSA Data Center,oklahoma,36.15326283155181,-95.98921136228346,15.0,1.68,http://www.ocosa.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/ocosa-data-center1/,Midsize/Colo,P3,118260.0
Pawhuska AI Data Center,oklahoma,36.6777855,-96.3255981,10.0,1.68,https://buckleybrosholdings.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/pawhuska-ai-data-center/,Midsize/Colo,P1,78840.0
Cherokee Data Center,oklahoma,36.26252432303883,-95.9100903661328,1.0,1.91,https://www.hpe.com/us/en/networking/data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/cherokee-data-center/,Small,P4,7884.0
Tulsa Technology Exchange,oklahoma,36.1515848,-95.9883122,1.0,1.91,https://www.facilitygateway.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/tulsa-technology-exchange/,Small,P4,7884.0
CORE Data Center,oklahoma,36.6257567,-95.0925005,1.0,1.91,https://corecolocate.com/index.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oklahoma/tulsa/core-data-center/,Small,P4,7884.0
