Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Aligned PDX-01,oregon,45.55149367999162,-122.9478753739637,72.0,1.22,https://aligneddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/aligned-pdx-01/,Hyperscale,P1,567648.0
STACK Infrastructure POR03B,oregon,45.554225,-122.9393723,24.0,1.3,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por03b/,Midsize/Colo,P1,189216.0
5870 NE Schaaf Street (PDX12),oregon,45.5684181,-122.9198647,24.0,1.68,,https://www.datacentermap.com/usa/oregon/hillsboro/5870-ne-schaaf/,Midsize/Colo,P1,189216.0
GDC - Hillsboro HI2 Data Center,oregon,45.5481229,-122.9377002,216.0,1.22,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/gdc-hillsboro-hi2-data-center/,Hyperscale,P1,1702944.0
Aligned PDX-02,oregon,45.55149367999162,-122.9478753739637,36.0,1.22,https://aligneddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/aligned-pdx-02/,Hyperscale,P1,283824.0
STACK Infrastructure POR03E,oregon,45.5522828747475,-122.9402305794563,42.0,1.22,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por03e/,Hyperscale,P1,331128.00000000006
QTS Hillsboro 2 Campus,oregon,45.5575219,-122.9324422,180.0,1.22,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/qts-hillsboro2-campus/,Hyperscale,P1,1419120.0
STACK Infrastructure POR01A,oregon,45.5493667,-122.9278291,5.0,1.91,https://www.stackinfra.com/locations/americas/portland/por01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por01/,Small,P1,39420.0
Aligned Hillsboro Campus,oregon,45.55149367999162,-122.9478753739637,15.0,1.68,https://aligneddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/hillsboro-campus/,Midsize/Colo,P2,118260.0
STACK Infrastructure POR03F,oregon,45.5522688425354,-122.9431723631466,54.0,1.22,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por03f/,Hyperscale,P1,425736.0
