Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
MSA Evergreen Heights,pennsylvania,40.5186006,-80.01519189999999,4.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/msa-evergreen-heights/,Small,P1,False,5,31536.0
MSA Rockpointe,pennsylvania,,,5.0,1.91,,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/management-science-associates/,Small,P1,False,5,39420.0
Ark Data Centers Pittsburgh,pennsylvania,40.7523755,-79.6373443,1.5,1.91,https://arkdna.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/involta-pittsburgh/,Small,P1,False,5,11826.0
Ardent Pittsburgh,pennsylvania,40.43957436734448,-80.14201806425895,20.0,1.68,https://ardentdc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/ardent-pittsburgh/,Midsize/Colo,P1,False,5,157680.0
DQE Pittsburgh,pennsylvania,40.4389026,-80.0005467,1.0,1.91,https://www.dqecom.com/services/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/dqe-pittsburgh/,Small,P4,False,1,7884.0
Expedient  Pittsburgh South,pennsylvania,40.4273688,-80.0425116,1.8,1.91,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/expedient-pittsburgh/,Small,P1,False,5,14191.2
H5 Data Centers Pittsburgh,pennsylvania,40.4516548,-79.98092220000001,15.0,1.68,https://h5datacenters.com/pittsburgh-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/h5-pittsburgh/,Midsize/Colo,P3,False,1,118260.0
DQE Butler,pennsylvania,40.8605536,-79.907493,1.0,1.91,https://www.dqecom.com/services/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/dqe-butler/,Small,P4,False,1,7884.0
Ascent Data,pennsylvania,40.4959821,-79.8665983,1.0,1.91,https://www.ascentdata.com/secure-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/ascent-data/,Small,P4,False,1,7884.0
182 Northpointe Blvd,pennsylvania,40.7559041,-79.6367597,100.0,1.22,https://chirisatechnologyparks.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/182-northpointe-blvd/,Hyperscale,P1,False,5,788400.0
Expedient Pittsburgh North Shore,pennsylvania,40.4515505,-80.0046619,4.2,1.91,https://www.expedient.com/data-centers/pittsburgh/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/expedient-pittsburgh-north-shore/,Small,P1,False,5,33112.8
viLogics Pittsburgh,pennsylvania,40.4387509,-80.0008304,1.0,1.91,http://www.vilogics.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/pennsylvania/pittsburgh/vilogics-pittsburgh/,Small,P4,False,1,7884.0
