Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Resilience GSP,south-carolina,34.92548093782104,-82.16671935051278,400.0,1.22,https://www.overwatchcap.com/resiliencegsp?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/greenville/resilience-gsp/,Hyperscale,P1,False,5,3153600.0
300 Jones Road,south-carolina,35.0154612,-81.88481039999999,60.0,1.22,https://www.lighthousedatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/300-jones-road/,Hyperscale,P1,False,5,473040.0
Project Moc-1,south-carolina,34.92302915413012,-81.84993332938947,1.0,1.91,https://northmarkstrategies.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/project-moc-1/,Small,P4,False,1,7884.0
TigerDC SC1 Campus,south-carolina,34.864946,-82.028865,400.0,1.22,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-campus/,Hyperscale,P1,False,5,3153600.0
TigerDC SC1 - Phase 1A,south-carolina,34.864429,-82.019328,1.0,1.91,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-1a/,Small,P4,False,1,7884.0
TigerDC SC1 - Phase 1B,south-carolina,34.867931,-82.017295,1.0,1.91,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-1b/,Small,P4,False,1,7884.0
TigerDC SC1 - Phase 3B,south-carolina,34.87149,-82.042866,1.0,1.91,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-3b/,Small,P4,False,1,7884.0
TigerDC SC1 - Phase 3E,south-carolina,34.870384,-82.039106,1.0,1.91,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-3e/,Small,P4,False,1,7884.0
TigerDC SC1 - Phase 2,south-carolina,34.86768,-82.031628,1.0,1.91,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-2/,Small,P4,False,1,7884.0
TigerDC SC1 - Phase 3A,south-carolina,34.872368,-82.038023,1.0,1.91,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-3a/,Small,P4,False,1,7884.0
