Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Flexential Nashville - Franklin Data Center,tennessee,35.9202805,-86.8156181,6.0,1.91,,https://www.datacentermap.com/usa/tennessee/nashville/flexential-franklin-data-center/,Small,P1,False,5,47304.0
Flexential Nashville - Cool Springs Data Center - $0 NRC's,tennessee,35.9498275,-86.8324503,3.15,1.91,,https://www.datacentermap.com/usa/tennessee/nashville/flexential-cool-springs/,Small,P1,False,5,24834.6
Flexential Nashville - Brentwood Data Center,tennessee,35.9724486,-86.8085582,1.49,1.85,,https://www.datacentermap.com/usa/tennessee/nashville/flexential-brentwood/,Small,P1,False,5,11747.16
H5 Data Centers Nashville I,tennessee,36.1626255,-86.77627760000001,15.0,1.68,https://h5datacenters.com/nashville-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/h5-nashville/,Midsize/Colo,P3,False,1,118260.0
Cogent Data Center - Nashville,tennessee,36.1321629,-86.7528932,2.5,1.91,https://www.cogentco.com/en/network/cogent-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/cogent-data-center-nashville/,Small,P1,False,5,19710.0
Data Suites,tennessee,35.8574003,-86.406496,2.0,1.5,https://mydatasuites.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/data-suites/,Small,P1,False,5,15768.0
H5 Data Centers Nashville II,tennessee,36.262274,-86.705301,15.0,1.68,https://365datacenters.com/nashville-data-center/?utm_source=Referral&utm_medium=Listing&utm_campaign=DataCenterMap,https://www.datacentermap.com/usa/tennessee/nashville/switchdata-nashville/,Midsize/Colo,P3,False,1,118260.0
RadiusDC Nashville I,tennessee,36.2216592,-86.7838943,12.0,1.68,https://www.radius-dc.com/locations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/radiusdc-nashville-i/,Midsize/Colo,P1,False,5,94608.0
Csquare - Nashville,tennessee,36.40622726450199,-86.39295021659508,100.0,1.22,https://www.evoquedcs.com/data-centers/nashville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/evoque-nashville/,Hyperscale,P1,False,5,788400.0
Windstream Nashville,tennessee,36.173667,-86.7835769,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/nuvox-nashville/,Small,P4,False,1,7884.0
Scipio Technologies NREP,tennessee,,,15.0,1.68,https://www.peacecom.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/nexus-nrep/,Midsize/Colo,P3,False,1,118260.0
Windstream Brentwood,tennessee,36.0371745,-86.8060782,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/windstream-brentwood/,Small,P4,False,1,7884.0
IRIS Nashville,tennessee,36.1626568,-86.7763702,1.0,1.91,https://irisnetworksusa.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/iris-nashville/,Small,P4,False,1,7884.0
Litewire Data Center,tennessee,35.6920634,-85.7607224,15.0,1.5,http://www.litewiredata.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/mcminnville/litewire/,Midsize/Colo,P3,False,1,118260.0
LCUB Data Center,tennessee,35.8407381,-84.2658246,2.0,1.91,https://www.lcub.com/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/lenoir-city/lcub-data-center/,Small,P1,False,5,15768.0
Expedient Memphis,tennessee,35.0630144,-89.7861248,1.5,1.91,https://www.expedient.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/expedient-memphis/,Small,P1,False,5,11826.0
Collierville Enterprise Data Center,tennessee,35.039048,-89.7186456,10.0,1.68,https://carterfunds.com/enterprise-data-center-2/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/collierville-enterprise-data-center/,Midsize/Colo,P1,False,5,78840.0
The STEM Practice Memphis,tennessee,35.1619366,-89.8601101,9.0,1.91,https://www.stempractice.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/the-stem-practice-memphis/,Small,P1,False,5,70956.0
Connect Memphis,tennessee,35.04177240000001,-89.8845309,1.0,1.91,https://connectdatacenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/connect-memphis/,Small,P4,False,1,7884.0
5CDC Memphis - MEM01,tennessee,35.0327761,-89.9353956,60.0,1.22,https://5c.ai/datacenters?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/5cdc-memphis-mem01/,Hyperscale,P1,False,5,473040.0
5414 Tulane Road,tennessee,34.99800016330292,-90.03883217829863,1.0,1.91,https://x.ai/colossus?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/5414-tulane-road/,Small,P4,False,1,7884.0
Verizon Memphis,tennessee,35.1086123,-89.890964,1.0,1.91,https://www.verizon.com/business/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/xo-memphis/,Small,P4,False,1,7884.0
WorldSpice Data Center,tennessee,35.1132013,-89.8931496,15.0,1.68,https://www.worldspice.net/memphis-server-colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/worldspice/,Midsize/Colo,P3,False,1,118260.0
xAI Colossus 2,tennessee,34.9979652,-90.0348422,1.0,1.91,https://x.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/5400-tulane-road/,Small,P4,False,1,7884.0
xAI Colossus 1,tennessee,35.0599407,-90.1569045,1.0,1.91,https://x.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/memphis/xai-memphis-supercluster/,Small,P4,False,1,7884.0
TenHats Knoxville,tennessee,35.9704762,-83.9121043,3.0,1.91,https://tenhats.com/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/the-fort/,Small,P1,False,5,23652.0
Infinity Data Center,tennessee,35.9585301,-84.1391791,15.0,1.68,http://infinitydatacenter.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/infinity-data-center/,Midsize/Colo,P3,False,1,118260.0
Scipio Technologies Knoxville,tennessee,35.966315,-83.921483,15.0,1.68,https://www.peacecom.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/digital-crossing/,Midsize/Colo,P3,False,1,118260.0
CleanSpark New Tazewell,tennessee,36.39852500509374,-83.69328333666122,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/cleanspark-new-tazewell/,Small,P4,False,1,7884.0
CleanSpark Mountain City,tennessee,36.44563369999999,-81.8007219,30.0,1.22,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/cleanspark-mountain-city/,Hyperscale,P1,False,5,236520.0
CleanSpark Jellico,tennessee,36.5761589,-84.11075300000002,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/cleanspark-jellico/,Small,P4,False,1,7884.0
CleanSpark Lenoir City,tennessee,35.87321746916516,-84.24082921400112,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/cleanspark-lenoir-city/,Small,P4,False,1,7884.0
Windstream Knoxville,tennessee,35.9519035,-84.1250367,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/windstream-knoxville/,Small,P4,False,1,7884.0
CleanSpark Winfield,tennessee,36.5467887,-84.4521787,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/cleanspark-winfield/,Small,P4,False,1,7884.0
Bitdeer Tennessee,tennessee,35.9420515,-83.8352896,86.0,1.22,https://www.bitdeer.com/datacenter?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/knoxville/bitdeer-knoxville-tennessee/,Hyperscale,P1,False,5,678024.0
"Airnet, by Dataprise",tennessee,35.0473205,-85.3107537,1.0,1.91,https://www.dataprise.com/airnet?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/chattanooga/airnet-group/,Small,P4,False,1,7884.0
