Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Iron Mountain Data Centers VA-1,virginia,38.77792264250294,-77.54703012251925,13.0,1.2,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-va-1/,Midsize/Colo,P1,102492.00000000001
10051 Brickyard Wy,virginia,38.7369178,-77.5078273,1.0,1.91,,https://www.datacentermap.com/usa/virginia/manassas/10051-brickyard-wy/,Small,P4,7884.0
9905 Godwin Drive (IAD53),virginia,38.7404104,-77.5040386,1.0,1.91,,https://www.datacentermap.com/usa/virginia/manassas/digital-realty-9905-godwin-drive/,Small,P4,7884.0
Iron Mountain Data Centers VA-2,virginia,38.77710296786073,-77.54591432365577,36.0,1.2,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-va-2/,Hyperscale,P1,283824.0
EvoSwitch Manassas (WDC1),virginia,38.7464612,-77.5330785,20.0,1.68,https://evoswitch.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/evoswitch-wdc-1/,Midsize/Colo,P1,157680.0
Equinix DC14,virginia,38.80333,-77.51088,15.0,1.68,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/equinix-dc14/,Midsize/Colo,P2,118260.0
VAZATA NoVA I,virginia,38.7472871,-77.5318712,2.0,1.91,https://www.vazata.com/data-centers/manassas-data-center-nova/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/vazata-nova-i/,Small,P1,15768.0
CloudHQ MDC Campus,virginia,38.7314131,-77.5091781,300.0,1.22,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mdc-campus/,Hyperscale,P1,2365200.0
STACK Infrastructure NVA05A,virginia,38.75885494676042,-77.51648207845305,36.0,1.22,https://www.stackinfra.com/locations/americas/northern-virginia/nva05/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/stack-infrastructure-nva05a/,Hyperscale,P1,283824.0
QTS Manassas DC5,virginia,38.75460616666228,-77.51739293212357,42.0,1.22,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/qts-manassas5/,Hyperscale,P1,331128.00000000006
CloudHQ MCC Campus,virginia,38.72073196690473,-77.49847011861604,382.0,1.22,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc-campus/,Hyperscale,P1,3011688.0
QTS Manassas Campus,virginia,38.7516218,-77.5112262,150.0,1.22,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/qts-manassas-data-center-campus/,Hyperscale,P1,1182600.0
Cloud Capital - 9651 Hornbaker,virginia,38.74741286878826,-77.53174131910815,30.0,1.22,https://cldcap.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/power-loft-innovation/,Hyperscale,P1,236520.0
Iron Mountain Data Centers VA-6,virginia,38.76806082957219,-77.53874746148891,32.0,1.22,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-va-6/,Hyperscale,P1,252288.0
QTS Manassas DC2,virginia,38.7525638,-77.5124673,20.0,1.68,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/qts-manassas2/,Midsize/Colo,P1,157680.0
QTS Manassas DC1,virginia,38.7525053,-77.5130401,15.0,1.68,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/qts-manassas1/,Midsize/Colo,P2,118260.0
STACK Infrastructure NVA05B,virginia,38.76115398805212,-77.51505369298008,48.0,1.22,https://www.stackinfra.com/locations/americas/northern-virginia/nva05/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/stack-infrastructure-nva05b/,Hyperscale,P1,378432.0
Amazon AWS IAD - Tanner Campus,virginia,38.735635,-77.505307,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/amazon-aws-iad-tanner-campus/,Hyperscale,P2,394200.0
Microsoft Jacksonville Road Campus,virginia,38.79877467113093,-77.53349910934595,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/microsoft-jacksonville-road-campus/,Hyperscale,P2,394200.0
CloudHQ MCC3,virginia,38.7135228,-77.5000601,60.0,1.22,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc3/,Hyperscale,P1,473040.0
CloudHQ MCC7,virginia,38.72237573223926,-77.50134707234268,36.0,1.22,https://cloudhq.com/campus/mcc-campus/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc7/,Hyperscale,P1,283824.0
Amazon AWS IAD - Doane Campus,virginia,38.791002,-77.54747,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/amazon-aws-iad-doane-campus/,Hyperscale,P2,394200.0
CloudHQ MCC5,virginia,38.7198091,-77.4929744,60.0,1.22,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc5/,Hyperscale,P1,473040.0
CloudHQ MCC4,virginia,38.7187555,-77.4963883,60.0,1.22,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc4/,Hyperscale,P1,473040.0
CloudHQ MCC6A,virginia,38.7153954,-77.4964052,20.0,1.68,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc6/,Midsize/Colo,P1,157680.0
CloudHQ MCC6Z,virginia,38.71546793545276,-77.49657647794285,40.0,1.22,https://cloudhq.com/campus/mcc-campus/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc6z/,Hyperscale,P1,315360.0
Iron Mountain Data Centers VA-3,virginia,38.775430133237734,-77.54516330518996,15.0,1.68,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-va-3/,Midsize/Colo,P2,118260.0
Amazon AWS IAD - Mason Campus,virginia,38.790828,-77.539582,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/amazon-aws-iad-mason-campus/,Hyperscale,P2,394200.0
CloudHQ MCC2,virginia,38.7231852,-77.4989941,1.0,1.91,https://cloudhq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/cloudhq-mcc2/,Small,P4,7884.0
Iron Mountain Data Centers VA-7,virginia,38.77540504036094,-77.54030314261834,36.0,1.22,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-va-7/,Hyperscale,P1,283824.0
Iron Mountain Data Centers VA-9,virginia,38.76993861373228,-77.54067765888713,28.0,1.68,https://www.ironmountain.com/data-centers/locations/virginia-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/iron-mountain-data-centers-va-9/,Midsize/Colo,P1,220752.0
Amazon AWS IAD - Freedom Campus,virginia,38.760645,-77.51865,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/amazon-aws-iad-freedom-campus/,Hyperscale,P2,394200.0
Amazon AWS IAD - 8158 Sudley,virginia,38.7764555346383,-77.50833841187627,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/amazon-aws-iad-8158-sudley/,Hyperscale,P2,394200.0
Amazon AWS IAD - 10321 Tanner,virginia,38.734555,-77.506516,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/amazon-aws-iad-10321-tanner/,Hyperscale,P2,394200.0
Amazon AWS IAD - 9700 Innovation,virginia,38.747507,-77.519566,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/amazon-aws-iad-9700-innovation/,Hyperscale,P2,394200.0
Microsoft - MNZ02,virginia,38.798514,-77.534999,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/microsoft-mnz02/,Hyperscale,P2,394200.0
Amazon AWS IAD - Innovation Campus,virginia,38.747517,-77.519447,50.0,1.22,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/virginia/manassas/amazon-aws-iad-innovation-campus/,Hyperscale,P2,394200.0
