Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
2020 5th Avenue (SEA11),washington,47.6144252,-122.3397368,1.0,1.91,,https://www.datacentermap.com/usa/washington/seattle/2020-5th-avenue/,Small,P4,False,1,7884.0
Hivelocity - Seattle 1,washington,47.6143185,-122.3388942,1.0,1.91,,https://www.datacentermap.com/usa/washington/seattle/hivelocity-westin/,Small,P4,False,1,7884.0
2001 Sixth Avenue (SEA10),washington,47.614358,-122.3388642,19.5,1.68,,https://www.datacentermap.com/usa/washington/seattle/the-westin-building-dlr/,Midsize/Colo,P1,False,5,153738.0
H5 Data Centers Seattle,washington,47.619054,-122.336393,15.0,1.68,https://h5datacenters.com/seattle-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/h5dc-seattle/,Midsize/Colo,P3,False,1,118260.0
Csquare - Seattle SEA3-A,washington,47.84201059999999,-122.3016677,1.6,1.91,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/evoque-sea1/,Small,P1,False,5,12614.400000000001
Superb SEA2 - Seattle,washington,47.4954755,-122.2912893,1.5,1.91,https://www.superb.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sea2-seattle/,Small,P1,False,5,11826.0
Digital Fortress Downtown Seattle,washington,47.6180686,-122.3564848,3.0,1.91,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/digital-fortress-sea2/,Small,P1,False,5,23652.0
The Westin Building,washington,47.6137108,-122.3382624,19.0,1.68,https://westinbuilding.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/the-westin-building/,Midsize/Colo,P1,False,5,149796.0
Digital Fortress North Seattle,washington,47.82251,-122.289421,6.0,1.91,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/digital-fortress-north-seattle/,Small,P1,False,5,47304.0
Digital Fortress South Seattle,washington,47.491604,-122.292301,4.0,1.91,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/tuk-1/,Small,P1,False,5,31536.0
SDC Seattle Campus,washington,47.4957796,-122.2864298,90.0,1.22,https://sabey.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/sabey-sdc52/,Hyperscale,P1,False,5,709560.0
Lunavi Seattle,washington,47.6137488,-122.3382056,0.56,1.91,https://www.lunavi.com/data-centers/seattle?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/green-house-data-seattle/,Small,P1,False,5,4415.040000000001
Colocation Northwest - Downtown Seattle,washington,47.6137596,-122.3381913,0.125,1.91,https://www.colocationnorthwest.com/data-centers/seattle?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/westin-building-exchange/,Small,P1,False,5,985.5
Csquare - Seattle SEA1-B,washington,47.4918811,-122.2898001,4.8,1.91,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/washington/seattle/cyxtera-sea1b/,Small,P1,False,5,37843.200000000004
