Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Annual_Heat_MWh
Expedient Franklin,wisconsin,42.8631194,-87.9778082,1.6,1.91,https://www.expedient.com/data-centers/milwaukee/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/expedient-franklin/,Small,P1,12614.400000000001
Data Holdings Milwaukee,wisconsin,43.0443788,-87.9476045,8.6,1.28,https://dataholdings.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/data-holdings/,Small,P1,67802.40000000001
TierPoint Milwaukee,wisconsin,43.0095347,-87.9610631,15.0,1.68,https://www.tierpoint.com/data-centers/wisconsin/milwaukee/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/burnham-data-center/,Midsize/Colo,P2,118260.0
Franklin Datacenter,wisconsin,42.8621528,-87.9821569,15.0,1.68,https://www.milwaukeecolo.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/franklin-datacenter/,Midsize/Colo,P3,118260.0
TSR Solutions Data Center,wisconsin,43.039034,-87.906925,50.0,1.22,https://www.tsrsolutions.com/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/i-site-data-center/,Hyperscale,P3,394200.0
The Wells Building,wisconsin,43.0390402,-87.90704629999999,12.0,1.68,https://1547realty.com/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/wells-building/,Midsize/Colo,P1,94608.0
ISCorp South MQN,wisconsin,43.2042212,-87.9254131,1.0,1.91,http://www.iscorp.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/iscorp-south-mqn/,Small,P4,7884.0
Ethoplex Data Center,wisconsin,43.2279384,-88.1468269,15.0,1.68,https://www.ethoplex.com/data-center-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/techware-milwaukee/,Midsize/Colo,P3,118260.0
Vantage Lighthouse Campus (Stargate Wisconsin),wisconsin,43.430422,-87.856503,902.0,1.22,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/cloverleaf-ozaukee-county/,Hyperscale,P1,7111368.000000001
Aventus Lakes,wisconsin,43.1513596,-88.0096055,1.0,1.91,https://aventusdatacenters.com/aventus-milwaukee/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/aventus-data-centers/,Small,P4,7884.0
Cogent Data Center - Milwaukee,wisconsin,43.039025,-87.906922,0.1,1.91,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/cogent-milwaukee/,Small,P1,788.4000000000001
Cogent Data Center - Milwaukee 2,wisconsin,42.991127,-87.91654319999999,15.0,1.68,https://www.cogentco.com/en/cogent-st-louis?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/cogent-data-center-milwaukee-2/,Midsize/Colo,P3,118260.0
Netwurx Milwaukee,wisconsin,43.039025,-87.906922,1.0,1.91,https://www.netwurx.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/netwurx-milwaukee/,Small,P4,7884.0
ISCorp North MQN,wisconsin,43.2054428,-87.9251573,1.0,1.91,http://www.iscorp.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/iscorp-north-mqn/,Small,P4,7884.0
Vaultas Milwaukee,wisconsin,43.0437194,-87.9540104,15.0,1.68,https://www.vaultas.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vaultas-milwaukee/,Midsize/Colo,P3,118260.0
Airiam Hartland,wisconsin,43.0839897,-88.3507355,1.0,1.91,https://airiam.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/hartland-wi/,Small,P4,7884.0
Windstream Brookfield,wisconsin,43.027694,-88.08604,1.0,1.91,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/ngenx-milwaukee/,Small,P4,7884.0
Microsoft Project Nova Campus,wisconsin,42.838404,-87.8480924,50.0,1.22,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/project-nova/,Hyperscale,P2,394200.0
Veolia Data Center,wisconsin,42.9578319,-88.0197071,1.0,1.91,http://veolianorthamerica.com/en?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/veolia-data-center/,Small,P4,7884.0
New Era Technology - Milwaukee,wisconsin,43.0426517,-88.0420574,1.0,1.91,https://www.neweratech.com/us/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/tushaus-milwaukee/,Small,P4,7884.0
Vantage Lighthouse - Building 2,wisconsin,43.433754,-87.854648,15.0,1.68,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vantage-lighthouse-building-2/,Midsize/Colo,P2,118260.0
Vantage Lighthouse - Building 4,wisconsin,43.425371,-87.859617,15.0,1.68,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vantage-lighthouse-building-4/,Midsize/Colo,P2,118260.0
Lumen Milwaukee,wisconsin,43.077887,-88.183931,15.0,1.68,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/twtc-milwaukee/,Midsize/Colo,P2,118260.0
Vantage Lighthouse - Building 1,wisconsin,43.428535,-87.853722,15.0,1.68,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vantage-lighthouse-building-1/,Midsize/Colo,P2,118260.0
Vantage Lighthouse - Building 3,wisconsin,43.430447,-87.859536,15.0,1.68,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vantage-lighthouse-building-3/,Midsize/Colo,P2,118260.0
US Signal Madison WI02,wisconsin,42.9947196,-89.4232738,6.0,1.91,https://ussignal.com/data-centers/wi02-madison/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/team-companies-madison-data-center/,Small,P1,47304.0
US Signal Madison WI01,wisconsin,43.0731888,-89.3871697,0.15,1.91,https://ussignal.com/data-centers/madison?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/us-signal-madison/,Small,P1,1182.6000000000001
Dane County Data Exchange I,wisconsin,43.0491799,-89.2972543,18.0,1.68,https://www.danecountydataexchange.com/copy-of-facility?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/dane-county-data-exchange/,Midsize/Colo,P1,141912.0
EdgeConneX Madison - EDCMAD01,wisconsin,43.049075,-89.297295,0.5,1.91,https://www.edgeconnex.com/locations/americas/madison-wi/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/edgeconnex-edcmad01/,Small,P1,3942.0
Dane County Data Exchange 2,wisconsin,43.04944,-89.295469,60.0,1.22,https://www.danecountydataexchange.com/copy-of-dcde-1?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/dane-county-data-exchange-2/,Hyperscale,P1,473040.0
5NINES Data Center,wisconsin,43.073099,-89.386426,20.0,1.14,http://5nines.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/5nines-data-center/,AI Specialized,P3,157680.0
SupraNet Madison,wisconsin,43.0755646,-89.5242655,15.0,1.68,https://www.supranet.net/cloud-solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/supranet-madison/,Midsize/Colo,P3,118260.0
Connect Beaver Dam,wisconsin,43.50055938197967,-88.80735315514306,20.0,1.14,https://connectdatacenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/connect-beaver-dam/,AI Specialized,P3,157680.0
Meta Beaver Dam,wisconsin,43.51038443015594,-88.81650117970439,50.0,1.22,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/meta-beaver-dam/,Hyperscale,P2,394200.0
Lumen Madison,wisconsin,43.0677901,-89.3921355,15.0,1.68,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/lumen-madison/,Midsize/Colo,P2,118260.0
HC Colo #1,wisconsin,43.0677816,-89.3923918,15.0,1.68,https://www.hoyosconsulting.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/hc-colo-1/,Midsize/Colo,P3,118260.0
Beaver Dam Data Center Campus,wisconsin,43.5151233,-88.819341,1.0,1.91,,https://www.datacentermap.com/usa/wisconsin/madison/beaver-dam-data-center-campus/,Small,P4,7884.0
QTS Wisconsin,wisconsin,,,15.0,1.68,https://qtsdatacenters.com/data-centers/qts-wisconsin/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/qts-wisconsin/,Midsize/Colo,P2,118260.0
Ark Data Centers Green Bay,wisconsin,44.2046514,-88.3447611,20.0,1.68,https://www.arkdna.com/data-centers/wisconsin/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/appleton/ark-data-centers-green-bay/,Midsize/Colo,P1,157680.0
