Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL,Space Type,Classification_Source,Is_Aggregated,Confidence_Score,Annual_Heat_MWh
Project Jade Campus,wyoming,41.035558,-104.801437,1800.0,1.22,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-campus/,Hyperscale,P1,False,5,14191200.0
Lunavi Cheyenne,wyoming,41.1296095,-104.741469,5.0,1.17,https://www.lunavi.com/data-centers/cheyenne?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/green-house-data/,Small,P1,False,5,39420.0
Cogent Data Center - Cheyenne,wyoming,41.1279554,-104.8116312,2.49,1.91,https://cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/cogent-data-center-cheyenne/,Small,P1,False,5,19631.16
Green House Data,wyoming,41.129494,-104.7405529,5.0,1.3,https://1547realty.com/data-centers/chwy1-cheyenne-wyoming/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/green-house-data1/,Small,P1,False,5,39420.0
MWTN - Cheyenne,wyoming,41.1757664,-104.8278541,15.0,1.68,https://www.mwtn.net/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/mwtn-cheyenne/,Midsize/Colo,P3,False,1,118260.0
Related Digital Cheyenne,wyoming,41.1347435,-104.8211901,302.0,1.22,https://www.related-digital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/related-digital-cheyenne/,Hyperscale,P1,False,5,2380968.0
Project Jade - Building 4,wyoming,41.038519,-104.798256,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-4/,AI Specialized,P3,False,1,157680.0
Project Jade - Building 1,wyoming,41.03304,-104.798259,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-1/,AI Specialized,P3,False,1,157680.0
CleanSpark Cheyenne 2,wyoming,41.125457,-104.8954526,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/cleanspark-cheyenne-2/,Small,P4,False,1,7884.0
Project Jade - Building 5,wyoming,41.033476,-104.805737,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-5/,AI Specialized,P3,False,1,157680.0
Project Jade - Building 2,wyoming,41.03304,-104.794142,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-2/,AI Specialized,P3,False,1,157680.0
CleanSpark Cheyenne 1,wyoming,41.14443519089782,-104.6950785595271,1.0,1.91,https://www.cleanspark.com/bitcoin-operations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/cleanspark-cheyenne-1/,Small,P4,False,1,7884.0
Project Jade - Building 3,wyoming,41.038519,-104.794142,20.0,1.14,https://www.crusoe.ai/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/cheyenne/project-jade-building-3/,AI Specialized,P3,False,1,157680.0
Data Center Of The Rockies,wyoming,42.8601032,-106.3355938,1.5,1.91,https://www.mwtn.net/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/casper/mwtn-noc-of-the-rocckies/,Small,P1,False,5,11826.0
Prometheus WY-2,wyoming,42.8305625,-106.0678653,50.0,1.12,https://www.prometheushyperscale.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/casper/prometheus-wy-2/,Hyperscale,P3,False,1,394200.0
Prometheus WY-1,wyoming,41.2296555,-110.7602093,50.0,1.12,https://www.prometheushyperscale.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/evanston/wy-1/,Hyperscale,P3,False,1,394200.0
Silver Star Communications,wyoming,42.7314207,-110.9239353,1.0,1.91,https://silverstar.com/business/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wyoming/afton/silver-star-communications/,Small,P4,False,1,7884.0
