Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Ark Data Centers Boise 2,idaho,43.5916338,-116.2980555,,,https://arkdna.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/involta-boise2/
Ark Data Centers Boise 1,idaho,43.5799403,-116.2907646,1,1.4,https://www.arkdna.com/data-centers/idaho/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/involta-boise/
ValorC3 Boise Data Center,idaho,43.6080015,-116.310128,2,,https://valorc3.com/boise-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/tonaquint-boi/
ADTAQ Idaho Datacenter,idaho,44.2457448,-116.9704836,0.1,,https://www.adtaq.com/idaho-colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/weiser/adtaq-idaho-datacenter/
T5 Data Centers - Nampa,idaho,43.614366,-116.5595019,8.25,,https://t5datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/t5-data-centers-nampa/
Syringa Networks Boise,idaho,43.5681619,-116.2104851,,,https://www.syringanetworks.net/solutions/cloud-services?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/syringa-networks-boise/
ValorC3 Boise 2 Data Center,idaho,43.6150186,-116.2023137,10,,https://valorc3.com/boise-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/valorc3-boise-2-data-center/
Meta Kuna Data Center,idaho,43.4630993,-116.2674797,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/meta-kuna-data-center/
Gemstone Technology Park DC4,idaho,43.447687,-116.36379,,,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc4/
Gemstone Technology Park,idaho,43.4454568,-116.3733508,,,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park/
Gemstone Technology Park DC2,idaho,43.447687,-116.369296,,,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc2/
Gemstone Technology Park DC1,idaho,43.447687,-116.371953,,,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc1/
Gemstone Technology Park DC3,idaho,43.447687,-116.366581,,,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc3/
Fusion Connect - Coeur d Alene,idaho,47.7003336,-116.7922733,,,https://www.fusionconnect.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/coeur-d-alene/oneeighty-coeur-d-alene/
Gemstone Technology Park DC5,idaho,43.447687,-116.361214,,,https://www.diodeventures.com/projects/kuna-idaho-usa?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/boise/gemstone-technology-park-dc5/
IonSwitch CDA01,idaho,47.7003746,-116.7944506,,,https://www.ionswitch.com/datacenter?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/coeur-d-alene/ionswitch-cda01/
Deep Atomic Idaho Falls,idaho,43.51948489999999,-112.0459325,60,,https://deepatomic.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/idaho-falls/deep-atomic-idaho-falls/
T-REX Orofino,idaho,46.48412099999999,-116.2045325,,,https://trex-acq.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/idaho/orofino/t-rex-orofino/
