Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
600 S. Federal St. (ORD11),illinois,41.8743024,-87.6299278,2.4,,,https://www.datacentermap.com/usa/illinois/chicago/600-780-south-federal/
Netrality - 717 South Wells Chicago Data Center,illinois,41.872911,-87.63327,5,,,https://www.datacentermap.com/usa/illinois/chicago/717-s-wells-st/
350 East Cermak Road (ORD10),illinois,41.8536495,-87.6183422,19.5,,,https://www.datacentermap.com/usa/illinois/chicago/350-east-cermark-road/
505 N Railroad Avenue (ORD23),illinois,41.9201264,-87.9121805,11,,,https://www.datacentermap.com/usa/illinois/chicago/505-north-railroad-avenue/
9401 West Grand Avenue (ORD15),illinois,41.92820050669781,-87.86129889720924,36,,,https://www.datacentermap.com/usa/illinois/chicago/9401-west-grand-avenue-ord15/
2200 Busse Road (CH1),illinois,41.9942501,-87.961949,36.4,,,https://www.datacentermap.com/usa/illinois/chicago/2200-busse-road/
1400 East Devon Avenue (CH3),illinois,41.9942329,-87.9648002,27,,,https://www.datacentermap.com/usa/illinois/chicago/1400-east-devon-avenue/
9333 Grand Avenue (ORD12),illinois,41.9266672,-87.8587419,6.7,,,https://www.datacentermap.com/usa/illinois/chicago/9377-grand-avenue/
9355 Grand Ave (ORD13),illinois,41.9276592,-87.8593414,19.8,,,https://www.datacentermap.com/usa/illinois/chicago/digital-realty-chicago-ord13/
2299 Busse Road (CH2),illinois,41.9943839,-87.9577061,25.6,,,https://www.datacentermap.com/usa/illinois/chicago/2299-busse-road/
2425-2553 Edgington Street (ORD22),illinois,41.9243503,-87.86109019999999,,,,https://www.datacentermap.com/usa/illinois/chicago/2425-2553-edgington-street-ord22/
9377 Grand Ave (ORD14),illinois,41.9286176,-87.8587751,12.8,,,https://www.datacentermap.com/usa/illinois/chicago/digital-realty-chicago-ord14/
CyrusOne CHI5 - Lombard,illinois,41.8493407,-88.0287834,12,,https://www.cyrusone.com/data-centers/north-america/lombard-il?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cyrusone-chicago/
GDC - Chicago CH1 Data Center,illinois,41.9878721,-88.0071901,36,,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/chicago-ch1-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/ntt-ch1/
Hivelocity - Chicago 1,illinois,41.8531135,-87.6183281,,,,https://www.datacentermap.com/usa/illinois/chicago/hivelocity-chicago-1/
CyrusOne CHI2 - Aurora,illinois,41.796912,-88.245166,58.4,,https://www.cyrusone.com/data-centers/north-america/aurora-il?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cyrusone-chi2/
CoreSite Chicago (CH2),illinois,41.8628253,-87.6412923,18,,https://www.coresite.com/data-center-locations/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/coresite-chicago-ch2/
Summit Elk Grove Village,illinois,41.9942245,-87.962234,36.4,,https://www.summithq.com/data-centers/elk-grove-village-illinois-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/elk-grove-village/
Csquare - Chicago ORD4-A,illinois,41.802407,-88.0946556,15,,https://centersquaredc.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/evoque-chi1/
Serverfarm Chicago Data Center CH1,illinois,41.8709147,-87.6401696,20,1.4,https://www.serverfarmllc.com/chicago-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/serverfarm-ch1/
TierPoint Chicago - West,illinois,41.9268739,-87.8583471,2.4,,https://www.tierpoint.com/data-centers/illinois/chicago-west/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/tierpoint-chicago-west/
T5 Data Centers - T5@Chicago,illinois,42.0231895,-87.9752031,30,,https://t5datacenters.com/locations/t5-chicago/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/t5-data-centers-t5chicago/
TierPoint Chicago - Polk,illinois,41.8716165,-87.6428248,,,http://tierpoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/tierpoint-chicago/
Prime Chicago Data Center Campus,illinois,42.0248132,-87.9622719,180,1.25,https://primedatacenters.com/chicago-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/prime-chicago/
QTS Chicago 1 DC1,illinois,41.8418945,-87.6679234,42,,https://www.qtsdatacenters.com/data-centers/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/qts-chicago/
SBA Edge Chicago,illinois,41.8759476,-88.248975,10,,https://www.sbaedge.com/data-center-chicago/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/new-continuum/
Summit Chicago,illinois,41.853036,-87.61886,70,,https://www.summithq.com/data-centers/chicago-illinois-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/server-central-chicago/
Iron Mountain Data Centers CHI-1,illinois,42.0111891,-87.8811769,36,,https://www.ironmountain.com/data-centers/locations/chicago-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/iron-mountain-chi-1/
Colocation America CHIDC1,illinois,41.8541674,-87.618531,,,https://www.colocationamerica.com/data-center-locations/chicago?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/colocation-america-350-e/
Equinix CH7,illinois,41.812525,-87.97275,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/equinix-ch7/
CyrusOne CHI1 - Aurora,illinois,41.8492972,-88.0297672,48.78,,https://www.cyrusone.com/data-centers/north-america/aurora-il?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/cyrusone-chi1/
Legacy - Chicago Byte Exchange,illinois,41.8764788,-87.6321341,33,,https://legacyinvesting.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/illinois/chicago/400-s-lasalle-st/
