Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Netrality - 1102 Grand Kansas City Data Center,missouri,39.101053,-94.580865,26,,,https://www.datacentermap.com/usa/missouri/kansas-city-mo/1102-grand/
Iron Mountain Data Centers KCM-1,missouri,39.0110286,-94.5012027,3.9,1.7,https://www.ironmountain.com/data-centers/locations/kansas-city-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/iron-mountain-kcm-1/
TierPoint Kansas City,missouri,39.2901266,-94.6850376,,,https://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/cosentry2/
IP Pathways Kansas City,missouri,39.1011708,-94.5787964,0.5,1.25,https://www.ippathways.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/ip-pathways/
Rackspace Kansas City,missouri,39.2905853,-94.6759587,2.5,,https://www.rackspace.com/about/data-centers/kansas-city?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/rackspace-kansas-city/
LightEdge - Kansas City,missouri,39.1590191,-94.4713502,2.7,,http://www.lightedge.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/lightedge-solutions-data-center/
1530 Swift,missouri,39.1373431,-94.57775819999999,13,,https://1530swift.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/1530-swift/
Patmos Kansas City,missouri,39.0971892,-94.5672284,4,,https://patmos.tech/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/joes-datacenter/
Patmos AI Data Center,missouri,39.0947391,-94.5793757,100,,https://patmos.tech/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/patmos-kansas-city/
Cogent Data Center - Kansas City,missouri,39.1126169,-94.5763612,9.9,,https://www.cogentco.com/en/cogent-kansas-city?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/cogent-data-center-kansas-city/
SubTropolis Technology Center,missouri,39.15688942508717,-94.48099697644882,15,,https://stckc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/missouri/kansas-city-mo/subtropolis-technology-center/
