Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Vision Net 1030 Central,montana,45.7683204,-108.5414675,,,https://vision.net/datacenter/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/billings/billings-central/
Cogent Data Center - Billings,montana,45.7408946,-108.5919132,,,https://www.cogentco.com/es/network/cogent-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/billings/cogent-data-center-billings/
Parsec Data Center,montana,45.7426697,-108.6031326,2,,https://parsecdata.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/billings/parsec-data-center/
Atlas Power Butte,montana,45.929424,-112.5195066,150,,http://atlaspower.io/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/butte/atlas-power-butte/
Big Sky Campus,montana,45.78277689999999,-108.5045938,1000,,https://bigskydigitalinfra.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/billings/big-sky-campus/
SDC Butte,montana,45.9969121,-112.6661712,,,https://sabeydatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/butte/sdc-butte/
Krambu Western Montana,montana,46.8725801,-113.8677501,10,,https://krambu.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/missoula/krambu-bonner-mill/
TAC Great Falls Campus,montana,47.528802,-111.184255,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-campus/
TAC Great Falls - Building 8,montana,47.529196,-111.189531,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-8/
TAC Great Falls - Building 20,montana,47.525796,-111.176614,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-20/
TAC Great Falls - Building 16,montana,47.527066,-111.176799,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-16/
TAC Great Falls - Building 3,montana,47.5325,-111.186821,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-3/
TAC Great Falls - Building 6,montana,47.529176,-111.194962,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-6/
TAC Great Falls - Building 13,montana,47.529196,-111.176762,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-13/
TAC Great Falls - Building 5,montana,47.530713,-111.188288,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-5/
TAC Great Falls - Building 7,montana,47.529233,-111.192238,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-7/
TAC Great Falls - Building 19,montana,47.525849,-111.179277,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-19/
TAC Great Falls - Building 4,montana,47.530713,-111.190052,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-4/
TAC Great Falls - Building 11,montana,47.528351,-111.189568,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-11/
TAC Great Falls - Building 10,montana,47.528333,-111.192273,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-10/
TAC Great Falls - Building 1,montana,47.532459,-111.19018,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-1/
TAC Great Falls - Building 14,montana,47.528036,-111.179428,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-14/
TAC Great Falls - Building 12,montana,47.529196,-111.179326,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-12/
TAC Great Falls - Building 15,montana,47.527999,-111.176786,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-15/
TAC Great Falls - Building 9,montana,47.528165,-111.194875,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-9/
TAC Great Falls - Building 17,montana,47.526994,-111.179445,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-17/
TAC Great Falls - Building 18,montana,47.525814,-111.182075,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-18/
TAC Great Falls - Building 2,montana,47.53252,-111.188532,,,https://www.tacdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/great-falls/tac-great-falls-building-2/
Opticom Bozeman,montana,45.6732609,-111.1897119,,,http://www.mt-opticom.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/montana/bozeman/opticom-bozeman/
