Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Novva Tahoe Reno,nevada,39.5268671,-119.6246269,60,,https://www.novva.com/data-center-facilities/tahoe-reno-nevada/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/novva-tahoe-reno/
CENTRA Reno (RNO1),nevada,39.5229986,-119.8113578,0.25,,https://www.centradigital.com/locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/cadc-reno/
CENTRA Reno (RNO2),nevada,39.525689,-119.8266105,12,,https://www.centradigital.com/locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/centra-reno-rno2/
Colovore RN01,nevada,39.5314283,-119.4809659,20,,https://www.colovore.com/data-center/data-center-3?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/colovore-rn01/
Roller Network Data Center,nevada,39.4693602,-119.7699757,,,https://www.rollernet.us/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/roller-network2/
Connect Reno,nevada,39.6173616179492,-119.883493432038,5,,https://connectdatacenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/connect-reno/
EdgeCore Reno Campus,nevada,39.524533,-119.481825,303,1.3,https://edgecore.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/reno-campus/
Peru Shelf Technology Park,nevada,39.53921350411434,-119.4938694745495,810,,https://www.tract.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/peru-shelf-technology-park/
Switch TAHOE RENO,nevada,39.51572847368928,-119.4712972640991,,,https://www.switch.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/switch-tahoe-reno/
Google Storey County Data Center,nevada,39.492107,-119.424771,,1.09,https://www.google.com/about/datacenters/locations/storey-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/google-storey-county/
Tract Silver Springs,nevada,39.42587174547161,-119.2346868384189,,,https://www.tract.com/news/tract-expands-its-greater-reno-portfolio-closing-on-1060-acres-in-silver-springs-nevada-following-successful-rezoning-and-development-agreement-with-lyon-county/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/tract-silver-springs/
Xogenous Data Center,nevada,39.1493425,-119.7552715,,,https://www.xogenous.net/?page_id=466&utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/xogenous/
Microsoft Silver Springs,nevada,39.414264,-119.234639,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/microsoft-silver-springs/
Microsoft Fernley,nevada,39.61823172707137,-119.1848330184413,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/microsoft-fernley/
South Valley Technology Park,nevada,39.5121209,-119.4352238,,,https://www.tract.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/south-valley-technology-park/
Apple Sparks Campus,nevada,39.5823736,-119.5199846,,,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/apple-sparks-data-center/
PowerHouse Reno Campus,nevada,39.557847,-119.495145,200,,https://www.powerhousedata.com/data-center/powerhouse-reno?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/powerhouse-reno/
CC Communications Data Center,nevada,39.4751939,-118.7778442,,,http://cccomm.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/cc-communications/
Apple Sparks - Building 3,nevada,39.57038613866397,-119.5365210101018,,,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/apple-sparks-building-3/
Apple Sparks - Building 1,nevada,39.56643042405701,-119.5483928734017,,,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/apple-sparks-building-1/
Apple Sparks - Building 2,nevada,39.56726435025093,-119.5437328896078,,,https://www.apple.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/apple-sparks-building-2/
Vantage NV11,nevada,39.549726,-119.4874804,,,https://vantage-dc.com/data-center-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/vantage-nv11/
PowerHouse Reno - Building 2,nevada,39.5565547773771,-119.500146378006,65,,https://www.powerhousedata.com/data-center/powerhouse-reno?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/powerhouse-reno-building-2/
PowerHouse Reno - Building 1,nevada,39.55905545015912,-119.4994886662035,65,,https://www.powerhousedata.com/data-center/powerhouse-reno?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/powerhouse-reno-building-1/
Vantage NV1 Campus,nevada,39.549726,-119.4874804,,,https://vantage-dc.com/data-center-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/vantage-nv1-campus/
PowerHouse Reno - Building 3,nevada,39.55590405491571,-119.495258006556,65,,https://www.powerhousedata.com/data-center/powerhouse-reno?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/powerhouse-reno-building-3/
Vantage NV12,nevada,39.549726,-119.4874804,,,https://vantage-dc.com/data-center-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/vantage-nv12/
Lumen Reno 1,nevada,39.525084,-119.827138,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/reno/level3-reno1/
DataBank LAS1 - Las Vegas,nevada,36.05966,-115.1470449,3.55,,https://www.databank.com/data-centers/las-vegas/7185-pollock-drive/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/nevada/las-vegas/7185-pollock/
