Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
FirstLight Manchester NH,new-hampshire,42.9721839,-71.470491,2,,http://www.firstlight.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/manchester-facility/
FirstLight Bedford,new-hampshire,42.928233,-71.4639329,,,http://www.firstlight.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/bedford-data-center/
Consolidated Manchester,new-hampshire,42.9890278,-71.46366689999999,,,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/new-hampshire?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/consolidated-manchester/
Peregrine Networks Data Center,new-hampshire,42.993497,-71.462138,,,https://www.peregrinenetworks.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/spectra-access/
Dynamic Internet Data Center,new-hampshire,42.7630792,-71.2417919,,,https://dynamicinternet.com/hosting_services/#1?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/manchester-nh/salemnhdc01/
FirstLight Keene NH,new-hampshire,42.9259713,-72.2667588,,,http://www.firstlight.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/keene/firstlight-lebanon/
FirstLight Lebanon NH,new-hampshire,43.6790047,-72.2561229,,,https://www.firstlight.net/lebanon-nh-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/lebanon-nh/firstlight-lebanon-nh1/
Consolidated Laconia,new-hampshire,43.5314631,-71.4732697,,,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/new-hampshire?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/laconia/consolidated-laconia/
SNS Littleton,new-hampshire,44.2932993,-71.7985077,,,https://www.sns.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/littleton/sns-littlteon-nh/
FirstLight Portsmouth,new-hampshire,43.0727335,-70.8027537,,,https://www.firstlight.net/portsmouth-nh-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-hampshire/portsmouth-nh/firstlight-portsmouth/
