Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
H5 Data Centers Buffalo III,new-york,42.884419,-78.875427,,,https://365datacenters.com/buffalo-data-center/?utm_source=Referral&utm_medium=Listing&utm_campaign=DataCenterMap,https://www.datacentermap.com/usa/new-york/buffalo/switchdata-buffalo/
Elm Data Center,new-york,42.8873863,-78.8682528,1,,https://elmdata.com/colocation-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/elm-dc/
ColoCrossing BUF1,new-york,42.892919,-78.875081,1.44,,https://www.colocrossing.com/datacenter/buffalo-ny/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/colocrossing/
I-Evolve Data Center,new-york,43.018074,-78.7845806,,,https://www.i-evolve.com/network-services/colocation-buffalo-ny?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/i-evolve-data-center/
Cogent Data Center - Buffalo,new-york,42.8812477,-78.84662519999999,,,https://cogentco.com/es/cogent-buffalo?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/cogent-data-center-buffalo/
Advance2000 Williamsville Data Center,new-york,42.9502219,-78.740705,,,https://www.advance2000.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/advance2000/
Blockfusion Niagara Falls,new-york,43.0831175,-79.0030939,100,,https://blockfusion.com/hosting/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/blockfusion-niagara-falls/
Victory Technology Center,new-york,42.8907569,-78.868183,5,,https://victorytechcenter.org?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/victory-technology-center/
Shatter I.T. Buffalo,new-york,42.884419,-78.875427,,,https://www.shatterit.com/buffalo-ny?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/main-place1/
RITC Data Center,new-york,42.98215,-78.925699,300,,http://www.riverviewtechcampus.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/ritc-data-center/
DigiPowerX North Tonawanda,new-york,43.04865590763131,-78.85203346607373,120,,https://www.digipowerx.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/digipowerx-north-tonawanda/
DigiPowerX Buffalo,new-york,42.92012,-78.81941,42,,https://www.digipowerx.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/digipowerx-buffalo/
Niagara Digital Campus,new-york,43.08538598953857,-79.04977599393197,140,,https://www.udcsdatacentres.com/facilities/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/niagara-digital-campus/
Centrilogic Buffalo,new-york,42.884419,-78.875427,,,https://www.centrilogic.com/buffalo-new-york-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/centrilogic1/
PCI Buffalo,new-york,42.8797638,-78.8764319,,,https://www.pciconnected.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/pci-nuffalo/
325 Delware Avenue,new-york,42.892919,-78.875081,,,https://www.benchmarkgrp.com/commercial/office-building-325-delaware-ave/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/325delaware/
Stream DC Genesee County,new-york,43.0861347,-78.39777769999999,250,,https://www.streamdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/stream-dc-genesee-county/
Lake Mariner Data - Building 5,new-york,43.3576347313635,-78.60372821930243,20,,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-5/
Lake Mariner Data - Building 6,new-york,43.35680494079885,-78.60402337086123,50,,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-6/
350 Main Place,new-york,42.884419,-78.875427,,,https://www.mainliberty.com/main-place-tower?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/350-main-place/
Lake Mariner Data,new-york,43.35891814977154,-78.60417651863601,500,,https://www.terawulf.com/lake-mariner-mining/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data/
Nexeon BUF1,new-york,42.892919,-78.875081,,,https://nexeon.com/infrastructure/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/nexeon-buf1/
Lake Mariner Data - Building 2,new-york,43.3583452,-78.6008518,,,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-2/
Lake Mariner Data - Building 4,new-york,43.35825302717953,-78.60206172681522,,,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-4/
Lake Mariner Data - Building 3,new-york,43.36008617941789,-78.60107361179624,,,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-3/
H5 Data Centers Buffalo I,new-york,43.16875629286727,-78.75188374943883,,,https://h5datacenters.com/buffalo-I-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/h5-data-centers-buffalo-i/
Ridge Lea,new-york,42.9983312,-78.8128756,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/ridge-lea/
Stream DC New York,new-york,43.08396361676727,-78.40694549250384,,,https://www.streamdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/stream-dc-new-york/
H5 Data Centers Buffalo II,new-york,43.1697406,-78.7478555,,,https://h5datacenters.com/buffalo-II-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/h5-data-centers-buffalo-ii/
Lake Mariner Data - Building 1,new-york,43.3589006,-78.6042112,,,https://www.terawulf.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/lake-mariner-data-building-1/
Core42 Lake Mariner Data Center,new-york,43.35891814977154,-78.60417651863601,,,https://www.core42.ai/index.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/core42-lake-mariner-data-center/
"The Four Winds of Lake Erie, LLC",new-york,42.37578181741824,-79.52019694497692,,,,https://www.datacentermap.com/usa/new-york/buffalo/the-four-winds-of-lake-erie-llc/
Lumen Buffalo 2,new-york,42.892919,-78.875081,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/level3-buffalo2/
Lumen Buffalo 1,new-york,42.8756021,-78.8675109,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/buffalo/level3-buffalo1/
Global AI Endicott,new-york,42.1080275,-76.0444109,100,,https://www.globalai.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/binghamton/global-ai-endicott/
Tier.Net Binghamton Data Center,new-york,42.1009559,-75.90902109999999,,,https://www.tier.net/infrastructure#latham?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/binghamton/tiernet-binghamton-data-center/
60 Hudson Street (JFK12),new-york,40.7176643,-74.0083332,2.5,,,https://www.datacentermap.com/usa/new-york/new-york/tel-x-new-york/
111 Eight Avenue (JFK10),new-york,40.7409573,-74.0021187,5.5,,,https://www.datacentermap.com/usa/new-york/new-york/111-eight-avenue-dlr/
32 Avenue of the Americas (JFK13),new-york,40.7200005,-74.0045606,9.5,,,https://www.datacentermap.com/usa/new-york/new-york/telx-nyc3/
Hivelocity - New York 1,new-york,40.6067753,-74.1753897,,,,https://www.datacentermap.com/usa/new-york/new-york/hivelocity-new-york-1/
701 Union Boulevard (EWR15),new-york,40.8907721,-74.229275,2.4,,,https://www.datacentermap.com/usa/new-york/new-york/701-union-boulevard-ewr15/
703 Union Boulevard (EWR16),new-york,40.8922087,-74.2307073,2.4,,,https://www.datacentermap.com/usa/new-york/new-york/703-union-boulevard-ewr16/
SDC Manhattan,new-york,40.7110329,-74.0008574,18,,https://sabeydatacenters.com/locations/new-york-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/intergate-manhattan/
NYI - QTD1,new-york,40.717946,-74.008929,2,,https://www.nyi.net/solutions/colocation-data-centers/new-york/60-hudson-street/nyi-qtd1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/switch-data-new-york1/
325 Hudson,new-york,40.7267165,-74.0075896,,,https://325hudson.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/325-hudson/
DataBank LGA1 - Downtown New York City,new-york,40.7177452,-74.0083059,0.74,,https://www.databank.com/data-centers/new-york-city/hudson-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/zcolo-facility-1/
Opti9 NY1,new-york,40.722807,-73.6315983,4,,https://opti9tech.com/infrastructure-as-a-service/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/webair-ny1/
1 Ramland,new-york,41.034512,-73.9758403,12,,https://1547realty.com/data-centers/orny1-orangeburg-new-york/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/1-ramland-facility/
Cogent Data Center - New York,new-york,40.7055177,-74.0139121,3.7,,http://www.cogentco.com/en/cogent-new-york?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/cogent-new-york2/
Hudson InterXchange,new-york,40.717729,-74.0083059,15,1.43,https://www.hudsonix.com/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/datagryd/
TELEHOUSE New York Chelsea,new-york,40.7431037,-74.0076859,4.15,1.69,https://www.telehouse.com/global-data-centers/america/new-york-datacenters/telehouse-new-york-chelsea/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/telehouse-chelsea/
365 Data Centers - New York 2,new-york,40.726718,-74.007398,,,https://365datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/atlantic-metro-communications/
TELEHOUSE New York Teleport,new-york,40.607514,-74.17108,10,,https://www.telehouse.com/global-data-centers/america/new-york-datacenters/telehouse-new-york-teleport-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/telehouse-center/
DataBank LGA2 - Downtown New York City,new-york,40.7409154,-74.0022334,0.68,,https://www.databank.com/data-centers/new-york-city/eighth-avenue/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/zcolo-facility-2/
NYI - New York,new-york,40.70855583007363,-74.00715306401253,,,https://www.nyi.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/new-york-internet-dc1/
Delimiter Commack Data Center,new-york,40.8225911,-73.2916469,0.5,,https://www.delimiter.com/colocation/new-york-colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/new-york/new-york/nyrk06/
