Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Project Fighting Pike - Building 3,north-dakota,48.232186,-103.633628,65,,,https://www.datacentermap.com/usa/north-dakota/williston/project-fighting-pike-building-3/
Project Fighting Pike - Building 5,north-dakota,48.235489,-103.628349,65,,,https://www.datacentermap.com/usa/north-dakota/williston/project-fighting-pike-building-5/
Atlas Power Willinston,north-dakota,48.1462269530528,-103.7743953186369,700,,https://atlaspower.io/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/williston/atlas-power-willinston/
Project Fighting Pike - Building 6,north-dakota,48.229921,-103.637064,65,,,https://www.datacentermap.com/usa/north-dakota/williston/project-fighting-pike-building-6/
Project Fighting Pike - Building 4,north-dakota,48.23322,-103.631876,65,,,https://www.datacentermap.com/usa/north-dakota/williston/project-fighting-pike-building-4/
Project Fighting Pike - Building 1,north-dakota,48.229723,-103.631527,65,,,https://www.datacentermap.com/usa/north-dakota/williston/project-fighting-pike-building-1/
Project Fighting Pike - Building 2,north-dakota,48.231396,-103.628896,65,,,https://www.datacentermap.com/usa/north-dakota/williston/project-fighting-pike-building-2/
Project Fighting Pike - Building 7,north-dakota,48.228079,-103.633995,65,,,https://www.datacentermap.com/usa/north-dakota/williston/project-fighting-pike-building-7/
Project Fighting Pike,north-dakota,48.231163,-103.631409,455,,,https://www.datacentermap.com/usa/north-dakota/williston/project-fighting-pike/
Bitzero Nekoma,north-dakota,48.58944709686995,-98.35668459224368,300,,https://bitzero.com/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/langdon/bitzero-nekoma/
Midco Fargo,north-dakota,46.8365002,-96.8658885,1.75,,https://business.midco.com/services/security/data-centers/fargo-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/fargo/midco-fargo1/
DCN Fargo Great Plains,north-dakota,46.8149813,-96.8444693,,,https://dakotacarrier.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/fargo/dcn-fargo-great-plains/
702 Data Center,north-dakota,46.8684165,-96.8272752,,,http://702com.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/fargo/702-data-center/
Consolidated Fargo,north-dakota,46.8314641,-96.8493182,,,https://www.consolidated.com/business/medium-enterprise/data-center-services/locations/north-dakota?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/fargo/consolidated-fargo/
Applied Digital Polaris Forge 2,north-dakota,46.98433668194235,-96.88442312469563,280,,http://applieddigital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/fargo/applied-digital-polaris-forge-2/
Midco Grand Forks,north-dakota,47.88888044733152,-97.07616115094062,,,https://business.midco.com/services/security/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/grand-forks/midco-grand-forks/
Core Scientific Grand Forks,north-dakota,47.90964296602304,-97.11151765887791,100,,https://corescientific.com/infrastructure-footprint/#content-northdakota?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/grand-forks/core-scientific-grand-forks/
DCN Bismarck Coleman,north-dakota,46.8517727,-100.7818499,,,https://dakotacarrier.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/bismarck/dcn-bismarck-coleman/
Aurum Capital Ventures - Bismarck,north-dakota,46.80679734451891,-100.7206401059407,,,https://aurumcapitalventures.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/bismarck/aurum-capital-ventures-bismarck/
Project Trinity,north-dakota,48.27876400517509,-102.9098724678627,100,,https://www.tetondigital.io/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/tioga/project-trinity/
Applied Digital ELN02,north-dakota,46.01508743227318,-98.57242579313194,100,,https://www.applieddigital.com/data-center-solutions?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/ellendale/applied-digital-eln02/
Applied Digital Polaris Forge 1,north-dakota,46.01508479946312,-98.57233254208022,,,https://www.applieddigital.com/data-center-solutions?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/ellendale/applied-digital-eln-datacenter/
Applied Digital ELN01,north-dakota,46.01289180245313,-98.57286856312295,180,,https://www.applieddigital.com/data-center-solutions?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/ellendale/applied-digital-eln1/
Applied Digital JMS,north-dakota,47.02660101932798,-98.68044492618182,5,,https://www.applieddigital.com/data-center-solutions?utm_source=datacentermap.com,https://www.datacentermap.com/usa/north-dakota/jamestown/applied-digital-jms/
