Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Ark Data Centers Akron 2,ohio,41.0574718,-81.5215892,1,,https://arkdna.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/involta-akron-2/
Ark Data Centers Akron 1,ohio,41.0573435,-81.5223617,1,,https://arkdna.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/involta-akron/
LightSpeed Data Center,ohio,41.1383532,-81.7005967,1,1.25,https://www.lightspeedhosting.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/medina387/
FairlawnGig Service Center,ohio,41.1332031,-81.6294432,,,https://www.fairlawngig.net/colocation-services-from-fairlawngig/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/fairlawngig-service-center/
Cogent Data Center - Akron,ohio,41.0874311,-81.51386699999999,5,,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/cogent-data-center-akron/
Lumen Akron 2,ohio,41.069378,-81.491246,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/akron/level3-akron2/
"DartPoints Cincinnati, OH - CVG01",ohio,39.098141,-84.517673,1.6,,https://dartpoints.com/locations/ohio1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/profitabilitynet/
CyrusOne CIN2 - Cincinnati,ohio,39.1030375,-84.517724,14,,https://www.cyrusone.com/data-centers/north-america/cincinnati-ohio?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-cincinnati/
Flexential Cincinnati Data Center,ohio,39.315827,-84.4487908,3.8,,,https://www.datacentermap.com/usa/ohio/cincinnati/flexential-cincinnati/
CyrusOne CIN4 - Hamilton,ohio,39.3870117,-84.5649065,4.725,,https://www.cyrusone.com/data-centers/north-america/ohio/cin4-hamilton?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-ohio-hamilton/
CyrusOne CIN97 - Cincinnati,ohio,39.2444984,-84.380769,0.9,,https://www.cyrusone.com/data-centers/north-america/ohio/cin97-cincinnati?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-ohio-blue-ash/
CyrusOne CIN3 - Mason,ohio,39.209213,-84.469773,1.7,,https://www.cyrusone.com/data-centers/north-america/ohio/cin3-cincinnati?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/cyrusone-ohio-mason/
H5 Data Centers Cincinnati II,ohio,39.1058513,-84.5365697,,,https://h5datacenters.com/cincinnati-II-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/h5-cincinnati-ii/
H5 Data Centers Cincinnati,ohio,39.0979348,-84.5240947,,,https://h5datacenters.com/cincinnati-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/h5dc-cincinnati/
CenterGrid - Hamilton,ohio,39.3848676,-84.566587,2,,http://centergrid.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/centergrid-hamilton/
LightHouse CLT01,ohio,39.3833235,-84.5580919,288,,https://www.lighthousedatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/lighthouse-clt01/
I74 Wired Data Center,ohio,39.1562106,-84.5708736,,,https://i74wired.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/hot-site-data-center/
Prologis Project Mila Campus,ohio,39.456822,-84.459078,,,https://www.prologis.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/prologis-trenton-industrial-park/
Encore Technologies BLU1,ohio,39.2775428,-84.3695712,,,https://encore.tech/solutions/data-center-co-location/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/encore-technologies-blu1/
Encore Technologies NOR1,ohio,39.1605357,-84.44869,,,https://encore.tech/solutions/data-center-co-location/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/encore-technologies-nor1/
Prologis Project Mila DC4,ohio,39.454778,-84.455634,,,https://www.prologis.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/prologis-project-mila-dc4/
Buck Canyon Data Center,ohio,38.6537952,-83.6631959,,,,https://www.datacentermap.com/usa/ohio/cincinnati/Adams-County-Data-Center/
Prologis Project Mila DC2,ohio,39.454525,-84.459116,,,https://www.prologis.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/prologis-project-mila-dc2/
Prologis Project Mila DC1,ohio,39.455944,-84.459107,,,https://www.prologis.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/prologis-project-mila-dc1/
Prologis Project Mila DC3,ohio,39.453707,-84.459063,,,https://www.prologis.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/prologis-project-mila-dc3/
DataBank - 334 Gest St,ohio,39.0978164,-84.5249577,,,https://www.databank.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/ohio/cincinnati/zcolo-334-gest-st/
