Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Aligned PDX-01,oregon,45.55149367999162,-122.9478753739637,72,,https://aligneddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/aligned-pdx-01/
STACK Infrastructure POR03B,oregon,45.554225,-122.9393723,24,1.3,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por03b/
5870 NE Schaaf Street (PDX12),oregon,45.5684181,-122.9198647,24,,,https://www.datacentermap.com/usa/oregon/hillsboro/5870-ne-schaaf/
GDC - Hillsboro HI2 Data Center,oregon,45.5481229,-122.9377002,216,,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/gdc-hillsboro-hi2-data-center/
Aligned PDX-02,oregon,45.55149367999162,-122.9478753739637,36,,https://aligneddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/aligned-pdx-02/
STACK Infrastructure POR03E,oregon,45.5522828747475,-122.9402305794563,42,,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por03e/
QTS Hillsboro 2 Campus,oregon,45.5575219,-122.9324422,180,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/qts-hillsboro2-campus/
STACK Infrastructure POR01A,oregon,45.5493667,-122.9278291,5,,https://www.stackinfra.com/locations/americas/portland/por01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por01/
Aligned Hillsboro Campus,oregon,45.55149367999162,-122.9478753739637,,,https://aligneddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/hillsboro-campus/
STACK Infrastructure POR03F,oregon,45.5522688425354,-122.9431723631466,54,,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por03f/
OVHcloud HIL1,oregon,45.534296,-122.955464,,,https://www.ovhcloud.com/es-es/datacenters-ovhcloud/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/ovhcloud-hil1/
QTS Hillsboro 2 DC3,oregon,45.55885131491198,-122.9329500704654,,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/qts-hillsboro-2-dc3/
QTS Hillsboro 2 DC5,oregon,45.55878637167293,-122.9351899657618,,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/qts-hillsboro-2-dc5/
QTS Hillsboro 3,oregon,45.5588588,-122.9320246,100,,https://www.qtsdatacenters.com/data-centers/hillsboro-3?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/qts-hillsboro-3/
Rowan Meriwether,oregon,45.5250776,-123.0880003,,,https://www.quinbrook.com/quinbrook-project/meriwether/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/rowan-meriwether/
STACK Infrastructure POR03 Campus,oregon,45.55375949632261,-122.9432540605532,,,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/stack-infrastructure-por03-campus/
QTS Hillsboro 2 DC2,oregon,45.55880860947588,-122.9319680006178,,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/qts-hillsboro-2-dc2/
QTS Hillsboro 2 DC1,oregon,45.55875041248945,-122.9296063309097,,,https://q.com/data-centers/hillsboro-2/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/qts-hillsboro-2-dc1/
Oracle - 3380 NE 79th Ave,oregon,45.5439532,-122.8966187,,,https://www.oracle.com/cloud/public-cloud-regions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/oracle-3380-ne-79th-ave/
Oracle - 3295 NE 83rd Ave,oregon,45.54377299999999,-122.8944649,,,https://www.oracle.com/cloud/public-cloud-regions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/hillsboro/oracle-3295-ne-83rd-ave/
3825 NW Aloclek Street (PDX10),oregon,45.547609,-122.892017,10,,,https://www.datacentermap.com/usa/oregon/portland/telx-prt1/
Flexential Portland - Hillsboro 3 Data Center,oregon,45.5594927,-122.9382505,36,1.3,,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro3/
Flexential Portland - Hillsboro 2 Data Center,oregon,45.5570103,-122.9211116,18,,,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro2/
Flexential Portland - Hillsboro 1 Data Center,oregon,45.5498358,-122.8908604,5.3,1.4,,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro/
Flexential Portland - Hillsboro 4 Data Center,oregon,45.5551539,-122.9400484,18,1.4,,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro4/
Flexential Portland - Hillsboro 6 Data Center,oregon,45.54922366766224,-122.8897036546637,27,,,https://www.datacentermap.com/usa/oregon/portland/flexential-portland-hillsboro-6/
6675 NE 62nd Ave (PDX11),oregon,45.568047,-122.9169313,54,,,https://www.datacentermap.com/usa/oregon/portland/6675-ne-62nd/
Digital Fortress Portland 2,oregon,45.475963,-122.776797,1.2,,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/easystreet-online-services/
GDC - Hillsboro HI1 Data Center,oregon,45.5495971,-122.9375934,36,,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/hillsboro-hi1-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/ntt-hillsboro-hi1/
Flexential Portland - Hillsboro 5 Data Center,oregon,45.5564705,-122.9393305,36,,,https://www.datacentermap.com/usa/oregon/portland/flexential-hillsboro5/
STACK Infrastructure POR02A,oregon,45.547232,-122.897295,24,,https://www.stackinfra.com/locations/americas/portland/por02/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/fortune-oregon/
Digital Fortress Portland 1,oregon,45.5211578,-122.6817361,2.1,,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/infinity-internet/
Digital Fortress Portland 3,oregon,45.4756998,-122.7760368,1.5,,https://digital-fortress.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/atmosera2/
Opus Interactive Hillsboro Datacenter,oregon,45.54740496161695,-122.8979104757309,24,,https://www.opusinteractive.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/hillsboro-datacenter/
Crane PDX01,oregon,45.5147593,-123.0778233,48,1.3,https://www.cranedc.com/data-centers/oregon-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/crane-portland/
EdgeConneX Portland - EDCPOR02,oregon,45.5480153,-122.9059554,3,,https://www.edgeconnex.com/locations/americas/portland-or/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/edgeconnex-por02/
Opus Interactive Portland Datacenter,oregon,45.5230694,-122.6836521,,,https://www.opusinteractive.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/opus-portland/
EdgeConneX Portland - EDCPOR01,oregon,45.5513199,-122.914901,3,,http://www.edgeconnex.com/edge-data-center-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/edcpor01/
H5 Data Centers Portland,oregon,45.53169159999999,-122.6838871,,,https://h5datacenters.com/portland-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/h5-portland/
QTS Hillsboro 1 DC1,oregon,45.5585229,-122.9276464,24,,https://www.qtsdatacenters.com/data-centers/hillsboro?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/qts-hillsboro/
Pittock Block,oregon,45.5214429,-122.6805969,8,,https://1547realty.com/data-centers/portland-oregon-data-center-ptor1/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/pittock-ix/
Cogent Data Center - Portland,oregon,45.5438301,-122.7219127,,,https://www.cogentco.com/en/cogent-Portland?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/cogent-data-center-portland/
STACK Infrastructure POR01B,oregon,45.5499301690777,-122.9294491569509,36,,https://www.stackinfra.com/locations/americas/portland/por01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/stack-infrastructure-por01b/
DTS-NET USA,oregon,45.521146,-122.677773,,,https://dts-net.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/lightpoint-colocation/
STACK Infrastructure POR03D,oregon,45.55277500226603,-122.9380311983023,24,,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/stack-infrastructure-por03d/
Windstream Portland,oregon,45.5210556,-122.6791797,,,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/windstream-portland/
STACK Infrastructure POR03C,oregon,45.55426253454119,-122.9409601704437,24,,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/stack-infrastructure-por03c/
STACK Infrastructure POR03A,oregon,45.5542026,-122.9379236,24,,https://www.stackinfra.com/locations/americas/portland/por03/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/stack-infrastructure-por03a/
Lumen Portland 1,oregon,45.531553,-122.685371,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/level3-portland1/
Lumen Portland 2,oregon,45.5210017,-122.6792039,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/level3-portland2/
Lumen Cedar Hills,oregon,45.493568,-122.822645,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/twtc-cedar-hills/
Tata Communications Hillsboro,oregon,45.5465082,-122.8937878,,,https://tatacommunications.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/portland/tata-hillsboro/
Google The Dalles Campus,oregon,45.6319052,-121.2010282,,1.1,https://www.google.com/about/datacenters/locations/the-dalles/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/the-dalles/google-the-dalles/
Google The Dalles - Building 3,oregon,45.63155197970636,-121.1994015641831,,,https://www.google.com/about/datacenters/locations/the-dalles/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/the-dalles/google-the-dalles-building-3/
Google - 3500 River Rd,oregon,45.63039520903672,-121.2081330253013,,,https://www.google.com/about/datacenters/locations/the-dalles/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/the-dalles/google-3500-river-rd/
Google Taylor Lake Data Center,oregon,45.6378344,-121.20254,,,https://www.google.com/about/datacenters/locations/the-dalles/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/the-dalles/google-taylor-lake-data-center/
Google The Dalles - Building 2,oregon,45.63196589694215,-121.2009143300676,,,https://www.google.com/about/datacenters/locations/the-dalles/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/the-dalles/google-the-dalles-building-2/
Google The Dalles - Building 1,oregon,45.63240231783797,-121.2022876210833,,,https://www.google.com/about/datacenters/locations/the-dalles/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/the-dalles/google-the-dalles-building-1/
SDC Umatilla Campus,oregon,45.9211461,-119.2610528,150,,https://sabeydatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/sdc-umatilla/
Amazon AWS PDX - Powerline Campus,oregon,45.88117307227958,-119.3406286597864,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-powerline-campus/
Amazon AWS PDX - 3250 Beach,oregon,45.91768205998612,-119.2677125645874,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-3250-beach/
Amazon AWS PDX - 34830 Wanapa,oregon,45.92054224330124,-119.2299581641781,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-34830-wanapa/
Amazon AWS PDX - 1650 Beach,oregon,45.9141563682653,-119.267818774641,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-1650-beach/
Amazon AWS PDX - 34840 Wanapa,oregon,45.92057362374423,-119.2287492377,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-34840-wanapa/
Amazon AWS PDX - 80937 Powerline,oregon,45.87956921663768,-119.3399040809073,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-80937-powerline/
Amazon AWS PDX - Beach Campus,oregon,45.91395087658259,-119.2698386716204,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-beach-campus/
Amazon AWS PDX - 2400 Beach,oregon,45.91639425843858,-119.2677656696142,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-2400-beach/
Amazon AWS PDX - 1600 Beach,oregon,45.91365494181796,-119.2676746324254,,,https://aws.amazon.com/compliance/data-center/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/oregon/umatilla/amazon-aws-pdx-1600-beach/
