Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Resilience GSP,south-carolina,34.92548093782104,-82.16671935051278,400,,https://www.overwatchcap.com/resiliencegsp?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/greenville/resilience-gsp/
"DartPoints Greenville, SC - GSP01",south-carolina,34.8079545,-82.3445036,13.3,,https://dartpoints.com/locations/south-carolina2/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/greenville/immedion/
DC BLOX Greenville,south-carolina,36.45663572314526,-111.621094,3,,https://www.dcblox.com/data-centers/greenville/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/greenville/dcblox-gsp1/
"DartPoints Spartanburg, SC - SPA01",south-carolina,34.9965805,-82.0348432,13.6,,https://dartpoints.com/locations/south-carolina3/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/immedion-greenville/
300 Jones Road,south-carolina,35.0154612,-81.88481039999999,60,,https://www.lighthousedatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/300-jones-road/
Project Moc-1,south-carolina,34.92302915413012,-81.84993332938947,,,https://northmarkstrategies.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/project-moc-1/
TigerDC SC1 Campus,south-carolina,34.864946,-82.028865,400,,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-campus/
TigerDC SC1 - Phase 1A,south-carolina,34.864429,-82.019328,,,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-1a/
TigerDC SC1 - Phase 1B,south-carolina,34.867931,-82.017295,,,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-1b/
TigerDC SC1 - Phase 3B,south-carolina,34.87149,-82.042866,,,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-3b/
TigerDC SC1 - Phase 3E,south-carolina,34.870384,-82.039106,,,https://tigerdc.com/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/south-carolina/spartanburg/tigerdc-sc1-phase-3e/
