Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Flexential Nashville - Franklin Data Center,tennessee,35.9202805,-86.8156181,6,,,https://www.datacentermap.com/usa/tennessee/nashville/flexential-franklin-data-center/
Flexential Nashville - Cool Springs Data Center - $0 NRC's,tennessee,35.9498275,-86.8324503,3.15,,,https://www.datacentermap.com/usa/tennessee/nashville/flexential-cool-springs/
Flexential Nashville - Brentwood Data Center,tennessee,35.9724486,-86.8085582,1.49,1.85,,https://www.datacentermap.com/usa/tennessee/nashville/flexential-brentwood/
TierPoint Nashville,tennessee,35.9245231,-86.8555194,2.4,,http://www.TierPoint.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/tierpoint-nashville/
H5 Data Centers Nashville I,tennessee,36.1626255,-86.77627760000001,,,https://h5datacenters.com/nashville-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/h5-nashville/
EdgeConneX Nashville - EDCNAS01,tennessee,36.1454692,-86.7020989,0.5,,https://www.edgeconnex.com/locations/americas/nashville-tn/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/edcnas01/
Cogent Data Center - Nashville,tennessee,36.1321629,-86.7528932,2.5,,https://www.cogentco.com/en/network/cogent-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/cogent-data-center-nashville/
Data Suites,tennessee,35.8574003,-86.406496,2,1.5,https://mydatasuites.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/data-suites/
H5 Data Centers Nashville II,tennessee,36.262274,-86.705301,,,https://365datacenters.com/nashville-data-center/?utm_source=Referral&utm_medium=Listing&utm_campaign=DataCenterMap,https://www.datacentermap.com/usa/tennessee/nashville/switchdata-nashville/
RadiusDC Nashville I,tennessee,36.2216592,-86.7838943,12,,https://www.radius-dc.com/locations?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/radiusdc-nashville-i/
Csquare - Nashville,tennessee,36.40622726450199,-86.39295021659508,100,,https://www.evoquedcs.com/data-centers/nashville?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/evoque-nashville/
Meta Gallatin Campus,tennessee,36.4064288,-86.3711745,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/meta-gallatin-data-center/
Meta Gallatin - Building 5,tennessee,36.40577858268337,-86.36718378161957,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/tennessee/nashville/meta-gallatin-building-5/
