Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
8435 Stemmons Freeway (DFW36),texas,32.8275518,-96.8737025,1.2,,,https://www.datacentermap.com/usa/texas/dallas/tel-x-dallas2/
4025 Midway Rd (DFW11),texas,33.021641,-96.844558,4.4,,,https://www.datacentermap.com/usa/texas/dallas/4025-midway/
2323 Bryan Street (DFW10),texas,32.7872116,-96.7942191,3.8,,,https://www.datacentermap.com/usa/texas/dallas/2323-bryan-street/
1232 Alma Road (DFW16),texas,32.966302,-96.715742,6.7,,,https://www.datacentermap.com/usa/texas/dallas/1232-alma/
900 Quality Way (DFW17),texas,32.9672275,-96.7133702,6.9,,,https://www.datacentermap.com/usa/texas/dallas/900-quality-way/
H5Colo  Inc.,texas,32.9215006,-96.7765026,,,,https://www.datacentermap.com/usa/texas/dallas/h5-colo-dallas/
850 E. Collins Boulevard (DFW28),texas,32.9679639,-96.7137273,6.8,,,https://www.datacentermap.com/usa/texas/dallas/850-e-collins-boulevard/
1210 Integrity Drive (DFW18),texas,32.96641528,-96.71448144,36,,,https://www.datacentermap.com/usa/texas/dallas/1210-integrity-drive/
Cologix DAL2,texas,32.800748,-96.819412,,,,https://www.datacentermap.com/usa/texas/dallas/cologix-dal2/
Cologix DAL1,texas,32.799962,-96.820615,,,,https://www.datacentermap.com/usa/texas/dallas/cologix-infomart/
Flexential Dallas - Plano Data Center,texas,33.0072369,-96.6662997,18,,,https://www.datacentermap.com/usa/texas/dallas/flexential-plano/
1215 Integrity Drive (DFW25),texas,32.96451597,-96.71448144,6.9,,,https://www.datacentermap.com/usa/texas/dallas/1215-integrity-drive/
Cologix DAL3,texas,32.800748,-96.819412,,,,https://www.datacentermap.com/usa/texas/dallas/cologix-dal3/
2440 Marsh Lane (DFW12),texas,32.9799672,-96.8534887,6.7,,,https://www.datacentermap.com/usa/texas/dallas/2440-marsh-lane/
4849 Alpha Road (DFW14),texas,32.93394,-96.827985,4.5,,,https://www.datacentermap.com/usa/texas/dallas/4849-alpha-road/
907 Security Row (DFW35),texas,32.9642249,-96.711535,9.6,,,https://www.datacentermap.com/usa/texas/dallas/907-security-row/
Flexential Dallas - Richardson Data Center,texas,32.9946659,-96.7526944,3.75,,,https://www.datacentermap.com/usa/texas/dallas/flexential-richardson/
Hivelocity - Dallas 1,texas,32.8379674,-96.878352,,,,https://www.datacentermap.com/usa/texas/dallas/hivelocity-carrier1/
950 E. Collins Boulevard (DFW29),texas,32.9672132,-96.7106402,7.2,,,https://www.datacentermap.com/usa/texas/dallas/950-e-collins-boulevard/
2501 S. State Highway 121 (DFW26),texas,33.0533231,-96.9173431,,,,https://www.datacentermap.com/usa/texas/dallas/2501-s-state-highway-121/
Datacenter Park - Dallas,texas,32.96608457497533,-96.71216817582877,,,,https://www.datacentermap.com/usa/texas/dallas/datacenter-park-dallas/
Flexential Dallas - Downtown Data Center,texas,32.799962,-96.820615,6.66,,,https://www.datacentermap.com/usa/texas/dallas/flexential-dallas-downtown/
Digital Realty Garland Campus,texas,32.977103,-96.650478,,,,https://www.datacentermap.com/usa/texas/dallas/digital-realty-garland-campus/
908 Quality Way (DFW20),texas,32.966215,-96.7099901,10,,,https://www.datacentermap.com/usa/texas/dallas/908-quality-way-dfw20/
904 Quality Way (DFW21),texas,32.96624917268467,-96.71115026551631,,,,https://www.datacentermap.com/usa/texas/dallas/904-quality-way-dfw21/
1702 W Campbell Rd,texas,32.977103,-96.650478,,,,https://www.datacentermap.com/usa/texas/dallas/1702-w-campbell-rd/
1502 Ferris Rd,texas,32.9742907,-96.64939869999999,8,,,https://www.datacentermap.com/usa/texas/dallas/1502-ferris-rd/
1505 Ferris Rd,texas,32.974884,-96.6509725,,,,https://www.datacentermap.com/usa/texas/dallas/1505-ferris-rd/
GDC - Dallas TX1 Data Center,texas,32.981173,-96.6563479,16,,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/dallas-tx-1-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/dallas/ragingwire-dallas-tx1/
CyrusOne DFW1 - Carrollton,texas,32.9940835,-96.9314096,90,,https://www.cyrusone.com/data-centers/north-america/carrollton-texas?utm_source=datacentermap.com,https://www.datacentermap.com/usa/texas/dallas/cyrusone-carrolton/
