Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Flexential Salt Lake City - South Valley Data Center,utah,40.6203452,-111.9860492,1.2,1.8,,https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-south-valley/
Flexential Salt Lake City - Downtown Data Center - No Setup Fees,utah,40.756304,-111.955177,2.65,1.5,,https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-downtown/
Flexential Salt Lake City - Millcreek Data Center,utah,40.6854716,-111.8850347,1.92,1.4,,https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-east/
Novva Salt Lake City,utah,40.5725846,-112.0459884,200,1.18,https://www.novva.com/data-center-facilities/utah/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/novva-flagship/
EdgeConneX Salt Lake City-EDCSLC01,utah,40.7208733,-111.9849271,0.5,,http://www.edgeconnex.com/edge-data-center-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/edcslc01/
Flexential Salt Lake City - Fair Park Data Center - No Setup Fees,utah,40.7667787,-111.9202935,0.49,,,https://www.datacentermap.com/usa/utah/salt-lake-city/flexential-slc-west/
DataBank SLC5 - Granite Point,utah,40.4813963,-111.903902,10,,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/14870-s-pony-express-road/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc5-granite-point/
DataBank SLC4 - Granite Point,utah,40.481315,-111.90496,3.67,,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/14860-s-pony-express-road/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc4-granite-point/
FiberState SLC1,utah,40.5116607,-111.888122,4,,https://www.fiberstate.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/fiberstate/
XMission Data Center,utah,40.7609528,-111.8893002,,,https://xmission.com/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/xmission-data-center/
DataBank SLC1 - Downtown Salt Lake City,utah,40.7685379,-111.8858299,0.5,,https://www.databank.com/data-centers/salt-lake-city/179-e-social-hall-avenue/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc1/
DataBank SLC3 - Granite Point West,utah,40.4798908,-111.9057813,7,,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/14926-s-pony-express-road/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/databank-granite-point-west/
DataBank SLC6 - Granite Point,utah,40.480689,-111.9062692,22,,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/slc6/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc6-granite-point/
DataBank SLC2 - Granite Point East,utah,40.4797807,-111.9048641,3.25,,https://www.databank.com/data-centers/salt-lake-city/granite-point-campus/14944-s-pony-express-road/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/databank-slc2/
Syringa Networks West Valley,utah,40.7232557,-111.9317079,,,https://www.syringanetworks.net/our-services/advanced-solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/syringa-networks-west-valley/
Aligned SLC-02,utah,40.58593218248742,-111.9697279641991,48,,https://aligneddc.com/salt-lake-city/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/aligned-slc-02/
Aligned SLC-01,utah,40.58593218248742,-111.9697279641991,34,,https://aligneddc.com/salt-lake-city/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/aligned-slc-01/
CirrusDS View 78 Campus,utah,40.600571,-111.91708,32,,http://www.CirrusDS.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/cirrusds-view78/
B+F Timpanogos Provo Data Center,utah,40.2141138,-111.6553526,30,,,https://www.datacentermap.com/usa/utah/salt-lake-city/bf-timpanogos-provo-data-center/
Aligned Salt Lake City Campus,utah,40.585936,-111.969762,,,https://aligneddc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/salt-lake-city-campus/
Oracle West Jordan,utah,40.56798416639711,-112.036467565352,,,https://www.oracle.com/cloud/public-cloud-regions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/oracle-west-jordan/
QTS Eagle Mountain II,utah,40.26531629999999,-112.0330611,,,https://qtsdatacenters.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/qts-eagle-mountain-ii/
Oracle Salt Lake City,utah,40.7372623,-112.0051048,,,https://www.oracle.com/cloud/public-cloud-regions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/oracle-salt-lake-city/
Voonami Salt Lake City Data Center,utah,40.721177,-111.98508,,,https://www.voonami.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/salt-lake-city-data-center/
2302 South Presidents Drive,utah,40.7211197,-111.9849593,,,,https://www.datacentermap.com/usa/utah/salt-lake-city/2302-s-presidents-dr/
Lumen Salt Lake City 2,utah,40.780741,-112.011435,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/level3-salt-lake-city2/
CirrusDS View 78 - Building 1,utah,40.601913,-111.917703,,,http://www.cirrusds.com/midvale-ut-campus?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/cirrusds-view-78-building-1/
CirrusDS View 78 - Building 2,utah,40.600571,-111.91708,,,http://www.cirrusds.com/midvale-ut-campus?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/cirrusds-view-78-building-2/
CirrusDS View 78 - Building 3,utah,40.599227,-111.916298,,,http://www.cirrusds.com/midvale-ut-campus?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/salt-lake-city/cirrusds-view-78-building-3/
Fibernet Utah Data Center,utah,40.2760746,-111.6753697,6,,https://www.fiber.net/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/fibernet-corporation/
BluSky Nephi,utah,39.7292098,-111.8389233,4,,https://bluskyaidatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/blusky-nephi/
Voonami Orem Data Center,utah,40.32621,-111.681677,,,https://www.voonami.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/orem-data-center/
Meta Eagle Mountain - Building 7,utah,40.27113464451193,-112.0195984925382,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-building-7/
Meta Eagle Mountain - Building 3,utah,40.26824961701448,-112.015085169139,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-building-3/
Meta Eagle Mountain Campus,utah,40.2681115,-112.0177754,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-data-center/
Meta Eagle Mountain - Building 1,utah,40.2647660955497,-112.0151128671689,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-building-1/
Meta Eagle Mountain - Building 5,utah,40.27310255859982,-112.0150371578191,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-building-5/
Meta Eagle Mountain - Building 6,utah,40.26561617572415,-112.0188986911717,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-building-6/
Meta Eagle Mountain - Building 2,utah,40.2663692840546,-112.015048494153,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-building-2/
Meta Eagle Mountain - Building 4,utah,40.27152073586876,-112.0150045729511,,,https://datacenters.atmeta.com/us-locations/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/orem/meta-eagle-mountain-building-4/
Fibernet MercuryDelta Campus,utah,39.2871985,-112.4639722,2000,,https://fiberdelta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/delta-ut/fibernet-mercurydelta/
WebNX Ogden,utah,41.2624402,-111.9930285,,,https://webnx.com/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/ogden/webnx-ogden/
Lumen Ogden 1,utah,41.2368077,-111.9914906,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/utah/ogden/level3-ogden-1/
