Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Expedient Franklin,wisconsin,42.8631194,-87.9778082,1.6,,https://www.expedient.com/data-centers/milwaukee/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/expedient-franklin/
Data Holdings Milwaukee,wisconsin,43.0443788,-87.9476045,8.6,1.28,https://dataholdings.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/data-holdings/
TierPoint Milwaukee,wisconsin,43.0095347,-87.9610631,,,https://www.tierpoint.com/data-centers/wisconsin/milwaukee/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/burnham-data-center/
Franklin Datacenter,wisconsin,42.8621528,-87.9821569,,,https://www.milwaukeecolo.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/franklin-datacenter/
TSR Solutions Data Center,wisconsin,43.039034,-87.906925,,,https://www.tsrsolutions.com/data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/i-site-data-center/
The Wells Building,wisconsin,43.0390402,-87.90704629999999,12,,https://1547realty.com/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/wells-building/
ISCorp South MQN,wisconsin,43.2042212,-87.9254131,,,http://www.iscorp.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/iscorp-south-mqn/
Ethoplex Data Center,wisconsin,43.2279384,-88.1468269,,,https://www.ethoplex.com/data-center-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/techware-milwaukee/
Vantage Lighthouse Campus (Stargate Wisconsin),wisconsin,43.430422,-87.856503,902,,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/cloverleaf-ozaukee-county/
Aventus Lakes,wisconsin,43.1513596,-88.0096055,,,https://aventusdatacenters.com/aventus-milwaukee/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/aventus-data-centers/
Cogent Data Center - Milwaukee,wisconsin,43.039025,-87.906922,0.1,,https://www.cogentco.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/cogent-milwaukee/
Cogent Data Center - Milwaukee 2,wisconsin,42.991127,-87.91654319999999,,,https://www.cogentco.com/en/cogent-st-louis?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/cogent-data-center-milwaukee-2/
Netwurx Milwaukee,wisconsin,43.039025,-87.906922,,,https://www.netwurx.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/netwurx-milwaukee/
ISCorp North MQN,wisconsin,43.2054428,-87.9251573,,,http://www.iscorp.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/iscorp-north-mqn/
Vaultas Milwaukee,wisconsin,43.0437194,-87.9540104,,,https://www.vaultas.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vaultas-milwaukee/
Airiam Hartland,wisconsin,43.0839897,-88.3507355,,,https://airiam.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/hartland-wi/
Windstream Brookfield,wisconsin,43.027694,-88.08604,,,https://www.windstreamwholesale.com/solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/ngenx-milwaukee/
Microsoft Project Nova Campus,wisconsin,42.838404,-87.8480924,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/project-nova/
Veolia Data Center,wisconsin,42.9578319,-88.0197071,,,http://veolianorthamerica.com/en?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/veolia-data-center/
New Era Technology - Milwaukee,wisconsin,43.0426517,-88.0420574,,,https://www.neweratech.com/us/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/tushaus-milwaukee/
Vantage Lighthouse - Building 2,wisconsin,43.433754,-87.854648,,,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vantage-lighthouse-building-2/
Vantage Lighthouse - Building 4,wisconsin,43.425371,-87.859617,,,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vantage-lighthouse-building-4/
Lumen Milwaukee,wisconsin,43.077887,-88.183931,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/twtc-milwaukee/
Vantage Lighthouse - Building 1,wisconsin,43.428535,-87.853722,,,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vantage-lighthouse-building-1/
Vantage Lighthouse - Building 3,wisconsin,43.430447,-87.859536,,,https://vantage-dc.com/data-center-locations/north-america/port-washington-wisconsin?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/milwaukee/vantage-lighthouse-building-3/
US Signal Madison WI02,wisconsin,42.9947196,-89.4232738,6,,https://ussignal.com/data-centers/wi02-madison/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/team-companies-madison-data-center/
US Signal Madison WI01,wisconsin,43.0731888,-89.3871697,0.15,,https://ussignal.com/data-centers/madison?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/us-signal-madison/
Dane County Data Exchange I,wisconsin,43.0491799,-89.2972543,18,,https://www.danecountydataexchange.com/copy-of-facility?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/dane-county-data-exchange/
EdgeConneX Madison - EDCMAD01,wisconsin,43.049075,-89.297295,0.5,,https://www.edgeconnex.com/locations/americas/madison-wi/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/edgeconnex-edcmad01/
Dane County Data Exchange 2,wisconsin,43.04944,-89.295469,60,,https://www.danecountydataexchange.com/copy-of-dcde-1?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/dane-county-data-exchange-2/
5NINES Data Center,wisconsin,43.073099,-89.386426,,,http://5nines.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/5nines-data-center/
SupraNet Madison,wisconsin,43.0755646,-89.5242655,,,https://www.supranet.net/cloud-solutions/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/supranet-madison/
Connect Beaver Dam,wisconsin,43.50055938197967,-88.80735315514306,,,https://connectdatacenter.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/connect-beaver-dam/
Meta Beaver Dam,wisconsin,43.51038443015594,-88.81650117970439,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/meta-beaver-dam/
Lumen Madison,wisconsin,43.0677901,-89.3921355,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/lumen-madison/
HC Colo #1,wisconsin,43.0677816,-89.3923918,,,https://www.hoyosconsulting.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/hc-colo-1/
Beaver Dam Data Center Campus,wisconsin,43.5151233,-88.819341,,,,https://www.datacentermap.com/usa/wisconsin/madison/beaver-dam-data-center-campus/
QTS Wisconsin,wisconsin,,,,,https://qtsdatacenters.com/data-centers/qts-wisconsin/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/madison/qts-wisconsin/
Ark Data Centers Green Bay,wisconsin,44.2046514,-88.3447611,20,,https://www.arkdna.com/data-centers/wisconsin/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/appleton/ark-data-centers-green-bay/
New Era Technology - Appleton,wisconsin,44.2988892,-88.3707498,,,https://www.neweratech.com/us/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/appleton/tushaus-appleton/
HBS Little Chute,wisconsin,44.2970176,-88.2955018,,,https://www.hbs.net/services/colocation-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/appleton/heartlands/
OFFSITE,wisconsin,42.6038114,-87.8222072,5,,https://off-site.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/offsite/
ExcalTech Kenosha,wisconsin,42.60372225241379,-87.82186842023884,,,https://www.excaltech.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/etc-lith/
Microsoft - 12123-12827 Louis Sorenson,wisconsin,42.71057769999999,-87.9332311,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-12123-12827-louis-sorenson/
Microsoft - 90th Street & County Road KR,wisconsin,42.67276505385838,-87.89942742880767,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-mount-pleasant/
Microsoft - 12734 Louis Sorenson Rd,wisconsin,42.706503,-87.944761,,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-12734-louis-sorenson-rd/
Microsoft - Durand Avenue DC6,wisconsin,42.690657,-87.925773,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc6/
Microsoft - Durand Avenue DC5,wisconsin,42.694417,-87.921807,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc5/
Microsoft - Durand Avenue DC1,wisconsin,42.693763,-87.939633,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc1/
Microsoft - Durand Avenue DC2,wisconsin,42.691719,-87.939705,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc2/
Microsoft - Durand Avenue DC8,wisconsin,42.686992,-87.924196,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc8/
Microsoft - Durand Avenue DC3,wisconsin,42.694417,-87.927244,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc3/
Microsoft - Durand Avenue DC7,wisconsin,42.686992,-87.926989,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc7/
Microsoft - Durand Avenue DC4,wisconsin,42.694417,-87.924667,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc4/
Microsoft - Durand Avenue DC9,wisconsin,42.686992,-87.921444,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-durand-avenue-dc9/
Microsoft Fairwater 1 Campus,wisconsin,42.6838864,-87.9145128,,,https://local.microsoft.com/blog/mount-pleasant-datacenter-project-update/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/kenosha/microsoft-fairwater-1-campus/
CyberOne Data,wisconsin,44.3425602,-89.859748,,,http://www.cyberonedata.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/wisconsin-rapids/cyberone-data1/
DPO Wisconsin Rapids,wisconsin,44.40565120000001,-89.82734359999999,20,,https://www.digitalpoweroptimization.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/wisconsin-rapids/dpo-wisconsin-rapids/
WIN - Eau Claire Data Center,wisconsin,44.8158887,-91.4954639,1,,https://www.wintechnology.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/eau-claire/win-eau-claire-data-center/
Balloonist LLC,wisconsin,44.92309263676472,-91.84871516122627,,,,https://www.datacentermap.com/usa/wisconsin/eau-claire/balloonist-llc/
WIN - Green Bay Data Center,wisconsin,44.51529,-88.01125,0.25,,http://wintechnology.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/green-bay/win-green-bay-dc/
Netsonic Wisconsin Datacenter,wisconsin,44.5114496,-87.9968171,,,http://www.netsonic.net?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/green-bay/netsonic/
Wildcard One Data Center,wisconsin,44.7932402,-89.6647719,,,https://wildcardcorp.com/services/data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/wausau/wildcard-one/
Meta Beloit,wisconsin,42.5758009,-89.0177924,,,https://datacenters.atmeta.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/beloit/meta-beloit/
Aventus 715,wisconsin,44.6326109,-90.168593,,,https://aventusdatacenters.com/aventus-715/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/wisconsin/marshfield/aventus-715/
