fips,dc_count,total_it_load_mw,total_recoverable_kwh,total_heat_delivered_kwh,total_cooling_delivered_kwh,dc_count_hyperscale,it_load_mw_hyperscale,dc_count_ai_specialized,it_load_mw_ai_specialized,dc_count_midsize_colo,it_load_mw_midsize_colo,dc_count_small,it_load_mw_small,aggregated_count,original_it_load_mw,total_space_heating_kwh,total_space_heating_mbtu,total_space_cooling_kwh,total_space_cooling_mbtu,heating_coverage_ratio,cooling_coverage_ratio,heating_coverage_pct,cooling_coverage_pct,heating_demand_mw,cooling_demand_mw,heat_delivered_mw,cooling_delivered_mw,county_name,state_abbr,county_label
01015,1,1.0,7174439.999999999,21523319.999999996,5022107.999999999,0,0.0,0,0.0,0,0.0,1,1.0,0,0.0,526706802.318602,1797198.401876999,380029585.2387717,1296714.9090357928,0.04086394917485926,0.013215044815115172,4.086394917485927,1.3215044815115171,60.12634729664407,43.382372744152015,2.4569999999999994,0.5732999999999998,Calhoun County,AL,"Calhoun County, AL"
01071,1,50.0,43362000.00000006,130086000.00000018,30353400.00000004,1,50.0,0,0.0,0,0.0,0,0.0,1,0.0,214352333.60863316,731400.6003040287,140925424.15859872,480857.5586393693,0.6068793271806064,0.21538625965631336,60.687932718060644,21.538625965631336,24.469444475871367,16.08737718705465,14.85000000000002,3.4650000000000047,Jackson County,AL,"Jackson County, AL"
01073,6,351.0,804641040.0,2413923120.0,563248728.0,1,300.0,0,0.0,3,45.0,2,6.0,0,305.0,3333615753.413433,11374770.32408362,2637104397.56075,8998174.673301732,0.7241155845655817,0.21358605617623247,72.41155845655817,21.358605617623247,380.54974354034624,301.03931479003995,275.562,64.29780000000001,Jefferson County,AL,"Jefferson County, AL"
01081,2,7.0,50221079.99999999,150663239.99999997,35154755.99999999,0,0.0,0,0.0,0,0.0,2,7.0,0,7.0,332415280.7278223,1134248.140813193,472483790.20359176,1612181.784872864,0.45323800900525163,0.07440415254214736,45.323800900525164,7.440415254214735,37.94694985477423,53.93650573100363,17.198999999999998,4.013099999999999,Lee County,AL,"Lee County, AL"
01089,4,71.0,210187440.0,630562320.0,147131208.0,1,50.0,0,0.0,1,15.0,2,6.0,1,6.0,1610945712.7856374,5496775.52631581,1213186342.8996,4139564.074434127,0.39142369292484447,0.12127667679504713,39.142369292484446,12.127667679504713,183.89791241845174,138.49159165520547,71.982,16.7958,Madison County,AL,"Madison County, AL"
01097,3,80.0,247557600.0,742672800.0,173290320.0,1,50.0,0,0.0,2,30.0,0,0.0,0,0.0,1002744298.6044338,3421505.9365287297,1586706348.5069914,5414067.3734073425,0.7406402619627083,0.10921385684443578,74.06402619627083,10.921385684443578,114.46852723794906,181.13086170171135,84.78,19.782,Mobile County,AL,"Mobile County, AL"
01101,2,51.0,93898440.0,281695320.0,65728907.99999999,1,50.0,0,0.0,0,0.0,1,1.0,0,0.0,809991777.101238,2763806.962301773,880833451.7450581,3005528.8157042856,0.3477755305221968,0.07462126678974504,34.77755305221968,7.462126678974504,92.46481473758425,100.55176389783767,32.157,7.503299999999999,Montgomery County,AL,"Montgomery County, AL"
01117,1,55.0,95396399.99999996,286189199.9999999,66777479.99999996,1,55.0,0,0.0,0,0.0,0,0.0,0,55.0,664343189.1117823,2266833.297982255,605094587.4707971,2064668.6558817804,0.43078517954346895,0.11035874619060737,43.07851795434689,11.035874619060737,75.83826359723543,69.07472459712295,32.66999999999999,7.622999999999996,Shelby County,AL,"Shelby County, AL"
02020,2,16.0,87591240.0,262773720.0,61313868.0,0,0.0,0,0.0,1,15.0,1,1.0,0,0.0,791047577.7950115,2699166.6641926263,20633411.190383665,70404.1289259781,0.3321844695264259,2.9715817435255554,33.21844695264259,200.0,90.30223490810634,2.3554122363451673,29.997,6.9993,Anchorage Municipality,AK,"Anchorage Municipality, AK"
02090,1,15.0,80416800.0,241250400.0,56291760.0,0,0.0,0,0.0,1,15.0,0,0.0,0,0.0,377195919.460696,1287046.039020458,9929089.548591958,33879.46347051166,0.6395891035749617,5.669377813999343,63.958910357496165,200.0,43.05889491560456,1.1334577110264792,27.54,6.426,Fairbanks North Star Borough,AK,"Fairbanks North Star Borough, AK"
