Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Iron Mountain Data Centers AZS-1,arizona,33.6444482,-111.8957046,5.8,2.15,https://www.ironmountain.com/data-centers/locations/scottsdale-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/iron-mountain-azs-1/
2121 S. Price Road (PHX15),arizona,33.2748503,-111.8869478,32.6,,,https://www.datacentermap.com/usa/arizona/phoenix/2121-s-price/
120 East Van Buren St (PHX10),arizona,33.4519088,-112.0719012,9.9,,,https://www.datacentermap.com/usa/arizona/phoenix/120-east-van-buren-street/
Iron Mountain Data Centers AZP-1,arizona,33.4544913,-111.9761417,41,1.3,https://www.ironmountain.com/data-centers/locations/phoenix-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/iron-mountain-azp-1/
Flexential Phoenix - Deer Valley Data Center,arizona,33.6846552,-112.0983455,5.02,,,https://www.datacentermap.com/usa/arizona/phoenix/flexential-phoenix/
RadiusDC Phoenix I DC1,arizona,33.41613,-112.00933,25,,https://phoenixnap.com/colocation/phoenix?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/phoenix-nap/
CyrusOne Phoenix Campus,arizona,33.2704481,-111.8821049,169,,https://www.cyrusone.com/data-centers/north-america/chandler-arizona?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/cyrusone-phoenix-chandler/
GDC - Phoenix PH1 Data Center,arizona,33.3554883,-111.6135927,36,,https://services.global.ntt/en-us/services-and-products/global-data-centers/global-locations/americas/phoenix-ph1-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/ntt-phoenix-ph1/
H5 Data Centers Phoenix,arizona,33.2761127,-111.8848676,26,1.35,https://h5datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/nextfort/
Csquare - Phoenix PHX3-A,arizona,33.42137091532965,-111.8575754795684,6.7,,https://www.evoquedcs.com/data-centers/phoenix?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/evoque-phx1/
US Signal Phoenix AZ01,arizona,33.3552874,-111.8268072,0.5,,https://ussignal.com/data-centers/az01-phoenix/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/oneneck-gilbert/
Iron Mountain Data Centers AZP-2,arizona,33.452056,-111.977266,48,1.3,https://www.ironmountain.com/data-centers/locations/phoenix-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/iron-mountain-azp-2/
Comarch Mesa,arizona,33.3567065,-111.6352485,2,,https://www.comarch.com/trade-and-services/ict/data-center/dc-usa-phoenix-az/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/arizona/phoenix/comarch-mesa/
