Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Equinix SV1,california,37.2416077,-121.7833501,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/equinix-san-jose1/
Equinix SV3,california,37.38823470000001,-121.8884572,4.6,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/equinix-san-jose2/
150 South First St,california,37.333607,-121.888609,,,,https://www.datacentermap.com/usa/california/san-jose/150-south-first-street/
2334 Lundy Place,california,37.405884,-121.888912,,,,https://www.datacentermap.com/usa/california/san-jose/2334-lundy-place/
Equinix SV11,california,37.24305,-121.7841,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/equinix-sv11/
Equinix SV5,california,37.24215,-121.781855,15,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/equinix-sv5/
Equinix SV10,california,37.24094,-121.78463,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/equinix-sv10/
Equinix SV12x,california,37.2333796,-121.7815418,28.8,,https://www.equinix.com/data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/equinix-sv12x/
Prime San Jose,california,37.2353347,-121.7823438,10,1.25,https://primedatacenters.com/san-jose-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/prime-san-jose/
Element Critical Silicon Valley,california,37.3729016,-121.9878086,7,,https://elementcritical.com/data-centers/silicon-valley/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/centralcolo/
STACK Infrastructure SVY01A,california,37.402557,-121.8933284,9,,https://www.stackinfra.com/locations/americas/silicon-valley/svy01/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/fortune/
CoreSite Santa Clara (SV2),california,37.4057105,-121.9161259,,,https://www.coresite.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/valley-exchange/
Microsoft Alviso-Milpitas Campus,california,37.4237726,-121.9262607,99,,https://datacenters.microsoft.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/microsoft-alviso-milpitas-campus/
ECL MV1,california,37.3958939,-122.0469503,1,1.1,https://www.ecldc.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/ecl-mv1/
ColoCrossing SJ1,california,37.3341593,-121.8916855,10,,https://www.colocrossing.com/datacenter/san-jose-ca/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/california/san-jose/colocrossing-sj1/
