Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Flexential Denver - Parker,colorado,39.5601018,-104.8107281,22.5,,,https://www.datacentermap.com/usa/colorado/denver/flexential-denver-parker/
Flexential Denver - Aurora Data Center,colorado,39.661028,-104.85018,6.75,,,https://www.datacentermap.com/usa/colorado/denver/flexential-aurora/
Flexential Denver - Centennial Data Center - $0 NRC's,colorado,39.594093,-104.843141,1.6,,,https://www.datacentermap.com/usa/colorado/denver/flexential-centennial/
Flexential Denver - Englewood Data Center,colorado,39.5589561,-104.8374803,18,1.3,,https://www.datacentermap.com/usa/colorado/denver/flexential-englewood/
Iron Mountain Data Centers DEN-1,colorado,39.777478,-104.96832,12.3,1.2,https://www.ironmountain.com/data-centers/locations/denver-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/iron-mountain-den-1/
US Signal Denver CO01,colorado,39.5590337,-104.8334949,1.6,,https://ussignal.com/data-centers/co01-denver/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/oneneck-it-solutions/
1500 Champa,colorado,39.7459482,-104.9944892,3,,https://www.radius-dc.com/#location?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/1500-champa/
H5 Data Centers Denver,colorado,39.6180129,-104.8913097,17.5,,https://h5datacenters.com/denver-data-center.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/h5datacenter/
Equinix DE2,colorado,39.56025905872824,-104.8576057668798,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/equinix-de2/
DataBank DEN1 - Englewood,colorado,39.5640712,-104.8665897,2,,https://www.databank.com/data-centers/denver/englewood/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/latisys-denver/
365 Data Centers - Aurora,colorado,39.7627264,-104.7622042,8,,https://365datacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/sungardas-aurora/
Csquare - Denver DEN1-A,colorado,39.549704,-105.033252,5.4,,https://centersquaredc.com/data-centers/denver#littleton-den1?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/cyxtera-den1/
ColoradoColo Darwin Data Center,colorado,39.7281498,-105.1226064,2,,http://www.coloradocolo.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/colorado-colo/
Csquare - Denver DEN2-A,colorado,39.560959,-104.830574,3.7,,https://centersquaredc.com/data-centers/denver?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/cyxtera-den2a/
Expedient Centennial,colorado,39.5812479,-104.842607,1.6,,https://www.expedient.com/data-centers/denver/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/expedient-centennial/
QTS Aurora-Denver Campus,colorado,39.7340684,-104.7080148,177,,https://www.qtsdatacenters.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/qts-auroradenver-campus/
DataBank DEN3 - Downtown Denver,colorado,39.745755,-104.994405,2,,https://www.databank.com/data-centers/denver/1500-champa-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/databank-den3/
DataBank DEN2 - Centennial,colorado,39.5913412,-104.8469635,4,,https://www.databank.com/data-centers/denver/centennial-campus/centennial/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/latisys-den2/
DataBank DEN4 - Westminister,colorado,39.88454,-105.08031,0.5,,https://www.databank.com/data-centers/denver/westminster/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/databank-den4/
CoreSite Denver (DE2),colorado,39.7452193,-104.9793274,,,http://www.coresite.com/data-centers/locations/denver/de2?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/coresite-denver-de2/
DataBank DEN5 - Centennial II,colorado,39.5901643,-104.8470028,16,,https://www.databank.com/data-centers/denver/centennial-campus/den5/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/databank-den5-centennial-ii/
Massive Networks - Louisville,colorado,39.9654525,-105.1242975,,,https://www.massivenetworks.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/rockynetcom/
Csquare - Denver DEN1-B,colorado,39.549737,-105.034348,1.2,,https://centersquaredc.com/data-centers/denver#littleton-den1?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/cyxtera-den2b/
Cogent Data Center - Denver,colorado,39.6308112,-104.8974777,0.8,,http://www.cogentco.com/en/cogent-denver?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/cogent-denver/
EdgeConneX Denver - EDCDEN01,colorado,39.5640314,-104.8263395,3,,https://www.edgeconnex.com/locations/americas/denver-co/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/edcden01/
Centennial Data Center,colorado,39.5873693,-104.876571,,,https://carterfunds.com/colocation-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/centennial-data-center/
CoreSite Denver (DE1),colorado,39.74556,-104.995682,,,https://www.coresite.com/data-center-locations/denver?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/coresite-de1/
American Tower EDC Boulder,colorado,39.914002,-105.0997333,0.1,,https://www.americantower.com/us/data-centers-edge?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/american-tower-edc-boulder/
CoreSite Denver (DE3),colorado,39.7855948,-104.9629572,18,,https://www.coresite.com/data-center/de3-denver-co?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/coresite-denver-de3/
Comcast Centennial,colorado,39.58829524537498,-104.8324646868858,2.7,,https://business.comcast.com/enterprise/products-services/data-networking?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/comcast-centennial/
Lumen Denver 1,colorado,39.7457281,-104.9795015,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/colorado/denver/level3-denver/
