Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Corserva Connecticut,connecticut,41.2969596,-73.2291535,,,https://www.corserva.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/trumbull/pcnet-connecticut/
Crown Castle Hartford,connecticut,41.7683713,-72.6728531,,,http://fiber.crowncastle.com/solutions/infrastructure/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/crown-castle-hartford/
Colocation America HartfordDC1,connecticut,41.5544339,-73.0412195,,,https://www.colocationamerica.com/data-center-locations/hartford?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/colocation-america-hartforddc1/
Trumbull Data Center,connecticut,41.2406844,-73.1473216,15,,,https://www.datacentermap.com/usa/connecticut/trumbull/80-merritt-boulevard/
132 Griffin Road North,connecticut,41.884726,-72.74349,,,https://www.atlas-cap.com/portfolio/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/132-griffin-road-north/
The Computer Company Inc.,connecticut,41.6317455,-72.6778297,,,https://computercompany.net/cloud-computing-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/the-computer-company/
Lumen Hartford 1,connecticut,41.7451292,-72.6649262,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/level3-hartford1/
NWI Networks Data Center,connecticut,41.7197279,-72.7315535,,,https://www.nwinetworks.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/hartford/nwi-networks/
CyrusOne NYM10 - Stamford,connecticut,41.0842163,-73.5179974,4,,https://www.cyrusone.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/stamford-data-center/
Omega Systems Stamford,connecticut,41.091692,-73.5167687,,,https://omegasystemscorp.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/amnet-technology-solutions/
Crown Castle Stamford 2,connecticut,41.0543059,-73.5375875,,,https://www.crowncastle.com/infrastructure-solutions/colocation?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/crown-castle-stamford/
Crown Castle Stamford 1,connecticut,41.0581258,-73.5430114,,,https://www.crowncastle.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/fibertech-stamford/
Lumen Stamford,connecticut,41.04893,-73.530274,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/stamford/level3-stamford/
CVM,connecticut,41.3080872,-72.7517544,0.12,,https://cvm.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/new-haven/cvm/
ChimeNet Data Center,connecticut,41.4867203,-72.8010863,,,https://chimenet.com/about-us/data-centers/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/new-haven/chimenet/
Cloudsmart,connecticut,41.2992518,-72.7516615,,,http://cloudsmart.tech?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/new-haven/recol-branford/
Lumen New Haven,connecticut,41.2998897,-72.9263321,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/new-haven/level3-new-haven/
Gotspace Wallingford 1 Campus,connecticut,41.4864254,-72.7732151,96,,https://www.gotspacedatapartners.com/our-data-centers?utm_source=datacentermap.com,https://www.datacentermap.com/usa/connecticut/wallingford/gotspace-wallingford-1-campus/
