Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Trijit Data Center,delaware,39.787933,-75.4861911,0.3,,https://tws.trijit.com/datacenter-services/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/trijit-dc/
DaSTOR New Castle,delaware,39.6871395,-75.57442859999999,8,,https://dastorllc.com/3-boulden-circle-new-castle-de/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/dastor-new-castle/
DaSTOR Wilmington CCC,delaware,39.7478527,-75.5467527,,,https://dastorllc.com/1201-north-market-street-wilmington-de/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/ipr-wilmington-bcc/
Project Washington North Campus,delaware,39.613214,-75.638434,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-campus/
Lumen Wilmington 1,delaware,39.749533,-75.5387609,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/level3-wilmington1/
Project Washington South Campus,delaware,39.60173,-75.647435,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-campus/
Project Washington South DC1,delaware,39.603092,-75.650418,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc1/
Project Washington North DC4,delaware,39.61049,-75.637994,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc4/
Project Washington South DC2,delaware,39.60197,-75.651042,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc2/
Project Washington South DC7,delaware,39.600578,-75.645829,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc7/
Project Washington North DC5,delaware,39.609621,-75.641807,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc5/
Project Washington North DC1,delaware,39.615821,-75.638543,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc1/
Project Washington North DC3,delaware,39.612192,-75.638208,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc3/
Project Washington South DC6,delaware,39.599917,-75.642004,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc6/
Project Washington South DC5,delaware,39.601417,-75.642446,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc5/
Project Washington South DC4,delaware,39.602461,-75.642634,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc4/
Verdantas Newark,delaware,39.68172697211378,-75.72362438057166,,,https://www.verdantas.com/expertise/digital-technologies?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/newark-de/verdantas-newark/
Project Washington North DC2,delaware,39.614097,-75.63862,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-north-dc2/
Project Washington South DC3,delaware,39.602461,-75.642634,,,https://www.starwoodcapital.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/wilmington/project-washington-south-dc3/
Data Canopy - Newark,delaware,39.6127446,-75.7614126,,,https://datacanopy.com/data-centers/newark-de/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/delaware/newark-de/hosting-newark/
