Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
Equinix  MI3,florida,26.38896,-80.10894,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/equinix--mi3/
Volico Fort Lauderdale,florida,26.2898535,-80.1301204,2,,https://www.volico.com/data-centers/fort-lauderdale-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/volico-2/
3EX Hosting Data Center – Boca Raton,florida,26.4075638,-80.0977968,35,,https://www.3exhosting.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/3ex-hosting-data-center-boca-raton/
365 Data Centers - Boca Raton,florida,26.382321,-80.0835063,,,https://365datacenters.com/boca-raton-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/3500-nw/
Cogent Data Center - Boca Raton,florida,26.391247,-80.109199,1.6,,https://www.cogentco.com/en/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/boca-raton/cogent-boca-raton/
CoreSite Orlando (OR1),florida,28.4271365270483,-81.42006041433615,7,,https://www.coresite.com/data-center/or1-orlando-fl?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/coresite-or1/
HostDime Orlando 2,florida,28.6144634,-81.3856569,,,https://www.hostdime.com/new-orlando-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/hostdime-orlando-2/
HostDime Orlando,florida,28.6185131,-81.3937966,,,https://www.hostdime.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/hostdime/
Colo Solutions Orlando,florida,28.5348177,-81.3801927,,,https://www.colosolutions.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/colo-solutions-orlando/
Cogent Data Center - Orlando,florida,28.4256812,-81.1206804,5,,https://www.cogentco.com/en/cogent-orlando?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/cogent-data-center-orlando/
Thrive US - Winter Haven,florida,28.023895,-81.7292955,2,,https://thrivenextgen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/200-avenue-b-nw/
Signal Hill Telecom Center,florida,28.6175537,-81.3933887,13,,https://www.linkedin.com/in/clay-spears-21b7b713/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/signal-hill-telecom/
Corserva Orlando,florida,28.4476916,-81.4140604,,,https://www.corserva.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/pcnet-orlando/
Lumen Orlando 3,florida,28.464008,-81.418975,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/twtc-orlando/
Lumen Orlando,florida,28.615015,-81.388571,,,https://www.lumen.com/en-us/home.html?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/level3-orlando/
Smart City Metro,florida,28.6388113,-81.3996609,,,https://smartcitymetro.com/services/colocation/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/smart-city/
Lumen Orlando 2,florida,28.527123,-81.385068,,,https://www.lumen.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/orlando/level3-orlando2/
Hivelocity - Miami 1,florida,25.7823647,-80.1931295,,,,https://www.datacentermap.com/usa/florida/miami/hivelocity-miami-1/
2300 NW 89th Pl,florida,25.795032,-80.342568,,,,https://www.datacentermap.com/usa/florida/miami/2300nw-89th-pl/
36 NE 2nd St (MIA10),florida,25.775811,-80.192958,1.3,,,https://www.datacentermap.com/usa/florida/miami/36ne-2nd-street/
Equinix MI1 (NAP of the Americas),florida,25.782841,-80.193084,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/terremark-miami/
RadiusDC Miami I,florida,25.796876,-80.378809,9.2,,https://www.radius-dc.com/#top?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/telefonica-keycenter/
Metobloks Miami MB01,florida,25.77154587143937,-80.41817894166525,15.2,,https://www.metrobloks.com/sites/mia-mb01?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/metobloks-miami-mb01/
NetcroHosting,florida,25.7758398,-80.1929686,,,https://www.netcrohosting.us/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/netcrohosting/
ColoHouse Miami,florida,25.7758108,-80.1929487,,,https://colohouse.com?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/colohouse/
CoreSite Miami (MI2),florida,25.7933177,-80.33358109999999,4.3,,https://www.coresite.com/data-center/mi2-miami-fl?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/coresite-miami-mi2/
QTS Miami 1 DC1,florida,25.791506,-80.37957,2,,https://qtsdatacenters.com/data-centers/miami?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/quality-miami-data-center/
Equinix MI6,florida,25.787685,-80.3546324,,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/equinix-mi6/
DataBank MIA1 - Downtown Miami,florida,25.775811,-80.192958,1.6,,https://www.databank.com/data-centers/miami/36-northeast-2nd-street/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/zcolo-36ne-2nd/
Cogent Data Center - Miami,florida,25.773426,-80.190183,0.4,,https://www.cogentco.com/en/cogent-miami?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/cogent-miami/
CoreSite Miami (MI1),florida,25.797341,-80.229838,,,https://www.coresite.com/data-center-locations/miami?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/miami-exchange/
Iron Mountain Data Centers MIA-1,florida,25.8845875,-80.2472068,16,,https://www.ironmountain.com/data-centers/locations/miami-data-center?utm_source=datacentermap.com,https://www.datacentermap.com/usa/florida/miami/iron-mountain-mia-1/
