Name,State,Latitude,Longitude,IT Load (MW),PUE,Website,Source URL
250 Williams St NW (ATL14),georgia,33.7616045,-84.3913965,3.6,,,https://www.datacentermap.com/usa/georgia/atlanta/250-williams-st-nw/
Flexential Atlanta - Alpharetta Data Center,georgia,34.0870177,-84.2515969,6,,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-atlanta/
56 Marietta Street (ATL13),georgia,33.7554561,-84.3915303,5.5,,,https://www.datacentermap.com/usa/georgia/atlanta/telx-atlanta/
Flexential Atlanta - Norcross Data Center - $0 NRC's,georgia,33.9547492,-84.1985761,1.8,,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-norcross/
Hivelocity - Atlanta 2,georgia,33.7615051,-84.3914096,,,,https://www.datacentermap.com/usa/georgia/atlanta/hivelocity-atlanta-2/
101 Aquila Way (ATL11),georgia,33.746556,-84.58025,,,,https://www.datacentermap.com/usa/georgia/atlanta/101-aquila-way/
Flexential Atlanta - Douglasville 1 Data Center,georgia,33.7310851,-84.6159534,22.5,1.4,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-atlanta-douglasville/
Flexential Atlanta - Norcross 2 Data Center,georgia,33.9543478,-84.1990569,4.5,,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-atlanta-norcross-2/
760 Doug Davis Drive,georgia,33.6572025,-84.4151909,,,,https://www.datacentermap.com/usa/georgia/atlanta/760-doug-davis-drive-atl12/
Flexential Atlanta - Douglasville 2 Data Center,georgia,33.7307148,-84.6111721,36,,,https://www.datacentermap.com/usa/georgia/atlanta/flexential-atlanta-douglasville-2-data-center/
Fort Gillem (ATL15),georgia,33.620375,-84.3262363,,,,https://www.datacentermap.com/usa/georgia/atlanta/fort-gillem-atl15/
Fort Gillem (ATL16),georgia,33.620375,-84.3262363,,,,https://www.datacentermap.com/usa/georgia/atlanta/fort-gillem-atl16/
10 Forsyth Street NW,georgia,33.755232,-84.392026,,,,https://www.datacentermap.com/usa/georgia/atlanta/10-forsyth-street-nw/
CoreSite Atlanta (AT2),georgia,33.92542846315679,-84.48159144047548,,,https://www.coresite.com/data-center/at2-atlanta-ga?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/coresite-at2/
Serverfarm Atlanta Data Center ATL1,georgia,34.0360702,-84.0638379,12,1.35,https://www.serverfarmllc.com/atlanta-data-center/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/serverfarm-atl1/
Evocative ATL1,georgia,33.7616385,-84.3912674,15,,https://evocative.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/internap-acs/
Csquare  - Atlanta ATL1-D,georgia,33.7437843,-84.581499,1.1,,https://www.evoquedcs.com/data-centers/atlanta?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/evoque-atl1/
Csquare - Atlanta ATL1-A,georgia,33.74388140098229,-84.58136916160583,1.175,,https://centersquaredc.com/data-centers/atlanta?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/cyxtera-atl1/
375 Riverside Parkway,georgia,33.744177,-84.5811904,,,,https://www.datacentermap.com/usa/georgia/atlanta/375-riverside-parkway/
Equinix AT4,georgia,33.8954529,-84.4535771,12,,https://www.equinix.com/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/equinix-at4/
T5 Data Centers - T5@Atlanta 1,georgia,33.763433,-84.60498,20,1.2,https://t5datacenters.com/locations/t5-atlanta/?utm_source=datacentermap.com,https://www.datacentermap.com/usa/georgia/atlanta/t5-data-centers-t5atlanta/
